1,小坂 尚哉,小坂 尚哉.1,2,田頭 虎親,田頭 虎親.1,3,峰重 侑治,峰重 侑治.1,4,角浜 修,角浜 修.1,5,今坂 晃広,今坂 晃広.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,3.8,1.0,3.0,26.3,1.0,2.0,25.6,1.0,2.0,290.3,1.0,2.0,334.8,1.0,2.0,701.7
2.0,4.0,11.7,1.0,4.0,58.6,1.0,4.0,46.8,1.0,3.0,296.7,1.0,3.0,320.8,1.0,3.0,711.2
2.0,5.0,13.8,1.0,5.0,71.8,1.0,5.0,44.3,1.0,5.0,463.9,1.0,4.0,695.1,1.0,4.0,1227.0
2.0,6.0,88.9,1.0,6.0,265.7,1.0,6.0,191.4,1.0,6.0,1048.0,1.0,6.0,983.9,1.0,5.0,1602.0
3.0,2.0,4.7,3.0,1.0,67.0,2.0,1.0,59.6,2.0,1.0,450.3,2.0,1.0,610.6,2.0,1.0,1089.0
3.0,4.0,10.1,3.0,4.0,242.5,2.0,4.0,155.2,2.0,3.0,789.2,2.0,3.0,1115.0,2.0,3.0,1723.0
3.0,5.0,10.4,3.0,5.0,268.4,2.0,5.0,176.6,2.0,5.0,1036.0,2.0,4.0,1699.0,2.0,4.0,2414.0
3.0,6.0,58.7,3.0,6.0,703.1,2.0,6.0,495.9,2.0,6.0,2109.0,2.0,6.0,2496.0,2.0,5.0,3219.0
4.0,2.0,29.1,4.0,1.0,257.1,4.0,1.0,155.9,3.0,1.0,428.2,3.0,1.0,509.7,3.0,1.0,1215.0
4.0,3.0,32.9,4.0,3.0,455.9,4.0,2.0,242.5,3.0,2.0,837.9,3.0,2.0,1030.0,3.0,2.0,2050.0
4.0,5.0,71.0,4.0,5.0,606.6,4.0,5.0,277.8,3.0,5.0,955.7,3.0,4.0,1568.0,3.0,4.0,3219.0
4.0,6.0,182.5,4.0,6.0,1248.0,4.0,6.0,899.5,3.0,6.0,2210.0,3.0,6.0,1781.0,3.0,5.0,2801.0
5.0,2.0,41.8,5.0,1.0,377.2,5.0,1.0,168.4,5.0,1.0,832.2,4.0,1.0,1108.0,4.0,1.0,2678.0
5.0,3.0,41.1,5.0,3.0,579.8,5.0,2.0,257.5,5.0,2.0,1102.0,4.0,2.0,2133.0,4.0,2.0,3598.0
5.0,4.0,100.9,5.0,4.0,908.4,5.0,4.0,346.8,5.0,3.0,1244.0,4.0,3.0,1973.0,4.0,3.0,3398.0
5.0,6.0,247.1,5.0,6.0,1645.0,5.0,6.0,699.0,5.0,6.0,1707.0,4.0,6.0,2146.0,4.0,5.0,3110.0
6.0,2.0,227.2,6.0,1.0,1146.0,6.0,1.0,764.6,6.0,1.0,2367.0,6.0,1.0,2197.0,5.0,1.0,2337.0
6.0,3.0,233.9,6.0,3.0,1747.0,6.0,2.0,1269.0,6.0,2.0,3219.0,6.0,2.0,3136.0,5.0,2.0,3783.0
6.0,4.0,406.8,6.0,4.0,2496.0,6.0,4.0,1994.0,6.0,3.0,3219.0,6.0,3.0,2602.0,5.0,3.0,3276.0
6.0,5.0,385.1,6.0,5.0,2513.0,6.0,5.0,1516.0,6.0,5.0,2678.0,6.0,4.0,2780.0,5.0,4.0,3398.0
