1,丸尾 義孝,丸尾 義孝.1,2,岩津 徹郎,岩津 徹郎.1,3,金田 大輔,金田 大輔.1,4,山田 佑樹,山田 佑樹.1,5,伊藤 尚汰,伊藤 尚汰.1,6,尾形 栄治,尾形 栄治.1
2.0,3.0,9.3,1.0,3.0,37.0,1.0,2.0,52.7,1.0,2.0,102.2,1.0,2.0,56.2,1.0,2.0,1049.0
2.0,4.0,9.5,1.0,4.0,37.6,1.0,4.0,66.0,1.0,3.0,172.4,1.0,3.0,75.3,1.0,3.0,1649.0
2.0,5.0,8.7,1.0,5.0,28.4,1.0,5.0,74.8,1.0,5.0,126.2,1.0,4.0,90.6,1.0,4.0,1304.0
2.0,6.0,36.4,1.0,6.0,123.1,1.0,6.0,105.9,1.0,6.0,197.1,1.0,6.0,183.3,1.0,5.0,1736.0
3.0,2.0,18.5,3.0,1.0,119.0,2.0,1.0,100.5,2.0,1.0,202.1,2.0,1.0,90.2,2.0,1.0,1439.0
3.0,4.0,28.8,3.0,4.0,212.4,2.0,4.0,182.2,2.0,3.0,395.8,2.0,3.0,151.5,2.0,3.0,1991.0
3.0,5.0,25.1,3.0,5.0,149.5,2.0,5.0,188.9,2.0,5.0,349.9,2.0,4.0,186.7,2.0,4.0,2639.0
3.0,6.0,66.1,3.0,6.0,512.6,2.0,6.0,263.2,2.0,6.0,580.3,2.0,6.0,368.3,2.0,5.0,1598.0
4.0,2.0,17.8,4.0,1.0,130.6,4.0,1.0,98.4,3.0,1.0,208.2,3.0,1.0,111.6,3.0,1.0,2062.0
4.0,3.0,36.1,4.0,3.0,273.3,4.0,2.0,150.4,3.0,2.0,300.9,3.0,2.0,152.0,3.0,2.0,2344.0
4.0,5.0,32.3,4.0,5.0,237.9,4.0,5.0,165.2,3.0,5.0,263.0,3.0,4.0,154.4,3.0,4.0,1825.0
4.0,6.0,90.7,4.0,6.0,496.1,4.0,6.0,169.5,3.0,6.0,319.6,3.0,6.0,225.9,3.0,5.0,1692.0
5.0,2.0,14.3,5.0,1.0,67.6,5.0,1.0,122.0,5.0,1.0,194.9,4.0,1.0,175.5,4.0,1.0,1847.0
5.0,3.0,22.1,5.0,3.0,115.4,5.0,2.0,167.1,5.0,2.0,300.5,4.0,2.0,239.1,4.0,2.0,2496.0
5.0,4.0,28.4,5.0,4.0,159.5,5.0,4.0,180.8,5.0,3.0,319.0,4.0,3.0,223.8,4.0,3.0,1555.0
5.0,6.0,80.2,5.0,6.0,370.1,5.0,6.0,249.5,5.0,6.0,387.8,4.0,6.0,313.8,4.0,5.0,1710.0
6.0,2.0,134.9,6.0,1.0,533.4,6.0,1.0,292.5,6.0,1.0,468.0,6.0,1.0,512.1,5.0,1.0,2017.0
6.0,3.0,263.0,6.0,3.0,1113.0,6.0,2.0,450.2,6.0,2.0,729.7,6.0,2.0,782.9,5.0,2.0,2321.0
6.0,4.0,219.7,6.0,4.0,1026.0,6.0,4.0,395.1,6.0,3.0,691.5,6.0,3.0,569.5,5.0,3.0,1717.0
6.0,5.0,248.0,6.0,5.0,1066.0,6.0,5.0,540.9,6.0,5.0,646.9,6.0,4.0,596.8,5.0,4.0,2080.0
