1,魚谷 香織,魚谷 香織.1,2,藤田 美代,藤田 美代.1,3,片岡 恵里,片岡 恵里.1,4,松本 怜,松本 怜.1,5,小池 礼乃,小池 礼乃.1,6,井上 未都,井上 未都.1
2.0,3.0,7.6,1.0,3.0,90.5,1.0,2.0,61.7,1.0,2.0,196.4,1.0,2.0,79.8,1.0,2.0,850.7
2.0,4.0,23.8,1.0,4.0,192.2,1.0,4.0,92.7,1.0,3.0,178.8,1.0,3.0,54.6,1.0,3.0,808.8
2.0,5.0,12.7,1.0,5.0,120.9,1.0,5.0,43.7,1.0,5.0,153.5,1.0,4.0,158.4,1.0,4.0,1310.0
2.0,6.0,63.6,1.0,6.0,402.9,1.0,6.0,164.2,1.0,6.0,362.2,1.0,6.0,97.7,1.0,5.0,558.9
3.0,2.0,7.0,3.0,1.0,195.9,2.0,1.0,153.1,2.0,1.0,483.1,2.0,1.0,232.2,2.0,1.0,1360.0
3.0,4.0,15.5,3.0,4.0,753.2,2.0,4.0,480.3,2.0,3.0,1007.0,2.0,3.0,501.8,2.0,3.0,2412.0
3.0,5.0,5.4,3.0,5.0,470.8,2.0,5.0,344.6,2.0,5.0,938.6,2.0,4.0,995.5,2.0,4.0,2773.0
3.0,6.0,33.9,3.0,6.0,1400.0,2.0,6.0,1092.0,2.0,6.0,1564.0,2.0,6.0,727.5,2.0,5.0,1898.0
4.0,2.0,36.4,4.0,1.0,486.4,4.0,1.0,258.0,3.0,1.0,367.8,3.0,1.0,111.0,3.0,1.0,1183.0
4.0,3.0,31.0,4.0,3.0,1163.0,4.0,2.0,664.1,3.0,2.0,934.5,3.0,2.0,380.6,3.0,2.0,2385.0
4.0,5.0,34.1,4.0,5.0,1314.0,4.0,5.0,457.2,3.0,5.0,694.4,3.0,4.0,593.9,3.0,4.0,2482.0
4.0,6.0,95.7,4.0,6.0,1729.0,4.0,6.0,1095.0,3.0,6.0,1514.0,3.0,6.0,495.4,3.0,5.0,2043.0
5.0,2.0,16.1,5.0,1.0,310.8,5.0,1.0,87.1,5.0,1.0,211.1,4.0,1.0,304.1,4.0,1.0,1856.0
5.0,3.0,10.0,5.0,3.0,707.0,5.0,2.0,289.3,5.0,2.0,520.8,4.0,2.0,832.5,4.0,2.0,2385.0
5.0,4.0,34.3,5.0,4.0,1503.0,5.0,4.0,403.6,5.0,3.0,500.0,4.0,3.0,765.3,4.0,3.0,3260.0
5.0,6.0,31.9,5.0,6.0,1433.0,5.0,6.0,412.2,5.0,6.0,470.3,4.0,6.0,765.3,4.0,5.0,2828.0
6.0,2.0,149.4,6.0,1.0,1355.0,6.0,1.0,607.5,6.0,1.0,988.5,6.0,1.0,211.5,5.0,1.0,667.3
6.0,3.0,112.2,6.0,3.0,2346.0,6.0,2.0,1630.0,6.0,2.0,1636.0,6.0,2.0,673.6,5.0,2.0,1932.0
6.0,4.0,212.3,6.0,4.0,2720.0,6.0,4.0,1840.0,6.0,3.0,2135.0,6.0,3.0,584.2,5.0,3.0,1779.0
6.0,5.0,92.6,6.0,5.0,2482.0,6.0,5.0,1083.0,6.0,5.0,1326.0,6.0,4.0,918.4,5.0,4.0,2178.0
