1,本岡 勝利,本岡 勝利.1,2,高橋 龍治,高橋 龍治.1,3,村田 浩司,村田 浩司.1,4,鈴木 秀茉,鈴木 秀茉.1,5,小川　竜太朗,小川　竜太朗.1,6,小林 京平,小林 京平.1
2.0,3.0,16.5,1.0,3.0,39.0,1.0,2.0,29.2,1.0,2.0,79.8,1.0,2.0,349.6,1.0,2.0,1833.0
2.0,4.0,20.3,1.0,4.0,40.0,1.0,4.0,12.9,1.0,3.0,46.6,1.0,3.0,218.1,1.0,3.0,1523.0
2.0,5.0,51.2,1.0,5.0,82.5,1.0,5.0,24.7,1.0,5.0,77.2,1.0,4.0,248.9,1.0,4.0,1502.0
2.0,6.0,195.7,1.0,6.0,303.2,1.0,6.0,114.3,1.0,6.0,245.4,1.0,6.0,710.4,1.0,5.0,2285.0
3.0,2.0,13.3,3.0,1.0,67.5,2.0,1.0,64.8,2.0,1.0,127.6,2.0,1.0,546.6,2.0,1.0,1947.0
3.0,4.0,7.3,3.0,4.0,95.4,2.0,4.0,75.4,2.0,3.0,198.8,2.0,3.0,603.1,2.0,3.0,2102.0
3.0,5.0,15.5,3.0,5.0,165.3,2.0,5.0,117.5,2.0,5.0,262.6,2.0,4.0,617.2,2.0,4.0,1601.0
3.0,6.0,105.2,3.0,6.0,509.5,2.0,6.0,355.6,2.0,6.0,786.6,2.0,6.0,1668.0,2.0,5.0,1812.0
4.0,2.0,20.6,4.0,1.0,87.2,4.0,1.0,20.3,3.0,1.0,49.2,3.0,1.0,272.1,3.0,1.0,1651.0
4.0,3.0,11.9,4.0,3.0,148.6,4.0,2.0,52.7,3.0,2.0,137.1,3.0,2.0,549.5,3.0,2.0,2426.0
4.0,5.0,29.4,4.0,5.0,224.8,4.0,5.0,32.6,3.0,5.0,79.7,3.0,4.0,343.6,3.0,4.0,1625.0
4.0,6.0,131.2,4.0,6.0,664.0,4.0,6.0,122.8,3.0,6.0,267.9,3.0,6.0,1168.0,3.0,5.0,2302.0
5.0,2.0,103.3,5.0,1.0,246.8,5.0,1.0,69.5,5.0,1.0,104.2,4.0,1.0,333.7,4.0,1.0,1714.0
5.0,3.0,45.5,5.0,3.0,315.1,5.0,2.0,142.5,5.0,2.0,234.3,4.0,2.0,568.3,4.0,2.0,1877.0
5.0,4.0,67.5,5.0,4.0,378.2,5.0,4.0,78.2,5.0,3.0,139.6,4.0,3.0,381.8,4.0,3.0,1833.0
5.0,6.0,310.1,5.0,6.0,1058.0,5.0,6.0,276.4,5.0,6.0,288.3,4.0,6.0,955.8,4.0,5.0,1762.0
6.0,2.0,462.5,6.0,1.0,1014.0,6.0,1.0,427.9,6.0,1.0,616.0,6.0,1.0,1601.0,5.0,1.0,2585.0
6.0,3.0,421.1,6.0,3.0,1353.0,6.0,2.0,675.4,6.0,2.0,1155.0,6.0,2.0,1877.0,5.0,2.0,2503.0
6.0,4.0,418.8,6.0,4.0,1401.0,6.0,4.0,430.3,6.0,3.0,710.4,6.0,3.0,1762.0,5.0,3.0,2841.0
6.0,5.0,605.4,6.0,5.0,1812.0,6.0,5.0,538.2,6.0,5.0,771.2,6.0,4.0,1911.0,5.0,4.0,2585.0
