1,稗田 聖也,稗田 聖也.1,2,岡本 猛,岡本 猛.1,3,松崎　祐太郎,松崎　祐太郎.1,4,濱崎 誠,濱崎 誠.1,5,大塚 雅治,大塚 雅治.1,6,山本 梨菜,山本 梨菜.1
2.0,3.0,9.9,1.0,3.0,62.3,1.0,2.0,20.8,1.0,2.0,177.2,1.0,2.0,794.6,1.0,2.0,756.9
2.0,4.0,29.1,1.0,4.0,140.9,1.0,4.0,16.8,1.0,3.0,65.4,1.0,3.0,249.6,1.0,3.0,317.1
2.0,5.0,62.0,1.0,5.0,280.6,1.0,5.0,33.6,1.0,5.0,153.5,1.0,4.0,613.3,1.0,4.0,876.9
2.0,6.0,49.6,1.0,6.0,236.7,1.0,6.0,20.7,1.0,6.0,172.5,1.0,6.0,653.7,1.0,5.0,1530.0
3.0,2.0,7.3,3.0,1.0,83.7,2.0,1.0,55.7,2.0,1.0,323.2,2.0,1.0,1410.0,2.0,1.0,1278.0
3.0,4.0,7.8,3.0,4.0,258.9,2.0,4.0,117.9,2.0,3.0,249.6,2.0,3.0,946.2,2.0,3.0,1155.0
3.0,5.0,16.6,3.0,5.0,409.7,2.0,5.0,174.3,2.0,5.0,526.8,2.0,4.0,1843.0,2.0,4.0,2025.0
3.0,6.0,13.0,3.0,6.0,291.4,2.0,6.0,127.6,2.0,6.0,530.7,2.0,6.0,1786.0,2.0,5.0,2996.0
4.0,2.0,35.0,4.0,1.0,264.6,4.0,1.0,41.3,3.0,1.0,95.0,3.0,1.0,371.1,3.0,1.0,314.3
4.0,3.0,19.2,4.0,3.0,358.6,4.0,2.0,89.1,3.0,2.0,165.2,3.0,2.0,656.7,3.0,2.0,887.8
4.0,5.0,66.6,4.0,5.0,625.3,4.0,5.0,67.2,3.0,5.0,107.9,3.0,4.0,481.0,3.0,4.0,632.1
4.0,6.0,57.8,4.0,6.0,539.6,4.0,6.0,54.7,3.0,6.0,104.5,3.0,6.0,444.5,3.0,5.0,1057.0
5.0,2.0,153.0,5.0,1.0,726.3,5.0,1.0,121.3,5.0,1.0,296.8,4.0,1.0,783.7,4.0,1.0,1077.0
5.0,3.0,53.9,5.0,3.0,958.8,5.0,2.0,216.2,5.0,2.0,477.8,4.0,2.0,1159.0,4.0,2.0,1809.0
5.0,4.0,157.9,5.0,4.0,1571.0,5.0,4.0,144.5,5.0,3.0,178.8,4.0,3.0,526.8,4.0,3.0,848.5
5.0,6.0,172.8,5.0,6.0,1224.0,5.0,6.0,142.3,5.0,6.0,244.3,4.0,6.0,656.7,4.0,5.0,1616.0
6.0,2.0,134.2,6.0,1.0,556.3,6.0,1.0,71.8,6.0,1.0,387.6,6.0,1.0,1653.0,5.0,1.0,2377.0
6.0,3.0,59.5,6.0,3.0,676.8,6.0,2.0,177.2,6.0,2.0,733.8,6.0,2.0,2282.0,5.0,2.0,3595.0
6.0,4.0,159.1,6.0,4.0,1159.0,6.0,4.0,112.1,6.0,3.0,305.6,6.0,3.0,995.3,5.0,3.0,1970.0
6.0,5.0,249.2,6.0,5.0,1376.0,6.0,5.0,192.5,6.0,5.0,502.0,6.0,4.0,1634.0,5.0,4.0,1983.0
