1,中尾 彩香,中尾 彩香.1,2,豊田 泰洋,豊田 泰洋.1,3,浦田 信義,浦田 信義.1,4,渡邊　伸太郎,渡邊　伸太郎.1,5,中村 将隆,中村 将隆.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,36.9,1.0,3.0,56.6,1.0,2.0,118.5,1.0,2.0,116.1,1.0,2.0,122.5,1.0,2.0,258.0
2.0,4.0,28.4,1.0,4.0,41.4,1.0,4.0,124.4,1.0,3.0,152.4,1.0,3.0,146.7,1.0,3.0,394.0
2.0,5.0,34.4,1.0,5.0,67.2,1.0,5.0,108.9,1.0,5.0,139.0,1.0,4.0,145.3,1.0,4.0,357.0
2.0,6.0,36.6,1.0,6.0,55.4,1.0,6.0,99.1,1.0,6.0,115.1,1.0,6.0,77.3,1.0,5.0,354.5
3.0,2.0,45.2,3.0,1.0,92.2,2.0,1.0,117.6,2.0,1.0,102.7,2.0,1.0,148.0,2.0,1.0,313.3
3.0,4.0,44.2,3.0,4.0,47.3,2.0,4.0,69.1,2.0,3.0,49.9,2.0,3.0,124.6,2.0,3.0,256.7
3.0,5.0,45.5,3.0,5.0,72.3,2.0,5.0,92.1,2.0,5.0,78.3,2.0,4.0,119.5,2.0,4.0,158.1
3.0,6.0,46.8,3.0,6.0,54.8,2.0,6.0,91.3,2.0,6.0,42.3,2.0,6.0,82.0,2.0,5.0,292.7
4.0,2.0,54.0,4.0,1.0,73.7,4.0,1.0,141.7,3.0,1.0,164.4,3.0,1.0,165.2,3.0,1.0,453.3
4.0,3.0,63.7,4.0,3.0,44.1,4.0,2.0,83.1,3.0,2.0,95.1,3.0,2.0,161.6,3.0,2.0,304.0
4.0,5.0,59.5,4.0,5.0,55.8,4.0,5.0,110.7,3.0,5.0,122.4,3.0,4.0,204.5,3.0,4.0,271.7
4.0,6.0,53.7,4.0,6.0,29.5,4.0,6.0,89.6,3.0,6.0,98.0,3.0,6.0,114.3,3.0,5.0,337.0
5.0,2.0,51.1,5.0,1.0,120.8,5.0,1.0,133.4,5.0,1.0,138.6,4.0,1.0,174.8,4.0,1.0,386.6
5.0,3.0,57.6,5.0,3.0,78.8,5.0,2.0,117.0,5.0,2.0,83.6,4.0,2.0,143.1,4.0,2.0,164.4
5.0,4.0,59.5,5.0,4.0,88.1,5.0,4.0,145.9,5.0,3.0,119.8,4.0,3.0,189.7,4.0,3.0,312.3
5.0,6.0,41.8,5.0,6.0,73.2,5.0,6.0,97.5,5.0,6.0,58.8,4.0,6.0,75.8,4.0,5.0,258.0
6.0,2.0,95.0,6.0,1.0,157.8,6.0,1.0,245.1,6.0,1.0,176.9,6.0,1.0,94.9,5.0,1.0,279.9
6.0,3.0,104.1,6.0,3.0,116.9,6.0,2.0,188.6,6.0,2.0,72.9,6.0,2.0,88.7,5.0,2.0,248.6
6.0,4.0,99.7,6.0,4.0,83.2,6.0,4.0,145.5,6.0,3.0,121.3,6.0,3.0,107.5,5.0,3.0,296.1
6.0,5.0,83.3,6.0,5.0,136.2,6.0,5.0,184.6,6.0,5.0,101.2,6.0,4.0,87.4,5.0,4.0,221.2
