1,倉尾 大介,倉尾 大介.1,2,岡村 将也,岡村 将也.1,3,大庭 元明,大庭 元明.1,4,上野 秀和,上野 秀和.1,5,前田 将太,前田 将太.1,6,日高 逸子,日高 逸子.1
2.0,3.0,20.3,1.0,3.0,39.6,1.0,2.0,139.1,1.0,2.0,136.5,1.0,2.0,25.0,1.0,2.0,831.2
2.0,4.0,28.4,1.0,4.0,46.2,1.0,4.0,200.4,1.0,3.0,300.8,1.0,3.0,37.4,1.0,3.0,1302.0
2.0,5.0,10.3,1.0,5.0,19.1,1.0,5.0,74.2,1.0,5.0,99.7,1.0,4.0,67.0,1.0,4.0,1795.0
2.0,6.0,71.5,1.0,6.0,94.1,1.0,6.0,316.9,1.0,6.0,208.6,1.0,6.0,48.8,1.0,5.0,461.4
3.0,2.0,30.0,3.0,1.0,93.6,2.0,1.0,185.4,2.0,1.0,186.0,2.0,1.0,35.2,2.0,1.0,920.8
3.0,4.0,47.7,3.0,4.0,206.4,2.0,4.0,275.3,2.0,3.0,376.1,2.0,3.0,57.8,2.0,3.0,1167.0
3.0,5.0,19.1,3.0,5.0,66.3,2.0,5.0,93.6,2.0,5.0,124.3,2.0,4.0,83.4,2.0,4.0,1536.0
3.0,6.0,93.2,3.0,6.0,249.2,2.0,6.0,388.4,2.0,6.0,326.1,2.0,6.0,63.6,2.0,5.0,528.7
4.0,2.0,53.0,4.0,1.0,117.7,4.0,1.0,427.2,3.0,1.0,571.2,3.0,1.0,82.9,3.0,1.0,1924.0
4.0,3.0,85.8,4.0,3.0,252.5,4.0,2.0,445.0,3.0,2.0,615.6,3.0,2.0,83.2,3.0,2.0,1360.0
4.0,5.0,39.4,4.0,5.0,93.1,4.0,5.0,244.1,3.0,5.0,376.1,3.0,4.0,202.1,3.0,4.0,2322.0
4.0,6.0,120.8,4.0,6.0,370.2,4.0,6.0,890.1,3.0,6.0,1052.0,3.0,6.0,148.9,3.0,5.0,1161.0
5.0,2.0,12.2,5.0,1.0,27.9,5.0,1.0,87.1,5.0,1.0,87.3,4.0,1.0,94.5,4.0,1.0,2094.0
5.0,3.0,18.1,5.0,3.0,51.8,5.0,2.0,86.0,5.0,2.0,93.7,4.0,2.0,91.5,4.0,2.0,1924.0
5.0,4.0,38.5,5.0,4.0,71.0,5.0,4.0,177.2,5.0,3.0,240.0,4.0,3.0,194.2,4.0,3.0,2272.0
5.0,6.0,38.4,5.0,6.0,82.7,5.0,6.0,195.8,5.0,6.0,117.8,4.0,6.0,124.4,4.0,5.0,879.1
6.0,2.0,300.0,6.0,1.0,352.5,6.0,1.0,905.2,6.0,1.0,514.7,6.0,1.0,96.4,5.0,1.0,382.1
6.0,3.0,327.6,6.0,3.0,568.1,6.0,2.0,945.2,6.0,2.0,624.6,6.0,2.0,96.5,5.0,2.0,372.8
6.0,4.0,425.5,6.0,4.0,741.7,6.0,4.0,1548.0,6.0,3.0,1130.0,6.0,3.0,186.4,5.0,3.0,815.3
6.0,5.0,179.2,6.0,5.0,237.3,6.0,5.0,568.1,6.0,5.0,310.9,6.0,4.0,195.2,5.0,4.0,812.2
