1,小野 桜,小野 桜.1,2,川野 芽唯,川野 芽唯.1,3,渡邉　真奈美,渡邉　真奈美.1,4,仁科　さやか,仁科　さやか.1,5,松本 怜,松本 怜.1,6,細川 裕子,細川 裕子.1
2.0,3.0,10.4,1.0,3.0,14.6,1.0,2.0,54.3,1.0,2.0,512.3,1.0,2.0,429.6,1.0,2.0,34.8
2.0,4.0,40.9,1.0,4.0,60.3,1.0,4.0,209.6,1.0,3.0,855.1,1.0,3.0,825.4,1.0,3.0,86.2
2.0,5.0,29.1,1.0,5.0,39.5,1.0,5.0,202.8,1.0,5.0,1001.0,1.0,4.0,1330.0,1.0,4.0,273.4
2.0,6.0,8.3,1.0,6.0,8.6,1.0,6.0,53.7,1.0,6.0,537.8,1.0,6.0,449.0,1.0,5.0,221.2
3.0,2.0,21.0,3.0,1.0,35.1,2.0,1.0,62.1,2.0,1.0,564.2,2.0,1.0,464.9,2.0,1.0,34.2
3.0,4.0,81.8,3.0,4.0,157.2,2.0,4.0,212.2,2.0,3.0,859.2,2.0,3.0,987.7,2.0,3.0,64.2
3.0,5.0,76.8,3.0,5.0,119.5,2.0,5.0,179.4,2.0,5.0,1033.0,2.0,4.0,1398.0,2.0,4.0,190.0
3.0,6.0,24.2,3.0,6.0,29.7,2.0,6.0,50.3,2.0,6.0,406.1,2.0,6.0,349.9,2.0,5.0,149.0
4.0,2.0,132.6,4.0,1.0,208.7,4.0,1.0,343.5,3.0,1.0,1042.0,3.0,1.0,1161.0,3.0,1.0,133.4
4.0,3.0,175.9,4.0,3.0,295.9,4.0,2.0,293.2,3.0,2.0,928.6,3.0,2.0,1200.0,3.0,2.0,111.9
4.0,5.0,276.8,4.0,5.0,469.8,4.0,5.0,559.7,3.0,5.0,1896.0,3.0,4.0,2377.0,3.0,4.0,540.2
4.0,6.0,151.6,4.0,6.0,156.9,4.0,6.0,255.0,3.0,6.0,821.6,3.0,6.0,1087.0,3.0,5.0,429.1
5.0,2.0,113.5,5.0,1.0,138.6,5.0,1.0,431.1,5.0,1.0,1415.0,4.0,1.0,1747.0,4.0,1.0,766.8
5.0,3.0,196.7,5.0,3.0,285.4,5.0,2.0,327.1,5.0,2.0,1398.0,4.0,2.0,1948.0,4.0,2.0,506.5
5.0,4.0,390.1,5.0,4.0,561.5,5.0,4.0,642.4,5.0,3.0,1981.0,4.0,3.0,2425.0,4.0,3.0,1039.0
5.0,6.0,137.2,5.0,6.0,118.6,5.0,6.0,298.3,5.0,6.0,1107.0,4.0,6.0,1485.0,4.0,5.0,1212.0
6.0,2.0,17.4,6.0,1.0,17.4,6.0,1.0,81.6,6.0,1.0,558.0,6.0,1.0,525.1,5.0,1.0,505.7
6.0,3.0,34.4,6.0,3.0,28.2,6.0,2.0,71.0,6.0,2.0,466.7,6.0,2.0,433.7,5.0,2.0,369.1
6.0,4.0,125.8,6.0,4.0,106.0,6.0,4.0,291.8,6.0,3.0,790.6,6.0,3.0,982.3,5.0,3.0,670.2
6.0,5.0,92.3,6.0,5.0,68.8,6.0,5.0,238.1,6.0,5.0,907.3,6.0,4.0,1577.0,5.0,4.0,1135.0
