1,品川 賢次,品川 賢次.1,2,深山 祐二,深山 祐二.1,3,出畑 孝典,出畑 孝典.1,4,藤丸 光一,藤丸 光一.1,5,山本 幸也,山本 幸也.1,6,山田 丈,山田 丈.1
2.0,3.0,29.9,1.0,3.0,100.8,1.0,2.0,33.3,1.0,2.0,112.3,1.0,2.0,1776.0,1.0,2.0,199.2
2.0,4.0,47.8,1.0,4.0,138.6,1.0,4.0,15.8,1.0,3.0,47.0,1.0,3.0,1417.0,1.0,3.0,96.0
2.0,5.0,360.9,1.0,5.0,813.7,1.0,5.0,151.6,1.0,5.0,299.9,1.0,4.0,1789.0,1.0,4.0,146.9
2.0,6.0,72.0,1.0,6.0,174.7,1.0,6.0,16.8,1.0,6.0,66.2,1.0,6.0,1547.0,1.0,5.0,550.8
3.0,2.0,19.1,3.0,1.0,133.6,2.0,1.0,66.1,2.0,1.0,191.8,2.0,1.0,2335.0,2.0,1.0,298.5
3.0,4.0,12.7,3.0,4.0,188.9,2.0,4.0,72.7,2.0,3.0,157.0,2.0,3.0,2212.0,2.0,3.0,211.4
3.0,5.0,168.5,3.0,5.0,1005.0,2.0,5.0,307.2,2.0,5.0,790.8,2.0,4.0,3319.0,2.0,4.0,348.4
3.0,6.0,19.1,3.0,6.0,187.2,2.0,6.0,57.4,2.0,6.0,192.4,2.0,6.0,2967.0,2.0,5.0,955.5
4.0,2.0,53.4,4.0,1.0,231.4,4.0,1.0,21.1,3.0,1.0,35.8,3.0,1.0,1261.0,3.0,1.0,59.2
4.0,3.0,23.6,4.0,3.0,229.5,4.0,2.0,43.9,3.0,2.0,68.6,3.0,2.0,1704.0,3.0,2.0,93.9
4.0,5.0,307.6,4.0,5.0,1320.0,4.0,5.0,129.0,3.0,5.0,135.8,3.0,4.0,1121.0,3.0,4.0,53.7
4.0,6.0,39.3,4.0,6.0,308.0,4.0,6.0,16.6,3.0,6.0,24.7,3.0,6.0,966.5,3.0,5.0,164.4
5.0,2.0,872.9,5.0,1.0,2627.0,5.0,1.0,296.0,5.0,1.0,653.5,4.0,1.0,1596.0,4.0,1.0,171.2
5.0,3.0,656.9,5.0,3.0,1925.0,5.0,2.0,395.4,5.0,2.0,927.4,4.0,2.0,2683.0,4.0,2.0,274.2
5.0,4.0,793.3,5.0,4.0,2712.0,5.0,4.0,303.2,5.0,3.0,499.5,4.0,3.0,1267.0,4.0,3.0,83.3
5.0,6.0,846.5,5.0,6.0,2174.0,5.0,6.0,148.5,5.0,6.0,434.2,4.0,6.0,1078.0,4.0,5.0,504.5
6.0,2.0,102.2,6.0,1.0,332.8,6.0,1.0,17.4,6.0,1.0,78.6,6.0,1.0,2034.0,5.0,1.0,875.9
6.0,3.0,42.3,6.0,3.0,288.3,6.0,2.0,31.2,6.0,2.0,140.8,6.0,2.0,2574.0,5.0,2.0,1151.0
6.0,4.0,68.0,6.0,4.0,421.8,6.0,4.0,18.2,6.0,3.0,46.3,6.0,3.0,1029.0,5.0,3.0,458.6
6.0,5.0,581.2,6.0,5.0,1466.0,6.0,5.0,61.3,6.0,5.0,250.5,6.0,4.0,1280.0,5.0,4.0,835.3
