1,刑部　亜里紗,刑部　亜里紗.1,2,伊藤 玲奈,伊藤 玲奈.1,3,岩崎 芳美,岩崎 芳美.1,4,原 加央理,原 加央理.1,5,向井 美鈴,向井 美鈴.1,6,河内　悠利杏,河内　悠利杏.1
2.0,3.0,19.9,1.0,3.0,114.4,1.0,2.0,31.8,1.0,2.0,149.6,1.0,2.0,346.3,1.0,2.0,1339.0
2.0,4.0,37.3,1.0,4.0,191.4,1.0,4.0,10.8,1.0,3.0,53.8,1.0,3.0,131.0,1.0,3.0,1403.0
2.0,5.0,55.2,1.0,5.0,242.2,1.0,5.0,13.6,1.0,5.0,86.9,1.0,4.0,265.5,1.0,4.0,1975.0
2.0,6.0,353.7,1.0,6.0,967.7,1.0,6.0,156.0,1.0,6.0,406.0,1.0,6.0,1065.0,1.0,5.0,2449.0
3.0,2.0,11.0,3.0,1.0,159.1,2.0,1.0,96.1,2.0,1.0,344.0,2.0,1.0,645.1,2.0,1.0,2338.0
3.0,4.0,5.7,3.0,4.0,230.2,2.0,4.0,100.4,2.0,3.0,296.2,2.0,3.0,723.5,2.0,3.0,3162.0
3.0,5.0,7.7,3.0,5.0,300.8,2.0,5.0,159.6,2.0,5.0,423.3,2.0,4.0,999.3,2.0,4.0,4009.0
3.0,6.0,128.0,3.0,6.0,1477.0,2.0,6.0,726.6,2.0,6.0,1347.0,2.0,6.0,2275.0,2.0,5.0,3763.0
4.0,2.0,36.9,4.0,1.0,381.6,4.0,1.0,19.4,3.0,1.0,52.9,3.0,1.0,146.1,3.0,1.0,1758.0
4.0,3.0,14.5,4.0,3.0,399.0,4.0,2.0,60.2,3.0,2.0,123.3,3.0,2.0,476.0,3.0,2.0,3147.0
4.0,5.0,31.7,4.0,5.0,648.3,4.0,5.0,24.3,3.0,5.0,67.9,3.0,4.0,232.5,3.0,4.0,2085.0
4.0,6.0,255.8,4.0,6.0,1897.0,4.0,6.0,181.4,3.0,6.0,384.0,3.0,6.0,1039.0,3.0,5.0,2651.0
5.0,2.0,78.7,5.0,1.0,522.5,5.0,1.0,33.5,5.0,1.0,141.8,4.0,1.0,328.2,4.0,1.0,3238.0
5.0,3.0,28.4,5.0,3.0,580.1,5.0,2.0,118.1,5.0,2.0,287.3,4.0,2.0,746.7,4.0,2.0,4157.0
5.0,4.0,58.3,5.0,4.0,997.9,5.0,4.0,43.8,5.0,3.0,135.0,4.0,3.0,276.5,4.0,3.0,2522.0
5.0,6.0,377.7,5.0,6.0,2237.0,5.0,6.0,306.8,5.0,6.0,492.0,4.0,6.0,1198.0,4.0,5.0,3784.0
6.0,2.0,931.6,6.0,1.0,1830.0,6.0,1.0,630.6,6.0,1.0,974.8,6.0,1.0,2215.0,5.0,1.0,3351.0
6.0,3.0,506.0,6.0,3.0,3007.0,6.0,2.0,1349.0,6.0,2.0,1722.0,6.0,2.0,2941.0,5.0,2.0,4490.0
6.0,4.0,736.9,6.0,4.0,3132.0,6.0,4.0,700.1,6.0,3.0,1069.0,6.0,3.0,2152.0,5.0,3.0,3436.0
6.0,5.0,916.4,6.0,5.0,3118.0,6.0,5.0,868.0,6.0,5.0,1190.0,6.0,4.0,2158.0,5.0,4.0,3490.0
