1,細川 裕子,細川 裕子.1,2,中川 りな,中川 りな.1,3,村上 奈穂,村上 奈穂.1,4,蜂須 瑞生,蜂須 瑞生.1,5,植木 美帆,植木 美帆.1,6,佐藤　ほのか,佐藤　ほのか.1
2.0,3.0,6.7,1.0,3.0,41.9,1.0,2.0,175.1,1.0,2.0,48.7,1.0,2.0,996.0,1.0,2.0,61.5
2.0,4.0,3.8,1.0,4.0,24.6,1.0,4.0,170.9,1.0,3.0,122.9,1.0,3.0,1340.0,1.0,3.0,148.4
2.0,5.0,64.6,1.0,5.0,212.4,1.0,5.0,634.1,1.0,5.0,232.9,1.0,4.0,1163.0,1.0,4.0,85.4
2.0,6.0,11.9,1.0,6.0,52.2,1.0,6.0,302.7,1.0,6.0,91.6,1.0,6.0,1644.0,1.0,5.0,489.5
3.0,2.0,15.6,3.0,1.0,162.2,2.0,1.0,273.2,2.0,1.0,82.8,2.0,1.0,1593.0,2.0,1.0,97.7
3.0,4.0,16.7,3.0,4.0,250.5,2.0,4.0,504.0,2.0,3.0,287.7,2.0,3.0,2540.0,2.0,3.0,424.1
3.0,5.0,139.0,3.0,5.0,1073.0,2.0,5.0,1470.0,2.0,5.0,522.5,2.0,4.0,2136.0,2.0,4.0,252.3
3.0,6.0,41.7,3.0,6.0,534.7,2.0,6.0,979.0,2.0,6.0,240.5,2.0,6.0,2737.0,2.0,5.0,1215.0
4.0,2.0,8.1,4.0,1.0,71.9,4.0,1.0,289.7,3.0,1.0,303.7,3.0,1.0,2014.0,3.0,1.0,406.0
4.0,3.0,17.5,4.0,3.0,210.9,4.0,2.0,594.5,3.0,2.0,531.6,3.0,2.0,2930.0,3.0,2.0,843.5
4.0,5.0,87.0,4.0,5.0,698.0,4.0,5.0,2087.0,3.0,5.0,1571.0,3.0,4.0,3778.0,3.0,4.0,1073.0
4.0,6.0,22.0,4.0,6.0,208.4,4.0,6.0,1022.0,3.0,6.0,849.8,3.0,6.0,4354.0,3.0,5.0,2230.0
5.0,2.0,252.7,5.0,1.0,754.4,5.0,1.0,1372.0,5.0,1.0,396.1,4.0,1.0,1368.0,4.0,1.0,227.1
5.0,3.0,384.5,5.0,3.0,1598.0,5.0,2.0,1609.0,5.0,2.0,614.5,4.0,2.0,2458.0,4.0,2.0,412.6
5.0,4.0,300.1,5.0,4.0,1344.0,5.0,4.0,2146.0,5.0,3.0,1200.0,4.0,3.0,3289.0,4.0,3.0,879.2
5.0,6.0,314.8,5.0,6.0,1632.0,5.0,6.0,3089.0,5.0,6.0,648.5,4.0,6.0,2471.0,4.0,5.0,1638.0
6.0,2.0,28.7,6.0,1.0,175.5,6.0,1.0,626.3,6.0,1.0,184.2,6.0,1.0,2484.0,5.0,1.0,1203.0
6.0,3.0,65.5,6.0,3.0,626.3,6.0,2.0,1465.0,6.0,2.0,313.7,6.0,2.0,3747.0,5.0,2.0,2309.0
6.0,4.0,40.3,6.0,4.0,372.0,6.0,4.0,1489.0,6.0,3.0,731.5,6.0,3.0,4118.0,5.0,3.0,2705.0
6.0,5.0,301.3,6.0,5.0,1046.0,6.0,5.0,3048.0,6.0,5.0,852.9,6.0,4.0,3463.0,5.0,4.0,2252.0
