1,松崎　祐太郎,松崎　祐太郎.1,2,下河 雅史,下河 雅史.1,3,西村 歩,西村 歩.1,4,山ノ内　雅人,山ノ内　雅人.1,5,安藤 裕貴,安藤 裕貴.1,6,山本 英志,山本 英志.1
2.0,3.0,10.6,1.0,3.0,91.0,1.0,2.0,164.5,1.0,2.0,56.4,1.0,2.0,433.6,1.0,2.0,84.4
2.0,4.0,7.4,1.0,4.0,73.1,1.0,4.0,148.4,1.0,3.0,109.6,1.0,3.0,659.8,1.0,3.0,144.3
2.0,5.0,30.4,1.0,5.0,187.5,1.0,5.0,290.0,1.0,5.0,97.3,1.0,4.0,448.8,1.0,4.0,98.1
2.0,6.0,11.0,1.0,6.0,80.4,1.0,6.0,190.0,1.0,6.0,45.5,1.0,6.0,322.4,1.0,5.0,224.3
3.0,2.0,16.7,3.0,1.0,281.1,2.0,1.0,324.5,2.0,1.0,140.6,2.0,1.0,814.6,2.0,1.0,172.0
3.0,4.0,16.0,3.0,4.0,773.2,2.0,4.0,697.0,2.0,3.0,607.2,2.0,3.0,1609.0,2.0,3.0,427.5
3.0,5.0,46.4,3.0,5.0,1134.0,2.0,5.0,1102.0,2.0,5.0,447.8,2.0,4.0,1328.0,2.0,4.0,413.7
3.0,6.0,23.3,3.0,6.0,752.6,2.0,6.0,536.4,2.0,6.0,251.3,2.0,6.0,1147.0,2.0,5.0,780.8
4.0,2.0,10.5,4.0,1.0,196.5,4.0,1.0,279.0,3.0,1.0,281.5,3.0,1.0,1203.0,3.0,1.0,446.3
4.0,3.0,17.0,4.0,3.0,687.3,4.0,2.0,742.8,3.0,2.0,807.9,3.0,2.0,1824.0,3.0,2.0,987.3
4.0,5.0,35.6,4.0,5.0,893.7,4.0,5.0,960.9,3.0,5.0,1064.0,3.0,4.0,2199.0,3.0,4.0,804.7
4.0,6.0,11.5,4.0,6.0,397.5,4.0,6.0,507.5,3.0,6.0,519.5,3.0,6.0,2288.0,3.0,5.0,1642.0
5.0,2.0,67.2,5.0,1.0,657.6,5.0,1.0,751.2,5.0,1.0,139.4,4.0,1.0,505.6,4.0,1.0,171.6
5.0,3.0,90.1,5.0,3.0,1583.0,5.0,2.0,1260.0,5.0,2.0,277.6,4.0,2.0,935.9,4.0,2.0,395.9
5.0,4.0,83.2,5.0,4.0,1379.0,5.0,4.0,1328.0,5.0,3.0,610.0,4.0,3.0,1466.0,4.0,3.0,524.3
5.0,6.0,64.3,5.0,6.0,1245.0,5.0,6.0,1596.0,5.0,6.0,153.6,4.0,6.0,517.5,4.0,5.0,510.1
6.0,2.0,23.0,6.0,1.0,239.3,6.0,1.0,384.3,6.0,1.0,72.1,6.0,1.0,491.8,5.0,1.0,509.5
6.0,3.0,36.3,6.0,3.0,780.8,6.0,2.0,552.1,6.0,2.0,148.1,6.0,2.0,1115.0,5.0,2.0,1121.0
6.0,4.0,23.0,6.0,4.0,493.0,6.0,4.0,575.4,6.0,3.0,302.4,6.0,3.0,1516.0,5.0,3.0,1494.0
6.0,5.0,63.0,6.0,5.0,1047.0,6.0,5.0,1256.0,6.0,5.0,165.3,6.0,4.0,771.7,5.0,4.0,712.0
