1,久田 敏之,久田 敏之.1,2,横田 貴満,横田 貴満.1,3,正木 聖賢,正木 聖賢.1,4,黒柳 浩孝,黒柳 浩孝.1,5,北川 潤二,北川 潤二.1,6,森 照夫,森 照夫.1
2.0,3.0,9.4,1.0,3.0,57.3,1.0,2.0,130.4,1.0,2.0,40.4,1.0,2.0,233.6,1.0,2.0,256.7
2.0,4.0,9.9,1.0,4.0,49.3,1.0,4.0,112.5,1.0,3.0,65.1,1.0,3.0,266.1,1.0,3.0,432.1
2.0,5.0,12.0,1.0,5.0,57.0,1.0,5.0,121.0,1.0,5.0,66.2,1.0,4.0,228.6,1.0,4.0,231.7
2.0,6.0,42.5,1.0,6.0,143.8,1.0,6.0,351.6,1.0,6.0,43.8,1.0,6.0,560.2,1.0,5.0,550.4
3.0,2.0,14.1,3.0,1.0,184.6,2.0,1.0,268.3,2.0,1.0,70.3,2.0,1.0,403.2,2.0,1.0,461.7
3.0,4.0,13.6,3.0,4.0,264.6,2.0,4.0,376.5,2.0,3.0,159.7,2.0,3.0,846.6,2.0,3.0,754.1
3.0,5.0,15.6,3.0,5.0,342.8,2.0,5.0,484.7,2.0,5.0,159.8,2.0,4.0,640.7,2.0,4.0,404.1
3.0,6.0,56.2,3.0,6.0,668.2,2.0,6.0,874.3,2.0,6.0,71.9,2.0,6.0,1251.0,2.0,5.0,873.4
4.0,2.0,15.6,4.0,1.0,130.1,4.0,1.0,235.8,3.0,1.0,168.3,3.0,1.0,488.3,3.0,1.0,1042.0
4.0,3.0,18.7,4.0,3.0,226.6,4.0,2.0,396.6,3.0,2.0,276.7,3.0,2.0,1002.0,3.0,2.0,1424.0
4.0,5.0,23.4,4.0,5.0,242.9,4.0,5.0,422.0,3.0,5.0,364.8,3.0,4.0,944.8,3.0,4.0,1030.0
4.0,6.0,40.8,4.0,6.0,244.8,4.0,6.0,624.8,3.0,6.0,223.5,3.0,6.0,1701.0,3.0,5.0,1746.0
5.0,2.0,26.2,5.0,1.0,235.3,5.0,1.0,327.3,5.0,1.0,140.6,4.0,1.0,307.8,4.0,1.0,203.5
5.0,3.0,28.0,5.0,3.0,470.3,5.0,2.0,632.1,5.0,2.0,220.7,4.0,2.0,475.5,4.0,2.0,218.8
5.0,4.0,33.2,5.0,4.0,357.5,5.0,4.0,518.4,5.0,3.0,329.3,4.0,3.0,641.6,4.0,3.0,417.7
5.0,6.0,93.8,5.0,6.0,818.3,5.0,6.0,973.8,5.0,6.0,241.4,4.0,6.0,646.5,4.0,5.0,482.5
6.0,2.0,86.9,6.0,1.0,407.0,6.0,1.0,857.7,6.0,1.0,48.5,6.0,1.0,1101.0,5.0,1.0,1247.0
6.0,3.0,114.7,6.0,3.0,678.8,6.0,2.0,1277.0,6.0,2.0,59.9,6.0,2.0,1636.0,5.0,2.0,1585.0
6.0,4.0,85.6,6.0,4.0,429.0,6.0,4.0,971.6,6.0,3.0,109.0,6.0,3.0,1639.0,5.0,3.0,1739.0
6.0,5.0,151.9,6.0,5.0,748.9,6.0,5.0,1438.0,6.0,5.0,137.6,6.0,4.0,1214.0,5.0,4.0,1152.0
