1,北川 潤二,北川 潤二.1,2,森 照夫,森 照夫.1,3,広次 修,広次 修.1,4,眞鳥 康太,眞鳥 康太.1,5,久田 敏之,久田 敏之.1,6,林 恵祐,林 恵祐.1
2.0,3.0,17.1,1.0,3.0,55.7,1.0,2.0,139.5,1.0,2.0,142.1,1.0,2.0,33.6,1.0,2.0,826.1
2.0,4.0,23.7,1.0,4.0,68.6,1.0,4.0,117.9,1.0,3.0,110.5,1.0,3.0,35.7,1.0,3.0,1073.0
2.0,5.0,10.7,1.0,5.0,43.2,1.0,5.0,74.9,1.0,5.0,67.3,1.0,4.0,39.6,1.0,4.0,758.6
2.0,6.0,93.0,1.0,6.0,202.3,1.0,6.0,333.6,1.0,6.0,192.1,1.0,6.0,61.0,1.0,5.0,602.2
3.0,2.0,19.0,3.0,1.0,132.0,2.0,1.0,240.5,2.0,1.0,245.0,2.0,1.0,81.3,2.0,1.0,1066.0
3.0,4.0,22.2,3.0,4.0,256.5,2.0,4.0,348.3,2.0,3.0,426.4,2.0,3.0,175.3,2.0,3.0,1461.0
3.0,5.0,11.0,3.0,5.0,161.5,2.0,5.0,239.4,2.0,5.0,250.4,2.0,4.0,159.7,2.0,4.0,1282.0
3.0,6.0,89.1,3.0,6.0,464.1,2.0,6.0,710.7,2.0,6.0,376.5,2.0,6.0,207.8,2.0,5.0,1252.0
4.0,2.0,42.0,4.0,1.0,171.1,4.0,1.0,267.9,3.0,1.0,236.2,3.0,1.0,88.1,3.0,1.0,1610.0
4.0,3.0,32.5,4.0,3.0,315.5,4.0,2.0,397.4,3.0,2.0,544.1,3.0,2.0,177.0,3.0,2.0,2161.0
4.0,5.0,23.3,4.0,5.0,227.0,4.0,5.0,266.5,3.0,5.0,252.0,3.0,4.0,159.7,3.0,4.0,1626.0
4.0,6.0,127.8,4.0,6.0,582.2,4.0,6.0,525.9,3.0,6.0,519.0,3.0,6.0,280.7,3.0,5.0,1326.0
5.0,2.0,12.2,5.0,1.0,85.2,5.0,1.0,112.3,5.0,1.0,78.1,4.0,1.0,58.8,4.0,1.0,843.8
5.0,3.0,11.5,5.0,3.0,156.5,5.0,2.0,203.0,5.0,2.0,155.6,4.0,2.0,120.3,4.0,2.0,1272.0
5.0,4.0,15.7,5.0,4.0,188.0,5.0,4.0,197.9,5.0,3.0,152.7,4.0,3.0,134.9,4.0,3.0,1293.0
5.0,6.0,43.4,5.0,6.0,295.4,5.0,6.0,358.6,5.0,6.0,149.9,4.0,6.0,104.0,4.0,5.0,839.3
6.0,2.0,349.8,6.0,1.0,540.3,6.0,1.0,848.3,6.0,1.0,239.8,6.0,1.0,140.5,5.0,1.0,641.4
6.0,3.0,296.6,6.0,3.0,1073.0,6.0,2.0,1051.0,6.0,2.0,328.7,6.0,2.0,262.5,5.0,2.0,1232.0
6.0,4.0,247.7,6.0,4.0,881.5,6.0,4.0,792.9,6.0,3.0,387.7,6.0,3.0,292.2,5.0,3.0,1066.0
6.0,5.0,197.2,6.0,5.0,561.5,6.0,5.0,573.7,6.0,5.0,262.1,6.0,4.0,193.8,5.0,4.0,826.1
