1,森 晋太郎,森 晋太郎.1,2,羽野 諒,羽野 諒.1,3,山口 修路,山口 修路.1,4,井上 恵一,井上 恵一.1,5,安部 慎一,安部 慎一.1,6,松下 哲也,松下 哲也.1
2.0,3.0,10.7,1.0,3.0,18.6,1.0,2.0,44.3,1.0,2.0,168.2,1.0,2.0,205.8,1.0,2.0,63.1
2.0,4.0,20.8,1.0,4.0,36.1,1.0,4.0,104.5,1.0,3.0,210.1,1.0,3.0,207.5,1.0,3.0,80.2
2.0,5.0,20.0,1.0,5.0,36.9,1.0,5.0,61.9,1.0,5.0,213.6,1.0,4.0,364.6,1.0,4.0,166.8
2.0,6.0,23.5,1.0,6.0,29.4,1.0,6.0,74.4,1.0,6.0,226.9,1.0,6.0,243.1,1.0,5.0,154.7
3.0,2.0,14.3,3.0,1.0,39.7,2.0,1.0,61.4,2.0,1.0,214.0,2.0,1.0,263.8,2.0,1.0,64.0
3.0,4.0,27.1,3.0,4.0,77.2,2.0,4.0,117.0,2.0,3.0,222.4,2.0,3.0,275.9,2.0,3.0,67.0
3.0,5.0,23.9,3.0,5.0,58.1,2.0,5.0,77.7,2.0,5.0,301.2,2.0,4.0,564.1,2.0,4.0,136.5
3.0,6.0,32.0,3.0,6.0,50.3,2.0,6.0,78.1,2.0,6.0,249.0,2.0,6.0,289.2,2.0,5.0,104.1
4.0,2.0,57.2,4.0,1.0,107.3,4.0,1.0,167.1,3.0,1.0,297.6,3.0,1.0,293.4,3.0,1.0,141.2
4.0,3.0,67.5,4.0,3.0,127.7,4.0,2.0,160.5,3.0,2.0,306.6,3.0,2.0,319.0,3.0,2.0,109.2
4.0,5.0,109.0,4.0,5.0,174.5,4.0,5.0,205.4,3.0,5.0,378.1,3.0,4.0,658.7,3.0,4.0,293.4
4.0,6.0,109.9,4.0,6.0,130.9,4.0,6.0,232.0,3.0,6.0,343.8,3.0,6.0,402.0,3.0,5.0,221.4
5.0,2.0,64.4,5.0,1.0,112.3,5.0,1.0,129.9,5.0,1.0,302.0,4.0,1.0,474.9,4.0,1.0,357.0
5.0,3.0,78.2,5.0,3.0,111.7,5.0,2.0,135.9,5.0,2.0,382.4,4.0,2.0,604.1,4.0,2.0,276.7
5.0,4.0,182.0,5.0,4.0,236.3,5.0,4.0,245.4,5.0,3.0,459.9,4.0,3.0,638.1,4.0,3.0,343.8
5.0,6.0,131.5,5.0,6.0,116.6,5.0,6.0,170.7,5.0,6.0,340.3,4.0,6.0,442.0,4.0,5.0,413.3
6.0,2.0,49.0,6.0,1.0,68.8,6.0,1.0,132.7,6.0,1.0,315.1,6.0,1.0,309.4,5.0,1.0,314.1
6.0,3.0,63.2,6.0,3.0,72.9,6.0,2.0,118.1,6.0,2.0,323.1,6.0,2.0,359.5,5.0,2.0,186.6
6.0,4.0,111.7,6.0,4.0,141.6,6.0,4.0,255.2,6.0,3.0,331.5,6.0,3.0,398.8,5.0,3.0,288.4
6.0,5.0,102.9,6.0,5.0,114.0,6.0,5.0,195.9,6.0,5.0,382.4,6.0,4.0,597.1,5.0,4.0,483.9
