1,原田　才一郎,原田　才一郎.1,2,森 晋太郎,森 晋太郎.1,3,沖島 広和,沖島 広和.1,4,富永 修一,富永 修一.1,5,中島 真二,中島 真二.1,6,上野 秀和,上野 秀和.1
2.0,3.0,7.8,1.0,3.0,53.6,1.0,2.0,54.3,1.0,2.0,48.5,1.0,2.0,591.5,1.0,2.0,865.2
2.0,4.0,8.9,1.0,4.0,60.4,1.0,4.0,42.1,1.0,3.0,54.2,1.0,3.0,518.4,1.0,3.0,755.5
2.0,5.0,29.8,1.0,5.0,149.8,1.0,5.0,95.2,1.0,5.0,63.6,1.0,4.0,549.6,1.0,4.0,602.6
2.0,6.0,45.4,1.0,6.0,177.3,1.0,6.0,128.8,1.0,6.0,86.4,1.0,6.0,580.7,1.0,5.0,1071.0
3.0,2.0,8.2,3.0,1.0,115.6,2.0,1.0,114.7,2.0,1.0,146.2,2.0,1.0,1080.0,2.0,1.0,2116.0
3.0,4.0,6.8,3.0,4.0,168.9,2.0,4.0,169.1,2.0,3.0,226.4,2.0,3.0,1340.0,2.0,3.0,2814.0
3.0,5.0,21.2,3.0,5.0,379.4,2.0,5.0,344.2,2.0,5.0,281.1,2.0,4.0,1004.0,2.0,4.0,2724.0
3.0,6.0,28.7,3.0,6.0,394.0,2.0,6.0,343.3,2.0,6.0,338.3,2.0,6.0,1696.0,2.0,5.0,3326.0
4.0,2.0,12.4,4.0,1.0,149.4,4.0,1.0,85.2,3.0,1.0,128.4,3.0,1.0,892.4,3.0,1.0,1062.0
4.0,3.0,11.1,4.0,3.0,205.0,4.0,2.0,160.7,3.0,2.0,235.4,3.0,2.0,1196.0,3.0,2.0,1300.0
4.0,5.0,27.2,4.0,5.0,360.7,4.0,5.0,194.4,3.0,5.0,285.8,3.0,4.0,1196.0,3.0,4.0,1169.0
4.0,6.0,35.3,4.0,6.0,408.4,4.0,6.0,251.5,3.0,6.0,354.7,3.0,6.0,1766.0,3.0,5.0,1369.0
5.0,2.0,102.3,5.0,1.0,604.0,5.0,1.0,411.1,5.0,1.0,99.8,4.0,1.0,626.2,4.0,1.0,645.1
5.0,3.0,84.2,5.0,3.0,606.9,5.0,2.0,611.2,5.0,2.0,190.4,4.0,2.0,901.8,4.0,2.0,1219.0
5.0,4.0,100.7,5.0,4.0,609.8,5.0,4.0,472.5,5.0,3.0,235.8,4.0,3.0,1062.0,4.0,3.0,1138.0
5.0,6.0,190.7,5.0,6.0,783.2,5.0,6.0,489.7,5.0,6.0,180.7,4.0,6.0,826.2,4.0,5.0,1169.0
6.0,2.0,192.8,6.0,1.0,892.4,6.0,1.0,484.1,6.0,1.0,208.7,6.0,1.0,1313.0,5.0,1.0,3049.0
6.0,3.0,147.9,6.0,3.0,1196.0,6.0,2.0,760.0,6.0,2.0,340.1,6.0,2.0,2189.0,5.0,2.0,3242.0
6.0,4.0,153.5,6.0,4.0,1012.0,6.0,4.0,605.4,6.0,3.0,392.8,6.0,3.0,2082.0,5.0,3.0,2814.0
6.0,5.0,260.0,6.0,5.0,1153.0,6.0,5.0,586.0,6.0,5.0,286.8,6.0,4.0,1399.0,5.0,4.0,2227.0
