1,平田　さやか,平田　さやか.1,2,中川 りな,中川 りな.1,3,堀之内紀代子,堀之内紀代子.1,4,坂本 奈央,坂本 奈央.1,5,赤澤 文香,赤澤 文香.1,6,植木 美帆,植木 美帆.1
2.0,3.0,6.1,1.0,3.0,27.6,1.0,2.0,11.1,1.0,2.0,1213.0,1.0,2.0,168.4,1.0,2.0,851.7
2.0,4.0,123.9,1.0,4.0,335.9,1.0,4.0,119.4,1.0,3.0,1169.0,1.0,3.0,121.1,1.0,3.0,548.6
2.0,5.0,17.9,1.0,5.0,59.7,1.0,5.0,13.1,1.0,5.0,1531.0,1.0,4.0,876.0,1.0,4.0,2202.0
2.0,6.0,55.6,1.0,6.0,140.1,1.0,6.0,33.8,1.0,6.0,1837.0,1.0,6.0,378.9,1.0,5.0,1059.0
3.0,2.0,5.0,3.0,1.0,37.4,2.0,1.0,24.1,2.0,1.0,1032.0,2.0,1.0,258.4,2.0,1.0,1299.0
3.0,4.0,84.6,3.0,4.0,496.5,2.0,4.0,263.2,2.0,3.0,1603.0,2.0,3.0,245.9,2.0,3.0,1441.0
3.0,5.0,7.9,3.0,5.0,86.5,2.0,5.0,43.1,2.0,5.0,2122.0,2.0,4.0,1771.0,2.0,4.0,3633.0
3.0,6.0,25.1,3.0,6.0,233.0,2.0,6.0,98.6,2.0,6.0,2372.0,2.0,6.0,832.9,2.0,5.0,2172.0
4.0,2.0,407.5,4.0,1.0,1028.0,4.0,1.0,315.8,3.0,1.0,1190.0,3.0,1.0,118.3,3.0,1.0,652.8
4.0,3.0,367.0,4.0,3.0,1197.0,4.0,2.0,477.0,3.0,2.0,1674.0,3.0,2.0,195.0,3.0,2.0,1258.0
4.0,5.0,570.0,4.0,5.0,1832.0,4.0,5.0,393.7,3.0,5.0,1960.0,3.0,4.0,947.0,3.0,4.0,2511.0
4.0,6.0,732.4,4.0,6.0,2061.0,4.0,6.0,471.1,3.0,6.0,1997.0,3.0,6.0,328.2,3.0,5.0,1068.0
5.0,2.0,39.0,5.0,1.0,137.5,5.0,1.0,25.3,5.0,1.0,1591.0,4.0,1.0,2232.0,4.0,1.0,3199.0
5.0,3.0,28.5,5.0,3.0,179.1,5.0,2.0,41.8,5.0,2.0,2067.0,4.0,2.0,2783.0,4.0,2.0,4344.0
5.0,4.0,363.3,5.0,4.0,1110.0,5.0,4.0,227.2,5.0,3.0,2492.0,4.0,3.0,2187.0,4.0,3.0,3438.0
5.0,6.0,109.2,5.0,6.0,481.6,5.0,6.0,57.0,5.0,6.0,2129.0,4.0,6.0,2561.0,4.0,5.0,3945.0
6.0,2.0,191.7,6.0,1.0,468.6,6.0,1.0,88.8,6.0,1.0,2541.0,6.0,1.0,732.4,5.0,1.0,1674.0
6.0,3.0,138.2,6.0,3.0,677.6,6.0,2.0,162.6,6.0,2.0,2883.0,6.0,2.0,998.5,5.0,2.0,2288.0
6.0,4.0,729.0,6.0,4.0,1966.0,6.0,4.0,415.6,6.0,3.0,3152.0,6.0,3.0,627.3,5.0,3.0,1371.0
6.0,5.0,240.6,6.0,5.0,906.9,6.0,5.0,118.0,6.0,5.0,3297.0,6.0,4.0,1869.0,5.0,4.0,3592.0
