1,中村 辰也,中村 辰也.1,2,高橋 直哉,高橋 直哉.1,3,富田 恕生,富田 恕生.1,4,百武 翔,百武 翔.1,5,松本 博昭,松本 博昭.1,6,桑原 啓,桑原 啓.1
2.0,3.0,9.5,1.0,3.0,85.9,1.0,2.0,93.7,1.0,2.0,116.5,1.0,2.0,313.6,1.0,2.0,277.8
2.0,4.0,8.2,1.0,4.0,90.2,1.0,4.0,64.9,1.0,3.0,109.1,1.0,3.0,251.5,1.0,3.0,344.7
2.0,5.0,16.2,1.0,5.0,137.6,1.0,5.0,92.8,1.0,5.0,91.2,1.0,4.0,223.1,1.0,4.0,367.3
2.0,6.0,43.4,1.0,6.0,244.9,1.0,6.0,224.7,1.0,6.0,204.7,1.0,6.0,429.4,1.0,5.0,476.9
3.0,2.0,10.3,3.0,1.0,247.5,2.0,1.0,256.0,2.0,1.0,292.3,2.0,1.0,804.4,2.0,1.0,516.1
3.0,4.0,7.4,3.0,4.0,457.2,2.0,4.0,336.9,2.0,3.0,543.5,2.0,3.0,1448.0,2.0,3.0,895.7
3.0,5.0,14.2,3.0,5.0,692.2,2.0,5.0,468.7,2.0,5.0,526.0,2.0,4.0,1361.0,2.0,4.0,951.2
3.0,6.0,38.1,3.0,6.0,1150.0,2.0,6.0,989.1,2.0,6.0,792.2,2.0,6.0,1797.0,2.0,5.0,1375.0
4.0,2.0,10.8,4.0,1.0,251.4,4.0,1.0,179.1,3.0,1.0,248.2,3.0,1.0,573.4,3.0,1.0,695.0
4.0,3.0,10.3,4.0,3.0,614.7,4.0,2.0,356.8,3.0,2.0,495.5,3.0,2.0,1436.0,3.0,2.0,1299.0
4.0,5.0,13.6,4.0,5.0,743.6,4.0,5.0,316.8,3.0,5.0,420.7,3.0,4.0,1042.0,3.0,4.0,1408.0
4.0,6.0,37.2,4.0,6.0,916.1,4.0,6.0,566.0,3.0,6.0,625.8,3.0,6.0,1959.0,3.0,5.0,1997.0
5.0,2.0,32.3,5.0,1.0,617.6,5.0,1.0,341.8,5.0,1.0,166.5,4.0,1.0,309.1,4.0,1.0,721.0
5.0,3.0,32.8,5.0,3.0,1250.0,5.0,2.0,707.3,5.0,2.0,426.5,4.0,2.0,770.0,4.0,2.0,1223.0
5.0,4.0,31.3,5.0,4.0,1070.0,5.0,4.0,522.8,5.0,3.0,445.9,4.0,3.0,792.2,4.0,3.0,1299.0
5.0,6.0,69.0,5.0,6.0,1524.0,5.0,6.0,1028.0,5.0,6.0,397.9,4.0,6.0,728.0,4.0,5.0,1405.0
6.0,2.0,98.3,6.0,1.0,740.4,6.0,1.0,762.1,6.0,1.0,555.1,6.0,1.0,932.5,5.0,1.0,1012.0
6.0,3.0,94.0,6.0,3.0,1570.0,6.0,2.0,1551.0,6.0,2.0,1099.0,6.0,2.0,1810.0,5.0,2.0,1967.0
6.0,4.0,96.9,6.0,4.0,1343.0,6.0,4.0,1215.0,6.0,3.0,1235.0,6.0,3.0,1902.0,5.0,3.0,2227.0
6.0,5.0,128.2,6.0,5.0,1868.0,6.0,5.0,1472.0,6.0,5.0,891.1,6.0,4.0,1460.0,5.0,4.0,1603.0
