1,田中 宏樹,田中 宏樹.1,2,奥田 誠,奥田 誠.1,3,長尾　京志郎,長尾　京志郎.1,4,杉江 浩明,杉江 浩明.1,5,磯村 匠,磯村 匠.1,6,廣瀬 真也,廣瀬 真也.1
2.0,3.0,7.2,1.0,3.0,35.1,1.0,2.0,54.5,1.0,2.0,93.5,1.0,2.0,173.4,1.0,2.0,122.8
2.0,4.0,17.5,1.0,4.0,53.5,1.0,4.0,69.1,1.0,3.0,112.4,1.0,3.0,188.8,1.0,3.0,145.8
2.0,5.0,23.1,1.0,5.0,75.3,1.0,5.0,67.1,1.0,5.0,107.0,1.0,4.0,210.2,1.0,4.0,334.8
2.0,6.0,18.9,1.0,6.0,49.5,1.0,6.0,57.3,1.0,6.0,92.0,1.0,6.0,123.0,1.0,5.0,255.9
3.0,2.0,10.3,3.0,1.0,92.6,2.0,1.0,95.0,2.0,1.0,164.1,2.0,1.0,265.4,2.0,1.0,197.2
3.0,4.0,21.1,3.0,4.0,225.8,2.0,4.0,165.5,2.0,3.0,244.0,2.0,3.0,488.1,2.0,3.0,303.1
3.0,5.0,21.0,3.0,5.0,251.5,2.0,5.0,202.1,2.0,5.0,303.1,2.0,4.0,702.4,2.0,4.0,476.0
3.0,6.0,20.8,3.0,6.0,213.3,2.0,6.0,156.0,2.0,6.0,229.4,2.0,6.0,417.3,2.0,5.0,402.7
4.0,2.0,28.3,4.0,1.0,129.1,4.0,1.0,174.5,3.0,1.0,224.1,3.0,1.0,340.8,3.0,1.0,269.1
4.0,3.0,35.5,4.0,3.0,276.9,4.0,2.0,258.2,3.0,2.0,314.7,3.0,2.0,518.9,3.0,2.0,369.2
4.0,5.0,51.9,4.0,5.0,677.6,4.0,5.0,314.7,3.0,5.0,374.0,3.0,4.0,581.8,3.0,4.0,599.9
4.0,6.0,35.3,4.0,6.0,366.8,4.0,6.0,242.0,3.0,6.0,309.6,3.0,6.0,389.1,3.0,5.0,538.3
5.0,2.0,45.2,5.0,1.0,173.4,5.0,1.0,139.8,5.0,1.0,114.7,4.0,1.0,225.8,4.0,1.0,426.6
5.0,3.0,49.3,5.0,3.0,224.9,5.0,2.0,176.6,5.0,2.0,176.1,4.0,2.0,394.5,4.0,2.0,559.2
5.0,4.0,77.6,5.0,4.0,299.9,5.0,4.0,213.3,5.0,3.0,191.3,4.0,3.0,472.1,4.0,3.0,738.4
5.0,6.0,45.7,5.0,6.0,252.6,5.0,6.0,172.9,5.0,6.0,133.3,4.0,6.0,274.2,4.0,5.0,738.4
6.0,2.0,44.8,6.0,1.0,178.3,6.0,1.0,169.4,6.0,1.0,178.8,6.0,1.0,226.7,5.0,1.0,376.4
6.0,3.0,43.4,6.0,3.0,321.7,6.0,2.0,252.6,6.0,2.0,279.6,6.0,2.0,362.2,5.0,2.0,543.3
6.0,4.0,69.3,6.0,4.0,460.7,6.0,4.0,371.6,6.0,3.0,327.2,6.0,3.0,353.3,5.0,3.0,514.2
6.0,5.0,67.3,6.0,5.0,559.2,6.0,5.0,351.2,6.0,5.0,271.6,6.0,4.0,417.3,5.0,4.0,859.6
