1,青木 蓮,青木 蓮.1,2,沢田 昭宏,沢田 昭宏.1,3,今村 暢孝,今村 暢孝.1,4,中 亮太,中 亮太.1,5,大谷 直弘,大谷 直弘.1,6,加藤 奈月,加藤 奈月.1
2.0,3.0,42.3,1.0,3.0,267.9,1.0,2.0,90.9,1.0,2.0,63.1,1.0,2.0,282.0,1.0,2.0,2450.0
2.0,4.0,47.2,1.0,4.0,253.6,1.0,4.0,22.1,1.0,3.0,17.5,1.0,3.0,98.6,1.0,3.0,2936.0
2.0,5.0,93.1,1.0,5.0,415.3,1.0,5.0,41.6,1.0,5.0,21.3,1.0,4.0,94.4,1.0,4.0,2090.0
2.0,6.0,382.2,1.0,6.0,1022.0,1.0,6.0,284.6,1.0,6.0,140.0,1.0,6.0,319.2,1.0,5.0,2624.0
3.0,2.0,23.6,3.0,1.0,365.3,2.0,1.0,208.3,2.0,1.0,152.5,2.0,1.0,543.4,2.0,1.0,2913.0
3.0,4.0,7.4,3.0,4.0,283.5,2.0,4.0,138.8,2.0,3.0,138.5,2.0,3.0,549.8,2.0,3.0,4458.0
3.0,5.0,20.7,3.0,5.0,375.3,2.0,5.0,225.9,2.0,5.0,132.8,2.0,4.0,437.4,2.0,4.0,3854.0
3.0,6.0,159.0,3.0,6.0,1267.0,2.0,6.0,824.1,2.0,6.0,428.3,2.0,6.0,1189.0,2.0,5.0,4205.0
4.0,2.0,26.5,4.0,1.0,262.2,4.0,1.0,28.4,3.0,1.0,23.7,3.0,1.0,129.1,3.0,1.0,2913.0
4.0,3.0,8.2,4.0,3.0,254.6,4.0,2.0,98.7,3.0,2.0,80.1,3.0,2.0,313.0,3.0,2.0,4302.0
4.0,5.0,15.4,4.0,5.0,264.1,4.0,5.0,38.3,3.0,5.0,25.8,3.0,4.0,104.7,3.0,4.0,2189.0
4.0,6.0,151.9,4.0,6.0,822.3,4.0,6.0,233.9,3.0,6.0,148.1,3.0,6.0,408.9,3.0,5.0,3426.0
5.0,2.0,108.8,5.0,1.0,612.6,5.0,1.0,90.0,5.0,1.0,20.8,4.0,1.0,74.6,4.0,1.0,2055.0
5.0,3.0,45.4,5.0,3.0,527.1,5.0,2.0,221.1,5.0,2.0,74.2,4.0,2.0,221.4,4.0,2.0,3136.0
5.0,4.0,42.1,5.0,4.0,423.4,5.0,4.0,71.6,5.0,3.0,20.5,4.0,3.0,68.2,4.0,3.0,2067.0
5.0,6.0,277.6,5.0,6.0,1233.0,5.0,6.0,393.2,5.0,6.0,58.7,4.0,6.0,204.0,4.0,5.0,1888.0
6.0,2.0,755.2,6.0,1.0,2151.0,6.0,1.0,1051.0,6.0,1.0,327.7,6.0,1.0,620.8,5.0,1.0,2202.0
6.0,3.0,613.6,6.0,3.0,3162.0,6.0,2.0,1989.0,6.0,2.0,670.3,6.0,2.0,1069.0,5.0,2.0,4066.0
6.0,4.0,480.5,6.0,4.0,2483.0,6.0,4.0,862.6,6.0,3.0,358.9,6.0,3.0,717.1,5.0,3.0,3246.0
6.0,5.0,752.1,6.0,5.0,2913.0,6.0,5.0,1174.0,6.0,5.0,273.3,6.0,4.0,601.7,5.0,4.0,1888.0
