1,中辻 博訓,中辻 博訓.1,2,松井 賢治,松井 賢治.1,3,柴田 大輔,柴田 大輔.1,4,宗行 治哉,宗行 治哉.1,5,和合 俊介,和合 俊介.1,6,森 雄利,森 雄利.1
2.0,3.0,9.5,1.0,3.0,62.4,1.0,2.0,87.6,1.0,2.0,24.3,1.0,2.0,320.2,1.0,2.0,3113.0
2.0,4.0,4.8,1.0,4.0,36.0,1.0,4.0,59.7,1.0,3.0,46.0,1.0,3.0,506.4,1.0,3.0,4311.0
2.0,5.0,28.1,1.0,5.0,145.8,1.0,5.0,142.6,1.0,5.0,37.4,1.0,4.0,279.7,1.0,4.0,3233.0
2.0,6.0,234.8,1.0,6.0,605.8,1.0,6.0,877.9,1.0,6.0,224.3,1.0,6.0,952.5,1.0,5.0,4003.0
3.0,2.0,13.2,3.0,1.0,182.3,2.0,1.0,215.2,2.0,1.0,54.4,2.0,1.0,586.8,2.0,1.0,5018.0
3.0,4.0,11.4,3.0,4.0,199.2,2.0,4.0,196.4,2.0,3.0,126.4,2.0,3.0,1278.0,2.0,3.0,7154.0
3.0,5.0,42.4,3.0,5.0,673.8,2.0,5.0,559.5,2.0,5.0,115.1,2.0,4.0,715.4,2.0,4.0,3466.0
3.0,6.0,323.3,3.0,6.0,1672.0,2.0,6.0,1943.0,2.0,6.0,458.7,2.0,6.0,2319.0,2.0,5.0,4736.0
4.0,2.0,6.0,4.0,1.0,69.3,4.0,1.0,72.2,3.0,1.0,69.7,3.0,1.0,836.4,3.0,1.0,6593.0
4.0,3.0,10.8,4.0,3.0,162.2,4.0,2.0,107.0,3.0,2.0,101.9,3.0,2.0,1501.0,3.0,2.0,8201.0
4.0,5.0,20.1,4.0,5.0,256.4,4.0,5.0,116.4,3.0,5.0,119.0,3.0,4.0,1222.0,3.0,4.0,5173.0
4.0,6.0,200.3,4.0,6.0,771.2,4.0,6.0,633.2,3.0,6.0,796.8,3.0,6.0,3695.0,3.0,5.0,8622.0
5.0,2.0,63.1,5.0,1.0,511.0,5.0,1.0,226.1,5.0,1.0,58.4,4.0,1.0,288.8,4.0,1.0,3431.0
5.0,3.0,93.3,5.0,3.0,1022.0,5.0,2.0,296.2,5.0,2.0,82.0,4.0,2.0,419.2,4.0,2.0,3264.0
5.0,4.0,64.6,5.0,4.0,571.8,5.0,4.0,229.6,5.0,3.0,138.6,4.0,3.0,822.1,4.0,3.0,7005.0
5.0,6.0,347.0,5.0,6.0,2256.0,5.0,6.0,1481.0,5.0,6.0,251.3,4.0,6.0,1095.0,4.0,5.0,3233.0
6.0,2.0,906.3,6.0,1.0,3113.0,6.0,1.0,2169.0,6.0,1.0,767.7,6.0,1.0,2303.0,5.0,1.0,4945.0
6.0,3.0,1205.0,6.0,3.0,3956.0,6.0,2.0,2975.0,6.0,2.0,889.5,6.0,2.0,5018.0,5.0,2.0,7005.0
6.0,4.0,840.6,6.0,4.0,2241.0,6.0,4.0,2025.0,6.0,3.0,1507.0,6.0,3.0,4873.0,5.0,3.0,6862.0
6.0,5.0,1054.0,6.0,5.0,4367.0,6.0,5.0,2825.0,6.0,5.0,851.2,6.0,4.0,2668.0,5.0,4.0,3577.0
