1,古澤 信二,古澤 信二.1,2,中島 浩哉,中島 浩哉.1,3,岡本 大,岡本 大.1,4,大西 隆洋,大西 隆洋.1,5,角浜 修,角浜 修.1,6,前川 守嗣,前川 守嗣.1
2.0,3.0,10.9,1.0,3.0,18.4,1.0,2.0,42.7,1.0,2.0,181.4,1.0,2.0,100.5,1.0,2.0,129.0
2.0,4.0,25.8,1.0,4.0,41.2,1.0,4.0,92.6,1.0,3.0,235.4,1.0,3.0,147.1,1.0,3.0,198.9
2.0,5.0,18.5,1.0,5.0,26.8,1.0,5.0,47.5,1.0,5.0,288.2,1.0,4.0,300.5,1.0,4.0,353.1
2.0,6.0,17.7,1.0,6.0,26.6,1.0,6.0,60.9,1.0,6.0,190.4,1.0,6.0,125.5,1.0,5.0,258.3
3.0,2.0,15.0,3.0,1.0,44.9,2.0,1.0,59.5,2.0,1.0,238.7,2.0,1.0,121.4,2.0,1.0,169.8
3.0,4.0,36.8,3.0,4.0,109.9,2.0,4.0,137.3,2.0,3.0,362.1,2.0,3.0,185.4,2.0,3.0,194.3
3.0,5.0,20.9,3.0,5.0,56.4,2.0,5.0,59.4,2.0,5.0,339.0,2.0,4.0,387.0,2.0,4.0,495.6
3.0,6.0,33.1,3.0,6.0,59.5,2.0,6.0,68.6,2.0,6.0,234.1,2.0,6.0,150.5,2.0,5.0,269.0
4.0,2.0,57.3,4.0,1.0,156.6,4.0,1.0,187.5,3.0,1.0,287.2,3.0,1.0,172.9,3.0,1.0,305.9
4.0,3.0,79.7,4.0,3.0,206.7,4.0,2.0,201.7,3.0,2.0,371.7,3.0,2.0,220.7,3.0,2.0,235.4
4.0,5.0,104.5,4.0,5.0,228.4,4.0,5.0,195.2,3.0,5.0,356.1,3.0,4.0,443.7,3.0,4.0,614.1
4.0,6.0,92.8,4.0,6.0,191.3,4.0,6.0,199.4,3.0,6.0,351.6,3.0,6.0,278.7,3.0,5.0,470.8
5.0,2.0,41.6,5.0,1.0,74.0,5.0,1.0,74.8,5.0,1.0,283.4,4.0,1.0,387.0,4.0,1.0,623.1
5.0,3.0,47.1,5.0,3.0,109.5,5.0,2.0,93.9,5.0,2.0,310.4,4.0,2.0,432.4,4.0,2.0,592.6
5.0,4.0,130.7,5.0,4.0,274.2,5.0,4.0,198.4,5.0,3.0,409.4,4.0,3.0,588.5,4.0,3.0,799.5
5.0,6.0,71.3,5.0,6.0,110.4,5.0,6.0,97.1,5.0,6.0,212.4,4.0,6.0,281.5,4.0,5.0,646.9
6.0,2.0,41.0,6.0,1.0,93.2,6.0,1.0,141.4,6.0,1.0,255.2,6.0,1.0,172.2,5.0,1.0,344.5
6.0,3.0,61.7,6.0,3.0,123.7,6.0,2.0,139.1,6.0,2.0,267.3,6.0,2.0,182.6,5.0,2.0,276.0
6.0,4.0,121.4,6.0,4.0,250.7,6.0,4.0,258.3,6.0,3.0,397.9,6.0,3.0,236.0,5.0,3.0,476.1
6.0,5.0,112.5,6.0,5.0,149.4,6.0,5.0,178.0,6.0,5.0,294.2,6.0,4.0,341.7,5.0,4.0,572.6
