1,松田 隆司,松田 隆司.1,2,今井 貴士,今井 貴士.1,3,米丸 乃絵,米丸 乃絵.1,4,山田 丈,山田 丈.1,5,出畑 孝典,出畑 孝典.1,6,長野　壮志郎,長野　壮志郎.1
2.0,3.0,18.1,1.0,3.0,36.0,1.0,2.0,174.5,1.0,2.0,76.2,1.0,2.0,136.7,1.0,2.0,294.3
2.0,4.0,10.7,1.0,4.0,20.0,1.0,4.0,197.9,1.0,3.0,185.7,1.0,3.0,405.4,1.0,3.0,859.4
2.0,5.0,13.7,1.0,5.0,22.3,1.0,5.0,201.1,1.0,5.0,74.2,1.0,4.0,210.4,1.0,4.0,503.1
2.0,6.0,22.1,1.0,6.0,31.5,1.0,6.0,202.3,1.0,6.0,90.3,1.0,6.0,173.8,1.0,5.0,547.9
3.0,2.0,32.1,3.0,1.0,103.6,2.0,1.0,221.3,2.0,1.0,97.1,2.0,1.0,155.6,2.0,1.0,286.2
3.0,4.0,37.1,3.0,4.0,100.9,2.0,4.0,221.7,2.0,3.0,248.6,2.0,3.0,409.3,2.0,3.0,516.7
3.0,5.0,51.6,3.0,5.0,95.6,2.0,5.0,190.6,2.0,5.0,93.0,2.0,4.0,187.3,2.0,4.0,320.2
3.0,6.0,66.3,3.0,6.0,116.7,2.0,6.0,200.7,2.0,6.0,115.9,2.0,6.0,140.4,2.0,5.0,259.3
4.0,2.0,18.9,4.0,1.0,52.0,4.0,1.0,305.5,3.0,1.0,397.0,3.0,1.0,679.7,3.0,1.0,1406.0
4.0,3.0,37.1,4.0,3.0,99.7,4.0,2.0,284.3,3.0,2.0,439.5,3.0,2.0,701.9,3.0,2.0,946.8
4.0,5.0,26.5,4.0,5.0,46.3,4.0,5.0,253.2,3.0,5.0,440.7,3.0,4.0,998.9,3.0,4.0,1491.0
4.0,6.0,38.2,4.0,6.0,52.5,4.0,6.0,261.6,3.0,6.0,495.1,3.0,6.0,850.9,3.0,5.0,1491.0
5.0,2.0,37.3,5.0,1.0,61.4,5.0,1.0,430.8,5.0,1.0,78.1,4.0,1.0,181.8,4.0,1.0,679.7
5.0,3.0,66.3,5.0,3.0,108.3,5.0,2.0,387.6,5.0,2.0,84.8,4.0,2.0,167.0,4.0,2.0,419.2
5.0,4.0,44.7,5.0,4.0,68.4,5.0,4.0,373.3,5.0,3.0,224.2,4.0,3.0,583.1,4.0,3.0,1524.0
5.0,6.0,61.9,5.0,6.0,48.4,5.0,6.0,282.9,5.0,6.0,66.7,4.0,6.0,141.7,4.0,5.0,433.5
6.0,2.0,72.0,6.0,1.0,89.4,6.0,1.0,693.4,6.0,1.0,155.3,6.0,1.0,263.6,5.0,1.0,628.9
6.0,3.0,144.4,6.0,3.0,160.0,6.0,2.0,558.5,6.0,2.0,164.2,6.0,2.0,181.7,5.0,2.0,322.9
6.0,4.0,98.7,6.0,4.0,102.8,6.0,4.0,537.6,6.0,3.0,358.6,6.0,3.0,719.4,5.0,3.0,1104.0
6.0,5.0,112.4,6.0,5.0,75.8,6.0,5.0,387.6,6.0,5.0,113.2,6.0,4.0,222.9,5.0,4.0,426.0
