1,山ノ内　雅人,山ノ内　雅人.1,2,森 智也,森 智也.1,3,永田 啓二,永田 啓二.1,4,真庭 明志,真庭 明志.1,5,花本 夏樹,花本 夏樹.1,6,伊藤 誠二,伊藤 誠二.1
2.0,3.0,10.1,1.0,3.0,109.5,1.0,2.0,23.2,1.0,2.0,419.0,1.0,2.0,902.9,1.0,2.0,885.6
2.0,4.0,29.9,1.0,4.0,219.6,1.0,4.0,16.1,1.0,3.0,201.5,1.0,3.0,347.4,1.0,3.0,444.1
2.0,5.0,53.4,1.0,5.0,342.8,1.0,5.0,27.8,1.0,5.0,384.7,1.0,4.0,976.2,1.0,4.0,1119.0
2.0,6.0,49.4,1.0,6.0,339.1,1.0,6.0,21.3,1.0,6.0,319.5,1.0,6.0,813.7,1.0,5.0,1425.0
3.0,2.0,5.0,3.0,1.0,181.9,2.0,1.0,89.1,2.0,1.0,805.0,2.0,1.0,1768.0,2.0,1.0,1307.0
3.0,4.0,5.5,3.0,4.0,442.5,2.0,4.0,179.5,2.0,3.0,871.5,2.0,3.0,1382.0,2.0,3.0,1689.0
3.0,5.0,12.2,3.0,5.0,564.1,2.0,5.0,242.2,2.0,5.0,1445.0,2.0,4.0,2696.0,2.0,4.0,2733.0
3.0,6.0,10.2,3.0,6.0,518.8,2.0,6.0,206.4,2.0,6.0,1245.0,2.0,6.0,2424.0,2.0,5.0,3855.0
4.0,2.0,48.0,4.0,1.0,567.3,4.0,1.0,50.8,3.0,1.0,235.6,3.0,1.0,390.5,3.0,1.0,456.6
4.0,3.0,25.2,4.0,3.0,746.1,4.0,2.0,126.9,3.0,2.0,650.1,3.0,2.0,1062.0,3.0,2.0,1395.0
4.0,5.0,78.8,4.0,5.0,1385.0,4.0,5.0,99.8,3.0,5.0,397.2,3.0,4.0,990.7,3.0,4.0,802.9
4.0,6.0,70.5,4.0,6.0,1103.0,4.0,6.0,66.7,3.0,6.0,307.3,3.0,6.0,777.9,3.0,5.0,1007.0
5.0,2.0,113.2,5.0,1.0,1163.0,5.0,1.0,103.0,5.0,1.0,768.0,4.0,1.0,1578.0,4.0,1.0,1698.0
5.0,3.0,55.6,5.0,3.0,1070.0,5.0,2.0,264.6,5.0,2.0,1652.0,4.0,2.0,2313.0,4.0,2.0,3037.0
5.0,4.0,146.1,5.0,4.0,1991.0,5.0,4.0,189.1,5.0,3.0,901.6,4.0,3.0,1607.0,4.0,3.0,1477.0
5.0,6.0,128.2,5.0,6.0,1713.0,5.0,6.0,141.3,5.0,6.0,922.3,4.0,6.0,1873.0,4.0,5.0,2905.0
6.0,2.0,115.9,6.0,1.0,1181.0,6.0,1.0,81.9,6.0,1.0,684.1,6.0,1.0,1385.0,5.0,1.0,1984.0
6.0,3.0,60.0,6.0,3.0,1250.0,6.0,2.0,204.5,6.0,2.0,1304.0,6.0,2.0,2110.0,5.0,2.0,3516.0
6.0,4.0,125.9,6.0,4.0,1779.0,6.0,4.0,117.2,6.0,3.0,665.2,6.0,3.0,1012.0,5.0,3.0,1492.0
6.0,5.0,168.6,6.0,5.0,2178.0,6.0,5.0,163.1,6.0,5.0,1040.0,6.0,4.0,1629.0,5.0,4.0,2592.0
