1,登玉 隼百,登玉 隼百.1,2,上瀧 絢也,上瀧 絢也.1,3,栗原 一馬,栗原 一馬.1,4,津田 陸翔,津田 陸翔.1,5,中村 駿平,中村 駿平.1,6,高橋 竜矢,高橋 竜矢.1
2.0,3.0,47.8,1.0,3.0,194.2,1.0,2.0,227.2,1.0,2.0,47.8,1.0,2.0,286.6,1.0,2.0,340.4
2.0,4.0,29.7,1.0,4.0,134.7,1.0,4.0,103.2,1.0,3.0,39.4,1.0,3.0,354.8,1.0,3.0,326.0
2.0,5.0,86.4,1.0,5.0,286.7,1.0,5.0,199.0,1.0,5.0,21.2,1.0,4.0,131.9,1.0,4.0,126.0
2.0,6.0,48.6,1.0,6.0,206.8,1.0,6.0,156.0,1.0,6.0,16.7,1.0,6.0,154.1,1.0,5.0,327.8
3.0,2.0,44.2,3.0,1.0,342.4,2.0,1.0,371.9,2.0,1.0,102.1,2.0,1.0,620.7,2.0,1.0,670.1
3.0,4.0,19.9,3.0,4.0,247.1,2.0,4.0,253.0,2.0,3.0,150.9,2.0,3.0,678.4,2.0,3.0,927.9
3.0,5.0,58.1,3.0,5.0,394.7,2.0,5.0,426.7,2.0,5.0,120.1,2.0,4.0,514.0,2.0,4.0,462.0
3.0,6.0,33.3,3.0,6.0,343.4,2.0,6.0,354.8,2.0,6.0,82.4,2.0,6.0,611.7,2.0,5.0,1121.0
4.0,2.0,22.6,4.0,1.0,169.9,4.0,1.0,128.9,3.0,1.0,95.7,3.0,1.0,744.8,3.0,1.0,635.1
4.0,3.0,16.9,4.0,3.0,223.1,4.0,2.0,232.7,3.0,2.0,172.9,3.0,2.0,758.3,3.0,2.0,957.1
4.0,5.0,22.8,4.0,5.0,253.8,4.0,5.0,170.2,3.0,5.0,113.9,3.0,4.0,520.4,3.0,4.0,421.8
4.0,6.0,12.4,4.0,6.0,172.0,4.0,6.0,122.0,3.0,6.0,81.0,3.0,6.0,778.8,3.0,5.0,1099.0
5.0,2.0,127.3,5.0,1.0,573.2,5.0,1.0,456.2,5.0,1.0,22.3,4.0,1.0,96.9,4.0,1.0,114.1
5.0,3.0,113.2,5.0,3.0,632.9,5.0,2.0,589.9,5.0,2.0,60.7,4.0,2.0,207.2,4.0,2.0,234.1
5.0,4.0,54.8,5.0,4.0,533.1,5.0,4.0,322.0,5.0,3.0,65.8,4.0,3.0,261.2,4.0,3.0,233.8
5.0,6.0,80.8,5.0,6.0,630.0,5.0,6.0,484.0,5.0,6.0,16.6,4.0,6.0,79.4,4.0,5.0,147.1
6.0,2.0,82.1,6.0,1.0,487.0,6.0,1.0,355.0,6.0,1.0,21.6,6.0,1.0,249.2,5.0,1.0,488.8
6.0,3.0,67.8,6.0,3.0,613.7,6.0,2.0,552.4,6.0,2.0,52.5,6.0,2.0,492.3,5.0,2.0,828.2
6.0,4.0,31.3,6.0,4.0,355.5,6.0,4.0,241.6,6.0,3.0,59.5,6.0,3.0,571.5,5.0,3.0,896.0
6.0,5.0,93.5,6.0,5.0,811.1,6.0,5.0,551.9,6.0,5.0,21.3,6.0,4.0,157.9,5.0,4.0,238.4
