1,今井 貴士,今井 貴士.1,2,富永 修一,富永 修一.1,3,山口 隆史,山口 隆史.1,4,鶴田 勇雄,鶴田 勇雄.1,5,江藤 敦宏,江藤 敦宏.1,6,加倉 侑征,加倉 侑征.1
2.0,3.0,6.1,1.0,3.0,54.7,1.0,2.0,108.2,1.0,2.0,58.0,1.0,2.0,687.6,1.0,2.0,760.3
2.0,4.0,5.0,1.0,4.0,38.1,1.0,4.0,80.7,1.0,3.0,88.9,1.0,3.0,1019.0,1.0,3.0,1086.0
2.0,5.0,43.9,1.0,5.0,177.4,1.0,5.0,268.8,1.0,5.0,160.6,1.0,4.0,982.0,1.0,4.0,1004.0
2.0,6.0,16.7,1.0,6.0,119.1,1.0,6.0,243.0,1.0,6.0,118.7,1.0,6.0,864.0,1.0,5.0,1486.0
3.0,2.0,11.8,3.0,1.0,185.7,2.0,1.0,257.6,2.0,1.0,125.1,2.0,1.0,1198.0,2.0,1.0,1232.0
3.0,4.0,10.0,3.0,4.0,274.6,2.0,4.0,300.3,2.0,3.0,287.7,2.0,3.0,2831.0,2.0,3.0,2715.0
3.0,5.0,45.3,3.0,5.0,831.6,2.0,5.0,735.1,2.0,5.0,584.9,2.0,4.0,2924.0,2.0,4.0,1914.0
3.0,6.0,27.4,3.0,6.0,675.4,2.0,6.0,852.9,2.0,6.0,396.6,2.0,6.0,2634.0,2.0,5.0,3024.0
4.0,2.0,7.6,4.0,1.0,121.4,4.0,1.0,165.4,3.0,1.0,193.1,3.0,1.0,1642.0,3.0,1.0,2129.0
4.0,3.0,9.4,4.0,3.0,253.4,4.0,2.0,278.9,3.0,2.0,321.8,3.0,2.0,2217.0,3.0,2.0,3456.0
4.0,5.0,36.5,4.0,5.0,753.9,4.0,5.0,636.6,3.0,5.0,672.0,3.0,4.0,2397.0,3.0,4.0,3206.0
4.0,6.0,17.3,4.0,6.0,460.4,4.0,6.0,504.9,3.0,6.0,577.2,3.0,6.0,3972.0,3.0,5.0,4292.0
5.0,2.0,150.1,5.0,1.0,715.4,5.0,1.0,811.3,5.0,1.0,295.0,4.0,1.0,985.6,4.0,1.0,1438.0
5.0,3.0,149.9,5.0,3.0,1462.0,5.0,2.0,1023.0,5.0,2.0,540.9,4.0,2.0,1786.0,4.0,2.0,2376.0
5.0,4.0,144.4,5.0,4.0,1673.0,5.0,4.0,1304.0,5.0,3.0,953.8,4.0,3.0,2534.0,4.0,3.0,2634.0
5.0,6.0,186.6,5.0,6.0,1739.0,5.0,6.0,1547.0,5.0,6.0,480.3,4.0,6.0,1470.0,4.0,5.0,4032.0
6.0,2.0,74.8,6.0,1.0,586.1,6.0,1.0,1051.0,6.0,1.0,328.9,6.0,1.0,1810.0,5.0,1.0,2441.0
6.0,3.0,104.6,6.0,3.0,1584.0,6.0,2.0,1861.0,6.0,2.0,566.2,6.0,2.0,4224.0,5.0,2.0,4928.0
6.0,4.0,89.2,6.0,4.0,1113.0,6.0,4.0,1423.0,6.0,3.0,850.2,6.0,3.0,4588.0,5.0,3.0,5544.0
6.0,5.0,198.3,6.0,5.0,1971.0,6.0,5.0,2534.0,6.0,5.0,687.6,6.0,4.0,3245.0,5.0,4.0,4668.0
