1,鳥飼 眞,鳥飼 眞.1,2,佃 來紀,佃 來紀.1,3,谷川 将太,谷川 将太.1,4,西村 秀樹,西村 秀樹.1,5,村岡 賢,村岡 賢.1,6,日高　龍之介,日高　龍之介.1
2.0,3.0,6.0,1.0,3.0,34.7,1.0,2.0,44.3,1.0,2.0,88.7,1.0,2.0,133.8,1.0,2.0,1639.0
2.0,4.0,10.8,1.0,4.0,51.2,1.0,4.0,45.0,1.0,3.0,116.9,1.0,3.0,141.2,1.0,3.0,2196.0
2.0,5.0,14.9,1.0,5.0,66.6,1.0,5.0,61.0,1.0,5.0,86.8,1.0,4.0,135.3,1.0,4.0,2430.0
2.0,6.0,142.3,1.0,6.0,468.7,1.0,6.0,396.1,1.0,6.0,473.9,1.0,6.0,541.3,1.0,5.0,3032.0
3.0,2.0,5.9,3.0,1.0,85.1,2.0,1.0,100.7,2.0,1.0,202.9,2.0,1.0,234.6,2.0,1.0,3606.0
3.0,4.0,7.8,3.0,4.0,189.9,2.0,4.0,210.2,2.0,3.0,386.7,2.0,3.0,454.4,2.0,3.0,4965.0
3.0,5.0,12.3,3.0,5.0,281.0,2.0,5.0,268.1,2.0,5.0,316.0,2.0,4.0,376.5,2.0,4.0,5271.0
3.0,6.0,151.6,3.0,6.0,1404.0,2.0,6.0,1338.0,2.0,6.0,1307.0,2.0,6.0,1338.0,2.0,5.0,4283.0
4.0,2.0,19.3,4.0,1.0,155.1,4.0,1.0,132.2,3.0,1.0,223.6,3.0,1.0,257.6,3.0,1.0,2953.0
4.0,3.0,19.8,4.0,3.0,272.5,4.0,2.0,240.2,3.0,2.0,406.4,3.0,2.0,557.1,3.0,2.0,4693.0
4.0,5.0,30.0,4.0,5.0,351.0,4.0,5.0,278.3,3.0,5.0,410.8,3.0,4.0,521.5,3.0,4.0,4337.0
4.0,6.0,186.6,4.0,6.0,1571.0,4.0,6.0,1557.0,3.0,6.0,1671.0,3.0,6.0,1882.0,3.0,5.0,5114.0
5.0,2.0,25.8,5.0,1.0,185.1,5.0,1.0,149.5,5.0,1.0,115.9,4.0,1.0,158.5,4.0,1.0,3143.0
5.0,3.0,28.6,5.0,3.0,396.5,5.0,2.0,360.6,5.0,2.0,193.4,4.0,2.0,262.5,4.0,2.0,5038.0
5.0,4.0,38.9,5.0,4.0,416.8,5.0,4.0,336.5,5.0,3.0,304.5,4.0,3.0,345.4,4.0,3.0,5710.0
5.0,6.0,208.0,5.0,6.0,1655.0,5.0,6.0,1328.0,5.0,6.0,554.4,4.0,6.0,673.1,4.0,5.0,3893.0
6.0,2.0,575.8,6.0,1.0,1543.0,6.0,1.0,1631.0,6.0,1.0,1215.0,6.0,1.0,1784.0,5.0,1.0,3724.0
6.0,3.0,517.5,6.0,3.0,2719.0,6.0,2.0,2595.0,6.0,2.0,2027.0,6.0,2.0,2363.0,5.0,2.0,4894.0
6.0,4.0,531.2,6.0,4.0,3005.0,6.0,4.0,2697.0,6.0,3.0,2224.0,6.0,3.0,2953.0,5.0,3.0,5038.0
6.0,5.0,551.7,6.0,5.0,2808.0,6.0,5.0,2808.0,6.0,5.0,1328.0,6.0,4.0,1862.0,5.0,4.0,3645.0
