1,神里 琴音,神里 琴音.1,2,實森 美祐,實森 美祐.1,3,森田 梨湖,森田 梨湖.1,4,赤澤 文香,赤澤 文香.1,5,武藤 綾子,武藤 綾子.1,6,笠野　友紀恵,笠野　友紀恵.1
2.0,3.0,35.2,1.0,3.0,54.8,1.0,2.0,440.4,1.0,2.0,66.6,1.0,2.0,45.3,1.0,2.0,920.5
2.0,4.0,7.5,1.0,4.0,10.4,1.0,4.0,707.0,1.0,3.0,575.3,1.0,3.0,393.8,1.0,3.0,1778.0
2.0,5.0,6.6,1.0,5.0,8.8,1.0,5.0,632.7,1.0,5.0,62.4,1.0,4.0,79.6,1.0,4.0,1414.0
2.0,6.0,46.4,1.0,6.0,48.6,1.0,6.0,869.4,1.0,6.0,215.1,1.0,6.0,162.5,1.0,5.0,1086.0
3.0,2.0,103.2,3.0,1.0,205.3,2.0,1.0,472.3,2.0,1.0,75.7,2.0,1.0,52.9,2.0,1.0,631.0
3.0,4.0,137.1,3.0,4.0,234.2,2.0,4.0,476.1,2.0,3.0,462.0,2.0,3.0,438.7,2.0,3.0,2579.0
3.0,5.0,115.2,3.0,5.0,219.7,2.0,5.0,447.1,2.0,5.0,67.2,2.0,4.0,88.1,2.0,4.0,1405.0
3.0,6.0,358.9,3.0,6.0,444.5,2.0,6.0,826.5,2.0,6.0,210.3,2.0,6.0,165.7,2.0,5.0,632.7
4.0,2.0,21.2,4.0,1.0,30.0,4.0,1.0,1235.0,3.0,1.0,1203.0,3.0,1.0,889.1,3.0,1.0,3452.0
4.0,3.0,135.1,4.0,3.0,173.3,4.0,2.0,676.4,3.0,2.0,707.0,3.0,2.0,820.7,3.0,2.0,2173.0
4.0,5.0,24.0,4.0,5.0,31.3,4.0,5.0,1326.0,3.0,5.0,1179.0,3.0,4.0,1333.0,3.0,4.0,2898.0
4.0,6.0,100.0,4.0,6.0,108.1,4.0,6.0,1848.0,3.0,6.0,1688.0,3.0,6.0,1618.0,3.0,5.0,2608.0
5.0,2.0,14.8,5.0,1.0,23.7,5.0,1.0,869.4,5.0,1.0,63.4,4.0,1.0,100.9,4.0,1.0,2324.0
5.0,3.0,113.6,5.0,3.0,167.7,5.0,2.0,749.9,5.0,2.0,64.1,4.0,2.0,104.0,4.0,2.0,1422.0
5.0,4.0,26.1,5.0,4.0,35.4,5.0,4.0,1222.0,5.0,3.0,489.0,4.0,3.0,652.0,4.0,3.0,3978.0
5.0,6.0,72.8,5.0,6.0,84.3,5.0,6.0,1863.0,5.0,6.0,138.8,4.0,6.0,217.9,4.0,5.0,1380.0
6.0,2.0,270.4,6.0,1.0,222.0,6.0,1.0,2608.0,6.0,1.0,450.5,6.0,1.0,349.3,5.0,1.0,1034.0
6.0,3.0,715.6,6.0,3.0,829.4,6.0,2.0,2257.0,6.0,2.0,461.1,6.0,2.0,369.6,5.0,2.0,916.9
6.0,4.0,414.0,6.0,4.0,310.0,6.0,4.0,3260.0,6.0,3.0,1534.0,6.0,3.0,1255.0,5.0,3.0,2023.0
6.0,5.0,300.9,6.0,5.0,226.1,6.0,5.0,3215.0,6.0,5.0,372.6,6.0,4.0,450.5,5.0,4.0,1091.0
