1,宮之原　輝紀,宮之原　輝紀.1,2,高倉 和士,高倉 和士.1,3,篠崎 元志,篠崎 元志.1,4,吉川 貴仁,吉川 貴仁.1,5,中田 竜太,中田 竜太.1,6,赤坂 俊輔,赤坂 俊輔.1
2.0,3.0,12.5,1.0,3.0,47.4,1.0,2.0,35.0,1.0,2.0,240.4,1.0,2.0,221.9,1.0,2.0,281.9
2.0,4.0,24.9,1.0,4.0,79.9,1.0,4.0,24.5,1.0,3.0,139.1,1.0,3.0,104.4,1.0,3.0,231.4
2.0,5.0,26.9,1.0,5.0,80.9,1.0,5.0,18.6,1.0,5.0,164.4,1.0,4.0,265.8,1.0,4.0,387.2
2.0,6.0,78.0,1.0,6.0,202.0,1.0,6.0,59.6,1.0,6.0,292.5,1.0,6.0,354.9,1.0,5.0,424.4
3.0,2.0,10.6,3.0,1.0,94.1,2.0,1.0,85.9,2.0,1.0,437.9,2.0,1.0,408.9,2.0,1.0,396.6
3.0,4.0,9.7,3.0,4.0,171.7,2.0,4.0,117.7,2.0,3.0,455.2,2.0,3.0,389.3,2.0,3.0,404.2
3.0,5.0,8.5,3.0,5.0,155.5,2.0,5.0,95.1,2.0,5.0,438.4,2.0,4.0,701.5,2.0,4.0,640.0
3.0,6.0,36.8,3.0,6.0,390.1,2.0,6.0,210.3,2.0,6.0,631.0,2.0,6.0,807.6,2.0,5.0,629.9
4.0,2.0,33.1,4.0,1.0,246.0,4.0,1.0,47.6,3.0,1.0,159.4,3.0,1.0,127.5,3.0,1.0,291.1
4.0,3.0,22.9,4.0,3.0,290.1,4.0,2.0,84.9,3.0,2.0,346.3,3.0,2.0,304.5,3.0,2.0,436.8
4.0,5.0,40.6,4.0,5.0,363.2,4.0,5.0,42.5,3.0,5.0,165.5,3.0,4.0,246.7,3.0,4.0,433.1
4.0,6.0,93.6,4.0,6.0,558.1,4.0,6.0,105.2,3.0,6.0,322.3,3.0,6.0,323.5,3.0,5.0,402.9
5.0,2.0,44.4,5.0,1.0,283.2,5.0,1.0,39.0,5.0,1.0,240.2,4.0,1.0,411.7,4.0,1.0,725.7
5.0,3.0,23.7,5.0,3.0,317.2,5.0,2.0,75.2,5.0,2.0,375.4,4.0,2.0,613.7,4.0,2.0,901.2
5.0,4.0,57.6,5.0,4.0,549.6,5.0,4.0,54.5,5.0,3.0,224.6,4.0,3.0,339.1,4.0,3.0,707.1
5.0,6.0,112.5,5.0,6.0,851.9,5.0,6.0,93.1,5.0,6.0,327.6,4.0,6.0,508.9,4.0,5.0,649.3
6.0,2.0,182.9,6.0,1.0,494.2,6.0,1.0,180.7,6.0,1.0,578.0,6.0,1.0,769.4,5.0,1.0,776.1
6.0,3.0,115.7,6.0,3.0,613.7,6.0,2.0,304.7,6.0,2.0,789.8,6.0,2.0,1097.0,5.0,2.0,898.9
6.0,4.0,220.0,6.0,4.0,977.6,6.0,4.0,253.9,6.0,3.0,592.3,6.0,3.0,645.8,5.0,3.0,694.7
6.0,5.0,223.4,6.0,5.0,1184.0,6.0,5.0,221.2,6.0,5.0,542.1,6.0,4.0,734.7,5.0,4.0,702.9
