1,山一 鉄也,山一 鉄也.1,2,西川 真人,西川 真人.1,3,木村 仁紀,木村 仁紀.1,4,山崎 鉄平,山崎 鉄平.1,5,深川 和仁,深川 和仁.1,6,石田 貴洋,石田 貴洋.1
2.0,3.0,13.9,1.0,3.0,75.0,1.0,2.0,27.7,1.0,2.0,527.4,1.0,2.0,452.8,1.0,2.0,490.6
2.0,4.0,44.3,1.0,4.0,239.4,1.0,4.0,26.7,1.0,3.0,251.0,1.0,3.0,161.6,1.0,3.0,177.4
2.0,5.0,46.3,1.0,5.0,218.3,1.0,5.0,15.0,1.0,5.0,526.7,1.0,4.0,628.6,1.0,4.0,690.2
2.0,6.0,34.6,1.0,6.0,184.7,1.0,6.0,14.1,1.0,6.0,324.2,1.0,6.0,271.6,1.0,5.0,463.2
3.0,2.0,8.7,3.0,1.0,125.3,2.0,1.0,73.8,2.0,1.0,839.8,2.0,1.0,862.1,2.0,1.0,920.3
3.0,4.0,11.9,3.0,4.0,514.5,2.0,4.0,317.1,2.0,3.0,1196.0,2.0,3.0,855.1,2.0,3.0,906.5
3.0,5.0,7.4,3.0,5.0,403.1,2.0,5.0,159.8,2.0,5.0,1412.0,2.0,4.0,1441.0,2.0,4.0,1745.0
3.0,6.0,7.3,3.0,6.0,313.1,2.0,6.0,171.8,2.0,6.0,1008.0,2.0,6.0,1040.0,2.0,5.0,1861.0
4.0,2.0,70.1,4.0,1.0,745.0,4.0,1.0,110.6,3.0,1.0,353.2,3.0,1.0,229.4,3.0,1.0,231.4
4.0,3.0,35.0,4.0,3.0,953.6,4.0,2.0,314.3,3.0,2.0,934.6,3.0,2.0,746.4,3.0,2.0,653.9
4.0,5.0,87.5,4.0,5.0,1389.0,4.0,5.0,181.7,3.0,5.0,685.8,3.0,4.0,812.4,3.0,4.0,728.3
4.0,6.0,64.6,4.0,6.0,1066.0,4.0,6.0,116.8,3.0,6.0,410.9,3.0,6.0,345.1,3.0,5.0,543.7
5.0,2.0,65.8,5.0,1.0,742.4,5.0,1.0,66.0,5.0,1.0,896.9,4.0,1.0,1291.0,4.0,1.0,1582.0
5.0,3.0,27.2,5.0,3.0,735.9,5.0,2.0,211.4,5.0,2.0,1498.0,4.0,2.0,1885.0,4.0,2.0,2470.0
5.0,4.0,107.0,5.0,4.0,1503.0,5.0,4.0,210.4,5.0,3.0,1003.0,4.0,3.0,1328.0,4.0,3.0,1320.0
5.0,6.0,51.2,5.0,6.0,1050.0,5.0,6.0,85.0,5.0,6.0,823.5,4.0,6.0,1077.0,4.0,5.0,2211.0
6.0,2.0,73.6,6.0,1.0,691.4,6.0,1.0,47.3,6.0,1.0,722.1,6.0,1.0,476.8,5.0,1.0,713.6
6.0,3.0,28.8,6.0,3.0,641.0,6.0,2.0,190.2,6.0,2.0,1320.0,6.0,2.0,1186.0,5.0,2.0,1877.0
6.0,4.0,100.3,6.0,4.0,1284.0,6.0,4.0,156.9,6.0,3.0,671.6,6.0,3.0,453.7,5.0,3.0,678.1
6.0,5.0,72.4,6.0,5.0,1612.0,6.0,5.0,102.0,6.0,5.0,1183.0,6.0,4.0,1217.0,5.0,4.0,1964.0
