1,仲谷 颯仁,仲谷 颯仁.1,2,長野　壮志郎,長野　壮志郎.1,3,佐竹 太一,佐竹 太一.1,4,黒田 剛,黒田 剛.1,5,飯田 庄吾,飯田 庄吾.1,6,松本 弓雄,松本 弓雄.1
2.0,3.0,2.6,1.0,3.0,13.1,1.0,2.0,64.0,1.0,2.0,174.5,1.0,2.0,843.1,1.0,2.0,321.6
2.0,4.0,8.0,1.0,4.0,33.8,1.0,4.0,174.9,1.0,3.0,375.1,1.0,3.0,1417.0,1.0,3.0,462.9
2.0,5.0,27.5,1.0,5.0,100.2,1.0,5.0,334.0,1.0,5.0,613.7,1.0,4.0,1297.0,1.0,4.0,985.7
2.0,6.0,10.7,1.0,6.0,35.2,1.0,6.0,186.7,1.0,6.0,376.4,1.0,6.0,1750.0,1.0,5.0,1810.0
3.0,2.0,6.4,3.0,1.0,50.7,2.0,1.0,91.8,2.0,1.0,282.2,2.0,1.0,1297.0,2.0,1.0,443.1
3.0,4.0,19.4,3.0,4.0,187.5,2.0,4.0,338.6,2.0,3.0,619.6,2.0,3.0,1750.0,2.0,3.0,811.0
3.0,5.0,53.6,3.0,5.0,386.4,2.0,5.0,704.1,2.0,5.0,1218.0,2.0,4.0,1941.0,2.0,4.0,1144.0
3.0,6.0,26.4,3.0,6.0,161.3,2.0,6.0,300.2,2.0,6.0,728.1,2.0,6.0,2483.0,2.0,5.0,2810.0
4.0,2.0,33.6,4.0,1.0,176.8,4.0,1.0,458.3,3.0,1.0,755.6,3.0,1.0,1810.0,3.0,1.0,750.3
4.0,3.0,48.9,4.0,3.0,370.8,4.0,2.0,604.4,3.0,2.0,902.4,3.0,2.0,2040.0,3.0,2.0,1132.0
4.0,5.0,196.4,4.0,5.0,894.9,4.0,5.0,1329.0,3.0,5.0,2390.0,3.0,4.0,3955.0,3.0,4.0,2390.0
4.0,6.0,110.1,4.0,6.0,418.2,4.0,6.0,1128.0,3.0,6.0,1570.0,3.0,6.0,4576.0,3.0,5.0,3520.0
5.0,2.0,151.9,5.0,1.0,506.9,5.0,1.0,1010.0,5.0,1.0,1053.0,4.0,1.0,1469.0,4.0,1.0,1760.0
5.0,3.0,240.1,5.0,3.0,887.4,5.0,2.0,1204.0,5.0,2.0,1351.0,4.0,2.0,2066.0,4.0,2.0,1789.0
5.0,4.0,354.0,5.0,4.0,1329.0,5.0,4.0,1779.0,5.0,3.0,2150.0,4.0,3.0,3955.0,4.0,3.0,1953.0
5.0,6.0,413.9,5.0,6.0,1047.0,5.0,6.0,2860.0,5.0,6.0,1346.0,4.0,6.0,2121.0,4.0,5.0,3907.0
6.0,2.0,60.3,6.0,1.0,200.2,6.0,1.0,547.6,6.0,1.0,840.9,6.0,1.0,4160.0,5.0,1.0,4160.0
6.0,3.0,99.9,6.0,3.0,362.0,6.0,2.0,861.2,6.0,2.0,1053.0,6.0,2.0,4055.0,5.0,2.0,4512.0
6.0,4.0,178.3,6.0,4.0,656.5,6.0,4.0,1750.0,6.0,3.0,2080.0,6.0,3.0,5167.0,5.0,3.0,3599.0
6.0,5.0,466.3,6.0,5.0,1346.0,6.0,5.0,2860.0,6.0,5.0,1820.0,6.0,4.0,3302.0,5.0,4.0,3482.0
