1,山口 隆史,山口 隆史.1,2,小林 文彦,小林 文彦.1,3,伊藤 尚汰,伊藤 尚汰.1,4,石川 真二,石川 真二.1,5,上野 俊樹,上野 俊樹.1,6,川添 英正,川添 英正.1
2.0,3.0,49.7,1.0,3.0,86.0,1.0,2.0,207.7,1.0,2.0,11.0,1.0,2.0,398.3,1.0,2.0,189.2
2.0,4.0,14.3,1.0,4.0,28.8,1.0,4.0,163.9,1.0,3.0,41.6,1.0,3.0,533.6,1.0,3.0,407.3
2.0,5.0,79.8,1.0,5.0,115.4,1.0,5.0,285.7,1.0,5.0,46.5,1.0,4.0,391.9,1.0,4.0,134.9
2.0,6.0,31.1,1.0,6.0,54.6,1.0,6.0,348.4,1.0,6.0,18.0,1.0,6.0,590.2,1.0,5.0,511.0
3.0,2.0,109.2,3.0,1.0,138.2,2.0,1.0,213.2,2.0,1.0,16.2,2.0,1.0,569.3,2.0,1.0,201.4
3.0,4.0,92.4,3.0,4.0,97.4,2.0,4.0,143.4,2.0,3.0,46.9,2.0,3.0,675.7,2.0,3.0,380.5
3.0,5.0,229.5,3.0,5.0,216.4,2.0,5.0,309.6,2.0,5.0,56.7,2.0,4.0,376.5,2.0,4.0,111.0
3.0,6.0,194.8,3.0,6.0,156.0,2.0,6.0,311.6,2.0,6.0,21.3,2.0,6.0,612.7,2.0,5.0,498.6
4.0,2.0,9.6,4.0,1.0,26.6,4.0,1.0,163.2,3.0,1.0,118.6,3.0,1.0,660.3,3.0,1.0,413.1
4.0,3.0,34.1,4.0,3.0,62.2,4.0,2.0,145.3,3.0,2.0,103.8,3.0,2.0,723.0,3.0,2.0,531.6
4.0,5.0,47.0,4.0,5.0,70.4,4.0,5.0,263.4,3.0,5.0,246.7,3.0,4.0,545.7,3.0,4.0,319.2
4.0,6.0,17.1,4.0,6.0,31.7,4.0,6.0,240.2,3.0,6.0,147.7,3.0,6.0,945.1,3.0,5.0,790.2
5.0,2.0,246.3,5.0,1.0,264.3,5.0,1.0,347.6,5.0,1.0,149.5,4.0,1.0,426.5,4.0,1.0,129.3
5.0,3.0,304.4,5.0,3.0,320.6,5.0,2.0,377.5,5.0,2.0,155.3,4.0,2.0,346.7,4.0,2.0,106.9
5.0,4.0,176.3,5.0,4.0,168.7,5.0,4.0,303.1,5.0,3.0,285.7,4.0,3.0,511.0,4.0,3.0,285.7
5.0,6.0,351.0,5.0,6.0,249.3,5.0,6.0,600.0,5.0,6.0,137.9,4.0,6.0,374.6,4.0,5.0,307.0
6.0,2.0,63.2,6.0,1.0,88.6,6.0,1.0,537.5,6.0,1.0,51.1,6.0,1.0,964.0,5.0,1.0,997.3
6.0,3.0,164.1,6.0,3.0,140.9,6.0,2.0,421.6,6.0,2.0,43.9,6.0,2.0,826.3,5.0,2.0,915.2
6.0,4.0,52.0,6.0,4.0,52.0,6.0,4.0,396.2,6.0,3.0,130.6,6.0,3.0,1079.0,5.0,3.0,1185.0
6.0,5.0,212.6,6.0,5.0,196.4,6.0,5.0,685.3,6.0,5.0,121.3,6.0,4.0,576.1,5.0,4.0,549.8
