1,堤 啓輔,堤 啓輔.1,2,栗原 謙治,栗原 謙治.1,3,後藤 陽介,後藤 陽介.1,4,今村 暢孝,今村 暢孝.1,5,奈須 啓太,奈須 啓太.1,6,檀 将太,檀 将太.1
2.0,3.0,73.2,1.0,3.0,252.3,1.0,2.0,145.1,1.0,2.0,43.3,1.0,2.0,112.2,1.0,2.0,2925.0
2.0,4.0,52.7,1.0,4.0,252.1,1.0,4.0,55.1,1.0,3.0,25.1,1.0,3.0,55.7,1.0,3.0,3363.0
2.0,5.0,80.3,1.0,5.0,304.6,1.0,5.0,49.9,1.0,5.0,14.1,1.0,4.0,33.2,1.0,4.0,2335.0
2.0,6.0,384.8,1.0,6.0,1016.0,1.0,6.0,238.7,1.0,6.0,199.5,1.0,6.0,191.6,1.0,5.0,2491.0
3.0,2.0,79.5,3.0,1.0,306.0,2.0,1.0,221.5,2.0,1.0,126.1,2.0,1.0,206.2,2.0,1.0,4671.0
3.0,4.0,27.9,3.0,4.0,325.9,2.0,4.0,175.9,2.0,3.0,149.3,2.0,3.0,189.8,2.0,3.0,3957.0
3.0,5.0,35.6,3.0,5.0,248.2,2.0,5.0,147.5,2.0,5.0,107.2,2.0,4.0,149.5,2.0,4.0,2925.0
3.0,6.0,325.9,3.0,6.0,762.7,2.0,6.0,537.3,2.0,6.0,532.2,2.0,6.0,470.4,2.0,5.0,2803.0
4.0,2.0,25.1,4.0,1.0,298.7,4.0,1.0,45.6,3.0,1.0,50.6,3.0,1.0,41.9,3.0,1.0,3503.0
4.0,3.0,15.7,4.0,3.0,331.7,4.0,2.0,96.4,3.0,2.0,105.7,3.0,2.0,100.2,3.0,2.0,3911.0
4.0,5.0,9.4,4.0,5.0,235.5,4.0,5.0,29.2,3.0,5.0,35.7,3.0,4.0,31.9,3.0,4.0,2242.0
4.0,6.0,160.7,4.0,6.0,929.2,4.0,6.0,165.7,3.0,6.0,239.9,3.0,6.0,86.3,3.0,5.0,1128.0
5.0,2.0,60.9,5.0,1.0,320.9,5.0,1.0,32.8,5.0,1.0,23.7,4.0,1.0,33.3,4.0,1.0,2734.0
5.0,3.0,35.9,5.0,3.0,275.7,5.0,2.0,71.9,5.0,2.0,66.9,4.0,2.0,79.6,4.0,2.0,3265.0
5.0,4.0,17.6,5.0,4.0,270.6,5.0,4.0,24.8,5.0,3.0,32.8,4.0,3.0,39.6,4.0,3.0,2473.0
5.0,6.0,214.3,5.0,6.0,742.5,5.0,6.0,65.2,5.0,6.0,131.3,4.0,6.0,136.8,4.0,5.0,1288.0
6.0,2.0,882.8,6.0,1.0,1733.0,6.0,1.0,531.4,6.0,1.0,658.2,6.0,1.0,372.9,5.0,1.0,2156.0
6.0,3.0,606.0,6.0,3.0,1742.0,6.0,2.0,732.8,6.0,2.0,1159.0,6.0,2.0,560.6,5.0,2.0,2779.0
6.0,4.0,728.0,6.0,4.0,1632.0,6.0,4.0,371.2,6.0,3.0,757.6,6.0,3.0,301.6,5.0,3.0,1167.0
6.0,5.0,575.0,6.0,5.0,1419.0,6.0,5.0,275.0,6.0,5.0,410.2,6.0,4.0,279.1,5.0,4.0,1180.0
