1,黒田 剛,黒田 剛.1,2,榮田 将彦,榮田 将彦.1,3,大町 利克,大町 利克.1,4,笹木 香吾,笹木 香吾.1,5,大庭 元明,大庭 元明.1,6,飯田 庄吾,飯田 庄吾.1
2.0,3.0,21.5,1.0,3.0,26.3,1.0,2.0,67.7,1.0,2.0,179.6,1.0,2.0,47.5,1.0,2.0,596.8
2.0,4.0,45.0,1.0,4.0,60.0,1.0,4.0,152.0,1.0,3.0,492.8,1.0,3.0,69.7,1.0,3.0,1033.0
2.0,5.0,11.6,1.0,5.0,16.1,1.0,5.0,57.4,1.0,5.0,224.5,1.0,4.0,119.2,1.0,4.0,1316.0
2.0,6.0,71.2,1.0,6.0,98.9,1.0,6.0,221.9,1.0,6.0,706.6,1.0,6.0,112.5,1.0,5.0,850.4
3.0,2.0,29.7,3.0,1.0,40.9,2.0,1.0,65.1,2.0,1.0,190.2,2.0,1.0,40.2,2.0,1.0,706.6
3.0,4.0,62.4,3.0,4.0,62.5,2.0,4.0,83.7,2.0,3.0,326.8,2.0,3.0,37.0,2.0,3.0,546.0
3.0,5.0,26.7,3.0,5.0,20.3,2.0,5.0,32.0,2.0,5.0,164.8,2.0,4.0,75.7,2.0,4.0,1044.0
3.0,6.0,90.4,3.0,6.0,89.1,2.0,6.0,113.5,2.0,6.0,427.1,2.0,6.0,76.3,2.0,5.0,542.9
4.0,2.0,93.9,4.0,1.0,133.6,4.0,1.0,228.8,3.0,1.0,667.3,3.0,1.0,84.0,3.0,1.0,1044.0
4.0,3.0,107.6,4.0,3.0,94.3,4.0,2.0,176.9,3.0,2.0,414.2,3.0,2.0,52.1,3.0,2.0,828.4
4.0,5.0,141.5,4.0,5.0,87.1,4.0,5.0,195.7,3.0,5.0,434.8,3.0,4.0,123.6,3.0,4.0,1656.0
4.0,6.0,237.8,4.0,6.0,249.6,4.0,6.0,505.7,3.0,6.0,960.9,3.0,6.0,104.4,3.0,5.0,821.3
5.0,2.0,19.7,5.0,1.0,21.7,5.0,1.0,63.5,5.0,1.0,207.5,4.0,1.0,170.6,4.0,1.0,1478.0
5.0,3.0,31.9,5.0,3.0,19.9,5.0,2.0,37.2,5.0,2.0,154.0,4.0,2.0,153.5,4.0,2.0,1216.0
5.0,4.0,86.1,5.0,4.0,53.4,5.0,4.0,106.6,5.0,3.0,365.3,4.0,3.0,168.0,4.0,3.0,1779.0
5.0,6.0,88.9,5.0,6.0,60.7,5.0,6.0,117.6,5.0,6.0,384.3,4.0,6.0,221.4,4.0,5.0,1456.0
6.0,2.0,245.7,6.0,1.0,244.5,6.0,1.0,549.1,6.0,1.0,807.5,6.0,1.0,182.6,5.0,1.0,612.0
6.0,3.0,296.5,6.0,3.0,224.0,6.0,2.0,355.9,6.0,2.0,762.6,6.0,2.0,131.8,5.0,2.0,440.8
6.0,4.0,368.1,6.0,4.0,349.4,6.0,4.0,649.3,6.0,3.0,932.9,6.0,3.0,164.8,5.0,3.0,582.4
6.0,5.0,248.9,6.0,5.0,172.5,6.0,5.0,290.3,6.0,5.0,653.7,6.0,4.0,226.1,5.0,4.0,932.9
