1,坂本 雄紀,坂本 雄紀.1,2,川原 涼,川原 涼.1,3,坂井 滉哉,坂井 滉哉.1,4,原田　才一郎,原田　才一郎.1,5,笹木 香吾,笹木 香吾.1,6,中野 希一,中野 希一.1
2.0,3.0,64.6,1.0,3.0,309.9,1.0,2.0,364.5,1.0,2.0,27.4,1.0,2.0,490.1,1.0,2.0,214.4
2.0,4.0,17.0,1.0,4.0,83.9,1.0,4.0,145.5,1.0,3.0,68.9,1.0,3.0,572.2,1.0,3.0,425.8
2.0,5.0,83.3,1.0,5.0,323.8,1.0,5.0,277.6,1.0,5.0,32.0,1.0,4.0,239.2,1.0,4.0,81.6
2.0,6.0,31.8,1.0,6.0,135.5,1.0,6.0,222.2,1.0,6.0,12.0,1.0,6.0,257.5,1.0,5.0,293.8
3.0,2.0,77.2,3.0,1.0,633.4,2.0,1.0,731.1,2.0,1.0,56.8,2.0,1.0,903.3,2.0,1.0,377.5
3.0,4.0,34.3,3.0,4.0,578.8,2.0,4.0,511.2,2.0,3.0,223.4,2.0,3.0,1573.0,2.0,3.0,926.1
3.0,5.0,79.2,3.0,5.0,1287.0,2.0,5.0,1112.0,2.0,5.0,105.1,2.0,4.0,681.6,2.0,4.0,174.0
3.0,6.0,68.5,3.0,6.0,839.3,2.0,6.0,862.6,2.0,6.0,42.7,2.0,6.0,627.5,2.0,5.0,655.0
4.0,2.0,11.9,4.0,1.0,112.3,4.0,1.0,146.5,3.0,1.0,144.4,3.0,1.0,963.8,3.0,1.0,750.2
4.0,3.0,25.1,4.0,3.0,359.3,4.0,2.0,312.0,3.0,2.0,265.2,3.0,2.0,1882.0,3.0,2.0,1308.0
4.0,5.0,26.1,4.0,5.0,279.1,4.0,5.0,279.1,3.0,5.0,254.5,3.0,4.0,1161.0,3.0,4.0,561.8
4.0,6.0,8.6,4.0,6.0,97.5,4.0,6.0,147.1,3.0,6.0,128.3,3.0,6.0,1342.0,3.0,5.0,1255.0
5.0,2.0,145.2,5.0,1.0,773.2,5.0,1.0,585.5,5.0,1.0,42.1,4.0,1.0,199.5,4.0,1.0,62.3
5.0,3.0,165.5,5.0,3.0,1444.0,5.0,2.0,1068.0,5.0,2.0,69.9,4.0,2.0,329.1,4.0,2.0,89.5
5.0,4.0,82.6,5.0,4.0,642.5,5.0,4.0,598.6,5.0,3.0,202.6,4.0,3.0,577.1,4.0,3.0,286.1
5.0,6.0,114.1,5.0,6.0,725.9,5.0,6.0,714.3,5.0,6.0,24.9,4.0,6.0,124.6,4.0,5.0,116.2
6.0,2.0,50.4,6.0,1.0,302.2,6.0,1.0,372.3,6.0,1.0,14.5,6.0,1.0,416.6,5.0,1.0,490.7
6.0,3.0,128.1,6.0,3.0,928.2,6.0,2.0,796.2,6.0,2.0,24.0,6.0,2.0,725.9,5.0,2.0,748.8
6.0,4.0,26.5,6.0,4.0,166.7,6.0,4.0,293.2,6.0,3.0,89.6,6.0,3.0,1247.0,5.0,3.0,1085.0
6.0,5.0,116.9,6.0,5.0,706.8,6.0,5.0,686.3,6.0,5.0,20.1,6.0,4.0,208.2,5.0,4.0,234.6
