1,大橋　純一郎,大橋　純一郎.1,2,向井田　佑紀,向井田　佑紀.1,3,田添 康介,田添 康介.1,4,大野 芳顕,大野 芳顕.1,5,峰重 力也,峰重 力也.1,6,竹下 大樹,竹下 大樹.1
2.0,3.0,10.6,1.0,3.0,52.5,1.0,2.0,255.4,1.0,2.0,60.0,1.0,2.0,286.7,1.0,2.0,215.8
2.0,4.0,5.5,1.0,4.0,27.8,1.0,4.0,251.5,1.0,3.0,203.2,1.0,3.0,630.3,1.0,3.0,573.5
2.0,5.0,23.2,1.0,5.0,81.2,1.0,5.0,451.9,1.0,5.0,91.7,1.0,4.0,305.8,1.0,4.0,237.2
2.0,6.0,11.5,1.0,6.0,43.1,1.0,6.0,295.5,1.0,6.0,56.3,1.0,6.0,268.8,1.0,5.0,462.5
3.0,2.0,22.0,3.0,1.0,262.3,2.0,1.0,491.7,2.0,1.0,124.6,2.0,1.0,497.0,2.0,1.0,312.0
3.0,4.0,24.6,3.0,4.0,441.8,2.0,4.0,617.2,2.0,3.0,608.1,2.0,3.0,1596.0,2.0,3.0,1151.0
3.0,5.0,51.0,3.0,5.0,760.1,2.0,5.0,1091.0,2.0,5.0,336.2,2.0,4.0,852.6,2.0,4.0,474.2
3.0,6.0,33.7,3.0,6.0,447.0,2.0,6.0,734.5,2.0,6.0,168.1,2.0,6.0,792.2,2.0,5.0,1212.0
4.0,2.0,8.3,4.0,1.0,120.0,4.0,1.0,563.3,3.0,1.0,558.8,3.0,1.0,1280.0,3.0,1.0,1264.0
4.0,3.0,25.7,4.0,3.0,409.0,4.0,2.0,910.8,3.0,2.0,1016.0,3.0,2.0,2310.0,3.0,2.0,1752.0
4.0,5.0,23.0,4.0,5.0,379.3,4.0,5.0,1184.0,3.0,5.0,1219.0,3.0,4.0,2390.0,3.0,4.0,1752.0
4.0,6.0,11.7,4.0,6.0,189.2,4.0,6.0,859.7,3.0,6.0,646.1,3.0,6.0,1708.0,3.0,5.0,2813.0
5.0,2.0,46.2,5.0,1.0,336.4,5.0,1.0,1018.0,5.0,1.0,147.7,4.0,1.0,374.2,4.0,1.0,298.1
5.0,3.0,94.3,5.0,3.0,1023.0,5.0,2.0,1774.0,5.0,2.0,271.5,4.0,2.0,652.2,4.0,2.0,489.3
5.0,4.0,51.9,5.0,4.0,613.5,5.0,4.0,1537.0,5.0,3.0,693.8,4.0,3.0,1509.0,4.0,3.0,1171.0
5.0,6.0,56.2,5.0,6.0,538.4,5.0,6.0,1654.0,5.0,6.0,140.9,4.0,6.0,426.7,4.0,5.0,739.7
6.0,2.0,32.5,6.0,1.0,195.8,6.0,1.0,931.3,6.0,1.0,106.5,6.0,1.0,468.3,5.0,1.0,781.7
6.0,3.0,65.6,6.0,3.0,642.1,6.0,2.0,1430.0,6.0,2.0,180.8,6.0,2.0,825.4,5.0,2.0,1181.0
6.0,4.0,31.4,6.0,4.0,305.1,6.0,4.0,1333.0,6.0,3.0,524.1,6.0,3.0,1560.0,5.0,3.0,1813.0
6.0,5.0,74.6,6.0,5.0,639.1,6.0,5.0,1854.0,6.0,5.0,223.8,6.0,4.0,649.1,5.0,4.0,950.6
