1,安東 幸治,安東 幸治.1,2,大庭 元明,大庭 元明.1,3,柴田 朋哉,柴田 朋哉.1,4,松下 哲也,松下 哲也.1,5,小林 文彦,小林 文彦.1,6,柴田 大輔,柴田 大輔.1
2.0,3.0,10.0,1.0,3.0,51.0,1.0,2.0,102.3,1.0,2.0,101.1,1.0,2.0,118.0,1.0,2.0,37.4
2.0,4.0,15.3,1.0,4.0,66.7,1.0,4.0,144.9,1.0,3.0,117.6,1.0,3.0,151.2,1.0,3.0,53.5
2.0,5.0,12.8,1.0,5.0,59.8,1.0,5.0,110.9,1.0,5.0,86.4,1.0,4.0,153.6,1.0,4.0,62.6
2.0,6.0,30.5,1.0,6.0,77.6,1.0,6.0,166.7,1.0,6.0,97.0,1.0,6.0,152.9,1.0,5.0,67.5
3.0,2.0,15.3,3.0,1.0,145.9,2.0,1.0,186.0,2.0,1.0,139.7,2.0,1.0,205.0,2.0,1.0,49.5
3.0,4.0,25.3,3.0,4.0,334.4,2.0,4.0,344.2,2.0,3.0,270.5,2.0,3.0,446.4,2.0,3.0,85.3
3.0,5.0,18.2,3.0,5.0,296.0,2.0,5.0,344.2,2.0,5.0,171.0,2.0,4.0,387.6,2.0,4.0,98.6
3.0,6.0,43.0,3.0,6.0,325.5,2.0,6.0,396.4,2.0,6.0,163.6,2.0,6.0,347.4,2.0,5.0,108.5
4.0,2.0,35.2,4.0,1.0,180.7,4.0,1.0,275.8,3.0,1.0,247.5,3.0,1.0,317.2,3.0,1.0,120.5
4.0,3.0,39.1,4.0,3.0,366.4,4.0,2.0,392.2,3.0,2.0,385.8,3.0,2.0,552.5,3.0,2.0,146.3
4.0,5.0,47.3,4.0,5.0,303.8,4.0,5.0,337.0,3.0,5.0,359.8,3.0,4.0,546.1,3.0,4.0,238.6
4.0,6.0,77.7,4.0,6.0,286.2,4.0,6.0,378.2,3.0,6.0,383.1,3.0,6.0,565.9,3.0,5.0,252.2
5.0,2.0,27.6,5.0,1.0,165.4,5.0,1.0,232.6,5.0,1.0,103.3,4.0,1.0,188.3,4.0,1.0,117.4
5.0,3.0,28.6,5.0,3.0,335.0,5.0,2.0,382.1,5.0,2.0,160.4,4.0,2.0,270.8,4.0,2.0,157.4
5.0,4.0,48.6,5.0,4.0,361.5,5.0,4.0,390.3,5.0,3.0,251.1,4.0,3.0,407.9,4.0,3.0,239.2
5.0,6.0,60.6,5.0,6.0,334.4,5.0,6.0,385.0,5.0,6.0,137.1,4.0,6.0,203.2,4.0,5.0,198.4
6.0,2.0,47.6,6.0,1.0,132.0,6.0,1.0,264.3,6.0,1.0,97.4,6.0,1.0,198.1,5.0,1.0,144.2
6.0,3.0,62.5,6.0,3.0,274.2,6.0,2.0,406.1,6.0,2.0,124.2,6.0,2.0,269.7,5.0,2.0,178.6
6.0,4.0,86.7,6.0,4.0,247.9,6.0,4.0,421.0,6.0,3.0,193.8,6.0,3.0,427.7,5.0,3.0,296.0
6.0,5.0,78.7,6.0,5.0,241.8,6.0,5.0,402.0,6.0,5.0,152.2,6.0,4.0,280.9,5.0,4.0,222.9
