1,池田 雷太,池田 雷太.1,2,松尾 宣邦,松尾 宣邦.1,3,大熊 辰弥,大熊 辰弥.1,4,岡崎 恭裕,岡崎 恭裕.1,5,立間 充宏,立間 充宏.1,6,赤峰 和也,赤峰 和也.1
2.0,3.0,98.8,1.0,3.0,177.0,1.0,2.0,512.1,1.0,2.0,15.3,1.0,2.0,163.2,1.0,2.0,1616.0
2.0,4.0,25.3,1.0,4.0,26.4,1.0,4.0,348.9,1.0,3.0,83.0,1.0,3.0,535.2,1.0,3.0,3832.0
2.0,5.0,52.7,1.0,5.0,67.6,1.0,5.0,610.8,1.0,5.0,10.4,1.0,4.0,76.4,1.0,4.0,1466.0
2.0,6.0,198.8,1.0,6.0,233.6,1.0,6.0,1504.0,1.0,6.0,45.8,1.0,6.0,269.4,1.0,5.0,1963.0
3.0,2.0,163.4,3.0,1.0,331.4,2.0,1.0,552.6,2.0,1.0,16.4,2.0,1.0,179.6,2.0,1.0,2475.0
3.0,4.0,109.3,3.0,4.0,165.3,2.0,4.0,385.7,2.0,3.0,81.3,2.0,3.0,620.4,2.0,3.0,3895.0
3.0,5.0,181.6,3.0,5.0,253.3,2.0,5.0,628.6,2.0,5.0,14.1,2.0,4.0,96.6,2.0,4.0,1342.0
3.0,6.0,438.4,3.0,6.0,591.1,2.0,6.0,1947.0,2.0,6.0,40.3,2.0,6.0,315.1,2.0,5.0,2400.0
4.0,2.0,16.7,4.0,1.0,24.8,4.0,1.0,397.3,3.0,1.0,223.9,3.0,1.0,883.4,3.0,1.0,4097.0
4.0,3.0,73.2,4.0,3.0,95.5,4.0,2.0,426.6,3.0,2.0,212.3,3.0,2.0,1080.0,3.0,2.0,4483.0
4.0,5.0,15.2,4.0,5.0,24.5,4.0,5.0,427.4,3.0,5.0,188.3,3.0,4.0,561.7,3.0,4.0,3772.0
4.0,6.0,80.5,4.0,6.0,82.4,4.0,6.0,1224.0,3.0,6.0,385.1,3.0,6.0,1257.0,3.0,5.0,3655.0
5.0,2.0,77.9,5.0,1.0,105.4,5.0,1.0,893.3,5.0,1.0,10.3,4.0,1.0,54.3,4.0,1.0,1298.0
5.0,3.0,209.7,5.0,3.0,235.0,5.0,2.0,969.9,5.0,2.0,11.2,4.0,2.0,60.0,4.0,2.0,1231.0
5.0,4.0,44.0,5.0,4.0,50.7,5.0,4.0,588.2,5.0,3.0,79.6,4.0,3.0,268.5,4.0,3.0,3211.0
5.0,6.0,239.7,5.0,6.0,235.2,5.0,6.0,1760.0,5.0,6.0,17.9,4.0,6.0,92.5,4.0,5.0,752.0
6.0,2.0,618.8,6.0,1.0,830.8,6.0,1.0,2640.0,6.0,1.0,126.2,6.0,1.0,483.9,5.0,1.0,1381.0
6.0,3.0,910.4,6.0,3.0,2013.0,6.0,2.0,2501.0,6.0,2.0,114.5,6.0,2.0,652.8,5.0,2.0,2400.0
6.0,4.0,409.0,6.0,4.0,492.0,6.0,4.0,2611.0,6.0,3.0,433.6,6.0,3.0,1270.0,5.0,3.0,3546.0
6.0,5.0,707.2,6.0,5.0,867.2,6.0,5.0,2763.0,6.0,5.0,88.5,6.0,4.0,320.6,5.0,4.0,811.0
