1,清水 敦揮,清水 敦揮.1,2,渡辺 浩司,渡辺 浩司.1,3,大橋　純一郎,大橋　純一郎.1,4,竹下 大樹,竹下 大樹.1,5,寺田 祥,寺田 祥.1,6,竹田 吉行,竹田 吉行.1
2.0,3.0,5.9,1.0,3.0,38.1,1.0,2.0,124.0,1.0,2.0,126.2,1.0,2.0,62.6,1.0,2.0,2276.0
2.0,4.0,7.7,1.0,4.0,47.1,1.0,4.0,162.2,1.0,3.0,245.1,1.0,3.0,101.7,1.0,3.0,3110.0
2.0,5.0,6.6,1.0,5.0,33.9,1.0,5.0,113.0,1.0,5.0,112.4,1.0,4.0,122.3,1.0,4.0,3456.0
2.0,6.0,76.4,1.0,6.0,278.5,1.0,6.0,565.0,1.0,6.0,405.1,1.0,6.0,219.8,1.0,5.0,2886.0
3.0,2.0,11.6,3.0,1.0,120.3,2.0,1.0,205.9,2.0,1.0,247.5,2.0,1.0,101.2,2.0,1.0,3274.0
3.0,4.0,17.6,3.0,4.0,198.7,2.0,4.0,359.4,2.0,3.0,431.7,2.0,3.0,193.8,2.0,3.0,4785.0
3.0,5.0,15.9,3.0,5.0,123.6,2.0,5.0,260.9,2.0,5.0,262.0,2.0,4.0,286.8,2.0,4.0,4444.0
3.0,6.0,118.2,3.0,6.0,662.6,2.0,6.0,1003.0,2.0,6.0,771.2,2.0,6.0,456.7,2.0,5.0,4705.0
4.0,2.0,16.0,4.0,1.0,174.6,4.0,1.0,454.8,3.0,1.0,718.8,3.0,1.0,240.1,3.0,1.0,5184.0
4.0,3.0,27.2,4.0,3.0,281.0,4.0,2.0,543.1,3.0,2.0,707.0,3.0,2.0,302.6,3.0,2.0,5656.0
4.0,5.0,24.3,4.0,5.0,219.3,4.0,5.0,552.7,3.0,5.0,707.9,3.0,4.0,644.3,3.0,4.0,7670.0
4.0,6.0,121.7,4.0,6.0,794.2,4.0,6.0,1352.0,3.0,6.0,1656.0,3.0,6.0,984.0,3.0,5.0,6828.0
5.0,2.0,14.7,5.0,1.0,85.1,5.0,1.0,241.5,5.0,1.0,140.9,4.0,1.0,187.4,4.0,1.0,5184.0
5.0,3.0,24.6,5.0,3.0,139.5,5.0,2.0,310.5,5.0,2.0,189.3,4.0,2.0,272.3,4.0,2.0,4999.0
5.0,4.0,33.6,5.0,4.0,241.1,5.0,4.0,620.7,5.0,3.0,399.9,4.0,3.0,488.1,4.0,3.0,7367.0
5.0,6.0,102.7,5.0,6.0,574.8,5.0,6.0,1181.0,5.0,6.0,362.6,4.0,6.0,443.3,4.0,5.0,4147.0
6.0,2.0,369.1,6.0,1.0,1642.0,6.0,1.0,2772.0,6.0,1.0,1372.0,6.0,1.0,671.4,5.0,1.0,3059.0
6.0,3.0,545.7,6.0,3.0,1951.0,6.0,2.0,2785.0,6.0,2.0,1473.0,6.0,2.0,944.2,5.0,2.0,4515.0
6.0,4.0,469.7,6.0,4.0,2276.0,6.0,4.0,3199.0,6.0,3.0,1898.0,6.0,3.0,1349.0,5.0,3.0,5656.0
6.0,5.0,396.5,6.0,5.0,1646.0,6.0,5.0,3612.0,6.0,5.0,1147.0,6.0,4.0,1058.0,5.0,4.0,4147.0
