1,永田 義紘,永田 義紘.1,2,田中 宏樹,田中 宏樹.1,3,原村 拓也,原村 拓也.1,4,牧原 崇,牧原 崇.1,5,川辺 郭人,川辺 郭人.1,6,向井田　直弥,向井田　直弥.1
2.0,3.0,14.8,1.0,3.0,31.3,1.0,2.0,72.4,1.0,2.0,42.2,1.0,2.0,1025.0,1.0,2.0,118.3
2.0,4.0,11.8,1.0,4.0,19.0,1.0,4.0,47.0,1.0,3.0,60.6,1.0,3.0,1634.0,1.0,3.0,130.4
2.0,5.0,192.1,1.0,5.0,372.2,1.0,5.0,190.8,1.0,5.0,297.6,1.0,4.0,2211.0,1.0,4.0,98.6
2.0,6.0,32.2,1.0,6.0,42.2,1.0,6.0,61.0,1.0,6.0,42.2,1.0,6.0,1545.0,1.0,5.0,547.5
3.0,2.0,21.1,3.0,1.0,76.8,2.0,1.0,113.5,2.0,1.0,51.9,2.0,1.0,1683.0,2.0,1.0,153.8
3.0,4.0,18.3,3.0,4.0,53.6,2.0,4.0,65.4,2.0,3.0,62.0,2.0,3.0,2685.0,2.0,3.0,191.8
3.0,5.0,169.3,3.0,5.0,671.4,2.0,5.0,496.9,2.0,5.0,387.6,2.0,4.0,2256.0,2.0,4.0,109.6
3.0,6.0,30.7,3.0,6.0,111.4,2.0,6.0,103.4,2.0,6.0,45.2,2.0,6.0,2302.0,2.0,5.0,848.1
4.0,2.0,17.7,4.0,1.0,42.6,4.0,1.0,62.0,3.0,1.0,84.0,3.0,1.0,1979.0,3.0,1.0,165.8
4.0,3.0,22.8,4.0,3.0,58.0,4.0,2.0,68.3,3.0,2.0,80.4,3.0,2.0,2892.0,3.0,2.0,224.7
4.0,5.0,206.9,4.0,5.0,471.9,4.0,5.0,278.5,3.0,5.0,346.0,3.0,4.0,742.1,3.0,4.0,155.5
4.0,6.0,27.2,4.0,6.0,55.7,4.0,6.0,55.6,3.0,6.0,69.6,3.0,6.0,2452.0,3.0,5.0,767.3
5.0,2.0,486.2,5.0,1.0,1187.0,5.0,1.0,1105.0,5.0,1.0,762.1,4.0,1.0,2256.0,4.0,1.0,96.4
5.0,3.0,492.5,5.0,3.0,1588.0,5.0,2.0,1162.0,5.0,2.0,917.1,4.0,2.0,2128.0,4.0,2.0,89.4
5.0,4.0,718.5,5.0,4.0,1427.0,5.0,4.0,564.0,5.0,3.0,542.3,4.0,3.0,783.3,4.0,3.0,123.4
5.0,6.0,655.8,5.0,6.0,1327.0,5.0,6.0,881.2,5.0,6.0,499.1,4.0,6.0,1342.0,4.0,5.0,317.7
6.0,2.0,47.6,6.0,1.0,98.5,6.0,1.0,99.3,6.0,1.0,47.7,6.0,1.0,1819.0,5.0,1.0,1139.0
6.0,3.0,45.5,6.0,3.0,141.3,6.0,2.0,130.7,6.0,2.0,43.2,6.0,2.0,2968.0,5.0,2.0,1375.0
6.0,4.0,37.6,6.0,4.0,75.1,6.0,4.0,86.1,6.0,3.0,66.1,6.0,3.0,2169.0,5.0,3.0,1200.0
6.0,5.0,292.9,6.0,5.0,817.4,6.0,5.0,496.9,6.0,5.0,265.4,6.0,4.0,1911.0,5.0,4.0,1054.0
