1,池田　奈津美,池田　奈津美.1,2,冨田 秀幸,冨田 秀幸.1,3,大神 康司,大神 康司.1,4,芦澤 望,芦澤 望.1,5,上之 晃弘,上之 晃弘.1,6,井上 忠政,井上 忠政.1
2.0,3.0,52.0,1.0,3.0,123.4,1.0,2.0,125.4,1.0,2.0,108.2,1.0,2.0,591.2,1.0,2.0,135.2
2.0,4.0,39.7,1.0,4.0,90.7,1.0,4.0,43.6,1.0,3.0,69.6,1.0,3.0,607.5,1.0,3.0,79.4
2.0,5.0,103.0,1.0,5.0,220.3,1.0,5.0,136.4,1.0,5.0,135.3,1.0,4.0,463.8,1.0,4.0,57.1
2.0,6.0,37.2,1.0,6.0,74.5,1.0,6.0,38.1,1.0,6.0,33.0,1.0,6.0,334.8,1.0,5.0,206.7
3.0,2.0,51.4,3.0,1.0,216.0,2.0,1.0,198.8,2.0,1.0,182.9,2.0,1.0,826.5,2.0,1.0,255.3
3.0,4.0,16.9,3.0,4.0,200.5,2.0,4.0,147.3,2.0,3.0,225.2,2.0,3.0,900.4,2.0,3.0,286.0
3.0,5.0,66.9,3.0,5.0,378.7,2.0,5.0,266.9,2.0,5.0,244.2,2.0,4.0,607.5,2.0,4.0,210.3
3.0,6.0,15.3,3.0,6.0,143.5,2.0,6.0,98.9,2.0,6.0,86.7,2.0,6.0,377.8,2.0,5.0,388.7
4.0,2.0,40.3,4.0,1.0,178.2,4.0,1.0,63.4,3.0,1.0,90.6,3.0,1.0,772.3,3.0,1.0,102.3
4.0,3.0,22.7,4.0,3.0,251.7,4.0,2.0,109.8,3.0,2.0,160.5,3.0,2.0,818.9,3.0,2.0,230.8
4.0,5.0,64.9,4.0,5.0,365.7,4.0,5.0,123.0,3.0,5.0,162.8,3.0,4.0,565.6,3.0,4.0,69.8
4.0,6.0,13.6,4.0,6.0,135.7,4.0,6.0,31.4,3.0,6.0,46.5,3.0,6.0,369.2,3.0,5.0,220.8
5.0,2.0,166.0,5.0,1.0,522.1,5.0,1.0,298.3,5.0,1.0,166.3,4.0,1.0,383.2,4.0,1.0,65.7
5.0,3.0,145.6,5.0,3.0,681.3,5.0,2.0,334.5,5.0,2.0,197.6,4.0,2.0,434.1,4.0,2.0,148.1
5.0,4.0,142.2,5.0,4.0,532.3,5.0,4.0,219.5,5.0,3.0,207.9,4.0,3.0,450.2,4.0,3.0,68.6
5.0,6.0,99.5,5.0,6.0,354.7,5.0,6.0,142.4,5.0,6.0,71.9,4.0,6.0,168.7,4.0,5.0,114.5
6.0,2.0,44.2,6.0,1.0,188.4,6.0,1.0,57.8,6.0,1.0,34.6,6.0,1.0,330.1,5.0,1.0,365.7
6.0,3.0,26.2,6.0,3.0,233.4,6.0,2.0,107.1,6.0,2.0,66.9,6.0,2.0,330.7,5.0,2.0,360.1
6.0,4.0,20.6,6.0,4.0,178.8,6.0,4.0,38.5,6.0,3.0,36.4,6.0,3.0,345.0,5.0,3.0,352.6
6.0,5.0,79.4,6.0,5.0,324.4,6.0,5.0,111.3,6.0,5.0,57.6,6.0,4.0,186.9,5.0,4.0,190.8
