1,原村 拓也,原村 拓也.1,2,岡本 慎治,岡本 慎治.1,3,小野寺　智洋,小野寺　智洋.1,4,中岡 正彦,中岡 正彦.1,5,宮野 仁,宮野 仁.1,6,岸本 隆,岸本 隆.1
2.0,3.0,31.9,1.0,3.0,57.1,1.0,2.0,60.0,1.0,2.0,89.2,1.0,2.0,207.4,1.0,2.0,2273.0
2.0,4.0,49.4,1.0,4.0,80.8,1.0,4.0,23.1,1.0,3.0,50.7,1.0,3.0,146.3,1.0,3.0,1859.0
2.0,5.0,67.2,1.0,5.0,102.9,1.0,5.0,39.3,1.0,5.0,46.7,1.0,4.0,136.2,1.0,4.0,2045.0
2.0,6.0,180.8,1.0,6.0,263.1,1.0,6.0,133.1,1.0,6.0,182.0,1.0,6.0,320.3,1.0,5.0,2125.0
3.0,2.0,32.3,3.0,1.0,96.8,2.0,1.0,90.4,2.0,1.0,142.3,2.0,1.0,324.7,2.0,1.0,3031.0
3.0,4.0,18.2,3.0,4.0,78.0,2.0,4.0,56.5,2.0,3.0,90.6,2.0,3.0,192.3,2.0,3.0,2305.0
3.0,5.0,29.8,3.0,5.0,87.5,2.0,5.0,60.8,2.0,5.0,81.8,2.0,4.0,176.3,2.0,4.0,1722.0
3.0,6.0,107.2,3.0,6.0,266.5,2.0,6.0,178.1,2.0,6.0,251.0,2.0,6.0,400.1,2.0,5.0,2518.0
4.0,2.0,42.9,4.0,1.0,116.3,4.0,1.0,26.5,3.0,1.0,37.4,3.0,1.0,129.5,3.0,1.0,2098.0
4.0,3.0,25.8,4.0,3.0,86.1,4.0,2.0,36.1,3.0,2.0,54.5,3.0,2.0,148.1,3.0,2.0,2518.0
4.0,5.0,36.0,4.0,5.0,81.5,4.0,5.0,15.0,3.0,5.0,21.9,3.0,4.0,61.3,3.0,4.0,946.0
4.0,6.0,122.8,4.0,6.0,271.8,4.0,6.0,57.8,3.0,6.0,82.3,3.0,6.0,181.8,3.0,5.0,1069.0
5.0,2.0,98.0,5.0,1.0,246.4,5.0,1.0,53.1,5.0,1.0,46.0,4.0,1.0,92.4,4.0,1.0,1881.0
5.0,3.0,61.4,5.0,3.0,156.1,5.0,2.0,58.7,5.0,2.0,46.2,4.0,2.0,114.2,4.0,2.0,1410.0
5.0,4.0,74.8,5.0,4.0,126.6,5.0,4.0,25.2,5.0,3.0,26.2,4.0,3.0,58.4,4.0,3.0,1029.0
5.0,6.0,244.6,5.0,6.0,434.1,5.0,6.0,92.7,5.0,6.0,56.3,4.0,6.0,131.1,4.0,5.0,998.0
6.0,2.0,566.3,6.0,1.0,806.2,6.0,1.0,433.0,6.0,1.0,403.1,6.0,1.0,601.7,5.0,1.0,2211.0
6.0,3.0,392.5,6.0,3.0,822.4,6.0,2.0,503.6,6.0,2.0,403.1,6.0,2.0,673.5,5.0,2.0,1903.0
6.0,4.0,395.3,6.0,4.0,747.3,6.0,4.0,214.7,6.0,3.0,237.5,6.0,3.0,433.0,5.0,3.0,1309.0
6.0,5.0,524.5,6.0,5.0,884.7,6.0,5.0,275.5,6.0,5.0,205.6,6.0,4.0,429.5,5.0,4.0,1278.0
