1,塩田 雄一,塩田 雄一.1,2,川口 貴久,川口 貴久.1,3,寺嶋 雄,寺嶋 雄.1,4,門間 雄大,門間 雄大.1,5,桐本 康臣,桐本 康臣.1,6,中岡 健人,中岡 健人.1
2.0,3.0,16.9,1.0,3.0,18.1,1.0,2.0,49.1,1.0,2.0,172.2,1.0,2.0,59.0,1.0,2.0,481.7
2.0,4.0,25.6,1.0,4.0,24.0,1.0,4.0,62.8,1.0,3.0,266.8,1.0,3.0,58.2,1.0,3.0,571.7
2.0,5.0,15.0,1.0,5.0,21.6,1.0,5.0,35.7,1.0,5.0,163.3,1.0,4.0,135.4,1.0,4.0,1083.0
2.0,6.0,78.8,1.0,6.0,63.7,1.0,6.0,140.8,1.0,6.0,394.1,1.0,6.0,114.0,1.0,5.0,689.0
3.0,2.0,21.1,3.0,1.0,39.4,2.0,1.0,58.2,2.0,1.0,227.6,2.0,1.0,95.4,2.0,1.0,646.2
3.0,4.0,30.3,3.0,4.0,44.7,2.0,4.0,58.2,2.0,3.0,200.4,2.0,3.0,103.5,2.0,3.0,667.0
3.0,5.0,17.6,3.0,5.0,43.5,2.0,5.0,52.0,2.0,5.0,158.8,2.0,4.0,149.7,2.0,4.0,1300.0
3.0,6.0,94.5,3.0,6.0,109.0,2.0,6.0,145.9,2.0,6.0,308.7,2.0,6.0,164.9,2.0,5.0,904.8
4.0,2.0,46.4,4.0,1.0,68.8,4.0,1.0,127.6,3.0,1.0,308.7,3.0,1.0,78.2,3.0,1.0,722.5
4.0,3.0,62.3,4.0,3.0,73.1,4.0,2.0,128.7,3.0,2.0,276.7,3.0,2.0,109.7,3.0,2.0,819.3
4.0,5.0,61.4,4.0,5.0,71.6,4.0,5.0,98.6,3.0,5.0,221.8,3.0,4.0,199.3,3.0,4.0,1351.0
4.0,6.0,147.3,4.0,6.0,149.7,4.0,6.0,208.1,3.0,6.0,439.0,3.0,6.0,202.4,3.0,5.0,845.9
5.0,2.0,27.7,5.0,1.0,51.2,5.0,1.0,57.4,5.0,1.0,184.1,4.0,1.0,232.7,4.0,1.0,1553.0
5.0,3.0,26.4,5.0,3.0,57.5,5.0,2.0,71.0,5.0,2.0,179.7,4.0,2.0,214.5,4.0,2.0,1508.0
5.0,4.0,54.3,5.0,4.0,73.4,5.0,4.0,91.2,5.0,3.0,242.5,4.0,3.0,260.7,4.0,3.0,1553.0
5.0,6.0,85.1,5.0,6.0,112.7,5.0,6.0,130.0,5.0,6.0,230.7,4.0,6.0,251.3,4.0,5.0,1351.0
6.0,2.0,247.7,6.0,1.0,310.6,6.0,1.0,377.0,6.0,1.0,654.4,6.0,1.0,239.7,5.0,1.0,619.3
6.0,3.0,278.2,6.0,3.0,329.2,6.0,2.0,419.5,6.0,2.0,630.6,6.0,2.0,272.3,5.0,2.0,765.0
6.0,4.0,307.8,6.0,4.0,331.3,6.0,4.0,368.9,6.0,3.0,776.5,6.0,3.0,275.2,5.0,3.0,707.8
6.0,5.0,250.1,6.0,5.0,294.7,6.0,5.0,309.6,6.0,5.0,481.7,6.0,4.0,362.5,5.0,4.0,1061.0
