1,松尾 基成,松尾 基成.1,2,鈴木 智啓,鈴木 智啓.1,3,岡本　翔太郎,岡本　翔太郎.1,4,藤田 美代,藤田 美代.1,5,吉永 浩則,吉永 浩則.1,6,幸野 史明,幸野 史明.1
2.0,3.0,9.9,1.0,3.0,18.4,1.0,2.0,18.4,1.0,2.0,234.5,1.0,2.0,178.1,1.0,2.0,275.0
2.0,4.0,18.7,1.0,4.0,31.9,1.0,4.0,40.9,1.0,3.0,275.0,1.0,3.0,238.5,1.0,3.0,348.0
2.0,5.0,26.6,1.0,5.0,44.2,1.0,5.0,26.3,1.0,5.0,334.8,1.0,4.0,451.6,1.0,4.0,462.4
2.0,6.0,35.3,1.0,6.0,36.3,1.0,6.0,44.8,1.0,6.0,336.0,1.0,6.0,321.5,1.0,5.0,551.7
3.0,2.0,10.4,3.0,1.0,38.7,2.0,1.0,36.2,2.0,1.0,284.7,2.0,1.0,263.1,2.0,1.0,396.3
3.0,4.0,25.5,3.0,4.0,70.9,2.0,4.0,66.9,2.0,3.0,365.0,2.0,3.0,220.2,2.0,3.0,349.3
3.0,5.0,18.4,3.0,5.0,57.8,2.0,5.0,48.2,2.0,5.0,373.4,2.0,4.0,478.3,2.0,4.0,466.8
3.0,6.0,36.2,3.0,6.0,75.0,2.0,6.0,65.7,2.0,6.0,321.5,2.0,6.0,401.2,2.0,5.0,505.7
4.0,2.0,64.6,4.0,1.0,133.2,4.0,1.0,86.9,3.0,1.0,312.2,3.0,1.0,340.7,3.0,1.0,402.9
4.0,3.0,73.8,4.0,3.0,152.2,4.0,2.0,86.6,3.0,2.0,409.7,3.0,2.0,266.0,3.0,2.0,374.9
4.0,5.0,140.1,4.0,5.0,201.0,4.0,5.0,80.7,3.0,5.0,344.3,3.0,4.0,558.0,3.0,4.0,508.4
4.0,6.0,128.7,4.0,6.0,212.4,4.0,6.0,83.1,3.0,6.0,339.5,3.0,6.0,333.7,3.0,5.0,522.0
5.0,2.0,72.4,5.0,1.0,137.7,5.0,1.0,64.1,5.0,1.0,453.7,4.0,1.0,752.7,4.0,1.0,1033.0
5.0,3.0,74.6,5.0,3.0,117.1,5.0,2.0,57.5,5.0,2.0,471.4,4.0,2.0,708.8,4.0,2.0,933.7
5.0,4.0,182.5,5.0,4.0,243.9,5.0,4.0,89.1,5.0,3.0,416.7,4.0,3.0,679.0,4.0,3.0,851.8
5.0,6.0,137.5,5.0,6.0,185.6,5.0,6.0,55.2,5.0,6.0,422.2,4.0,6.0,634.7,4.0,5.0,1103.0
6.0,2.0,112.6,6.0,1.0,180.5,6.0,1.0,106.4,6.0,1.0,581.4,6.0,1.0,401.2,5.0,1.0,530.6
6.0,3.0,114.5,6.0,3.0,169.7,6.0,2.0,104.1,6.0,2.0,462.4,6.0,2.0,374.9,5.0,2.0,497.9
6.0,4.0,249.6,6.0,4.0,245.8,6.0,4.0,120.7,6.0,3.0,599.4,6.0,3.0,420.3,5.0,3.0,630.5
6.0,5.0,220.2,6.0,5.0,220.2,6.0,5.0,95.1,6.0,5.0,574.6,6.0,4.0,719.3,5.0,4.0,822.9
