1,石田 貴洋,石田 貴洋.1,2,森清 友翔,森清 友翔.1,3,渡辺 空依,渡辺 空依.1,4,栗原 一馬,栗原 一馬.1,5,久永 祥平,久永 祥平.1,6,田中 駿兵,田中 駿兵.1
2.0,3.0,27.0,1.0,3.0,236.7,1.0,2.0,212.8,1.0,2.0,182.7,1.0,2.0,80.5,1.0,2.0,1060.0
2.0,4.0,25.6,1.0,4.0,206.0,1.0,4.0,114.1,1.0,3.0,114.5,1.0,3.0,53.1,1.0,3.0,862.7
2.0,5.0,20.9,1.0,5.0,192.5,1.0,5.0,69.2,1.0,5.0,48.4,1.0,4.0,41.9,1.0,4.0,687.4
2.0,6.0,56.5,1.0,6.0,379.8,1.0,6.0,231.6,1.0,6.0,105.8,1.0,6.0,53.4,1.0,5.0,401.3
3.0,2.0,28.6,3.0,1.0,596.9,2.0,1.0,593.6,2.0,1.0,495.5,2.0,1.0,290.3,2.0,1.0,1566.0
3.0,4.0,11.6,3.0,4.0,982.0,2.0,4.0,701.0,2.0,3.0,1087.0,2.0,3.0,557.8,2.0,3.0,3329.0
3.0,5.0,9.8,3.0,5.0,674.3,2.0,5.0,632.3,2.0,5.0,607.1,2.0,4.0,545.0,2.0,4.0,2449.0
3.0,6.0,36.8,3.0,6.0,1268.0,2.0,6.0,1121.0,2.0,6.0,930.5,2.0,6.0,499.0,2.0,5.0,1919.0
4.0,2.0,25.5,4.0,1.0,447.6,4.0,1.0,243.5,3.0,1.0,291.5,3.0,1.0,143.3,3.0,1.0,1402.0
4.0,3.0,11.5,4.0,3.0,1203.0,4.0,2.0,600.2,3.0,2.0,1029.0,3.0,2.0,528.7,3.0,2.0,2919.0
4.0,5.0,9.1,4.0,5.0,670.1,4.0,5.0,275.6,3.0,5.0,361.8,3.0,4.0,283.7,3.0,4.0,2421.0
4.0,6.0,28.5,4.0,6.0,742.5,4.0,6.0,472.5,3.0,6.0,739.9,3.0,6.0,339.3,3.0,5.0,1626.0
5.0,2.0,23.1,5.0,1.0,399.8,5.0,1.0,181.5,5.0,1.0,63.0,4.0,1.0,72.8,4.0,1.0,1044.0
5.0,3.0,12.3,5.0,3.0,780.6,5.0,2.0,568.2,5.0,2.0,295.1,4.0,2.0,295.5,4.0,2.0,2131.0
5.0,4.0,11.7,5.0,4.0,835.7,5.0,4.0,287.2,5.0,3.0,217.0,4.0,3.0,218.3,4.0,3.0,2243.0
5.0,6.0,22.2,5.0,6.0,753.0,5.0,6.0,405.9,5.0,6.0,120.9,4.0,6.0,137.8,4.0,5.0,1087.0
6.0,2.0,101.7,6.0,1.0,1533.0,6.0,1.0,739.9,6.0,1.0,347.6,6.0,1.0,146.3,5.0,1.0,513.5
6.0,3.0,78.6,6.0,3.0,1439.0,6.0,2.0,1718.0,6.0,2.0,938.7,6.0,2.0,452.4,5.0,2.0,1718.0
6.0,4.0,76.2,6.0,4.0,1544.0,6.0,4.0,1340.0,6.0,3.0,995.8,6.0,3.0,343.7,5.0,3.0,1469.0
6.0,5.0,50.4,6.0,5.0,1158.0,6.0,5.0,672.2,6.0,5.0,329.3,6.0,4.0,257.9,5.0,4.0,986.5
