1,犬童 千秋,犬童 千秋.1,2,水口 由紀,水口 由紀.1,3,藤田 美代,藤田 美代.1,4,川原 愛未,川原 愛未.1,5,本部　めぐみ,本部　めぐみ.1,6,河内　悠利杏,河内　悠利杏.1
2.0,3.0,4.7,1.0,3.0,21.7,1.0,2.0,35.3,1.0,2.0,121.9,1.0,2.0,105.0,1.0,2.0,459.1
2.0,4.0,17.7,1.0,4.0,68.5,1.0,4.0,54.4,1.0,3.0,95.2,1.0,3.0,83.5,1.0,3.0,407.3
2.0,5.0,18.4,1.0,5.0,68.9,1.0,5.0,48.8,1.0,5.0,119.9,1.0,4.0,161.0,1.0,4.0,661.2
2.0,6.0,55.6,1.0,6.0,188.3,1.0,6.0,137.0,1.0,6.0,225.1,1.0,6.0,257.2,1.0,5.0,656.6
3.0,2.0,6.3,3.0,1.0,65.2,2.0,1.0,66.9,2.0,1.0,248.0,2.0,1.0,169.0,2.0,1.0,775.9
3.0,4.0,11.4,3.0,4.0,212.1,2.0,4.0,187.2,2.0,3.0,392.0,2.0,3.0,276.9,2.0,3.0,1502.0
3.0,5.0,12.9,3.0,5.0,170.8,2.0,5.0,154.3,2.0,5.0,491.6,2.0,4.0,521.6,2.0,4.0,1823.0
3.0,6.0,38.9,3.0,6.0,429.7,2.0,6.0,357.0,2.0,6.0,617.7,2.0,6.0,599.9,2.0,5.0,1823.0
4.0,2.0,33.9,4.0,1.0,238.3,4.0,1.0,125.1,3.0,1.0,181.4,3.0,1.0,146.8,3.0,1.0,647.5
4.0,3.0,25.6,4.0,3.0,328.8,4.0,2.0,253.4,3.0,2.0,368.9,3.0,2.0,285.8,3.0,2.0,1277.0
4.0,5.0,47.2,4.0,5.0,521.6,4.0,5.0,229.5,3.0,5.0,415.4,3.0,4.0,523.0,3.0,4.0,1514.0
4.0,6.0,95.4,4.0,6.0,842.1,4.0,6.0,454.7,3.0,6.0,680.4,3.0,6.0,772.8,3.0,5.0,2133.0
5.0,2.0,40.5,5.0,1.0,185.7,5.0,1.0,110.7,5.0,1.0,164.1,4.0,1.0,300.4,4.0,1.0,1227.0
5.0,3.0,30.3,5.0,3.0,263.0,5.0,2.0,224.6,5.0,2.0,357.0,4.0,2.0,513.0,4.0,2.0,1823.0
5.0,4.0,61.2,5.0,4.0,588.6,5.0,4.0,298.5,5.0,3.0,356.3,4.0,3.0,563.9,4.0,3.0,2318.0
5.0,6.0,113.1,5.0,6.0,873.4,5.0,6.0,542.7,5.0,6.0,429.7,4.0,6.0,692.9,4.0,5.0,1935.0
6.0,2.0,190.4,6.0,1.0,615.7,6.0,1.0,454.7,6.0,1.0,569.0,6.0,1.0,479.0,5.0,1.0,978.0
6.0,3.0,148.1,6.0,3.0,1166.0,6.0,2.0,1124.0,6.0,2.0,1004.0,6.0,2.0,760.2,5.0,2.0,1444.0
6.0,4.0,230.9,6.0,4.0,1564.0,6.0,4.0,993.6,6.0,3.0,1145.0,6.0,3.0,963.0,5.0,3.0,1823.0
6.0,5.0,246.4,6.0,5.0,1391.0,6.0,5.0,1138.0,6.0,5.0,1026.0,6.0,4.0,902.8,5.0,4.0,1691.0
