1,長尾　京志郎,長尾　京志郎.1,2,眞鳥 章太,眞鳥 章太.1,3,前川 守嗣,前川 守嗣.1,4,新田 洋一,新田 洋一.1,5,川島 圭司,川島 圭司.1,6,長岡 良也,長岡 良也.1
2.0,3.0,16.5,1.0,3.0,57.2,1.0,2.0,47.9,1.0,2.0,201.3,1.0,2.0,197.6,1.0,2.0,95.5
2.0,4.0,31.4,1.0,4.0,85.1,1.0,4.0,63.4,1.0,3.0,211.9,1.0,3.0,140.8,1.0,3.0,82.7
2.0,5.0,31.5,1.0,5.0,69.2,1.0,5.0,37.8,1.0,5.0,216.2,1.0,4.0,298.9,1.0,4.0,246.2
2.0,6.0,17.9,1.0,6.0,49.9,1.0,6.0,27.5,1.0,6.0,139.8,1.0,6.0,99.0,1.0,5.0,131.8
3.0,2.0,15.5,3.0,1.0,112.9,2.0,1.0,81.0,2.0,1.0,338.0,2.0,1.0,241.3,2.0,1.0,178.9
3.0,4.0,24.3,3.0,4.0,293.7,2.0,4.0,181.2,2.0,3.0,575.5,2.0,3.0,535.7,2.0,3.0,231.4
3.0,5.0,18.6,3.0,5.0,178.2,2.0,5.0,113.7,2.0,5.0,539.1,2.0,4.0,925.9,2.0,4.0,475.9
3.0,6.0,12.1,3.0,6.0,122.7,2.0,6.0,80.1,2.0,6.0,349.1,2.0,6.0,278.3,2.0,5.0,298.9
4.0,2.0,56.4,4.0,1.0,210.8,4.0,1.0,123.6,3.0,1.0,288.7,3.0,1.0,163.8,3.0,1.0,116.5
4.0,3.0,50.7,4.0,3.0,432.4,4.0,2.0,191.4,3.0,2.0,522.6,3.0,2.0,396.2,3.0,2.0,224.7
4.0,5.0,66.3,4.0,5.0,448.3,4.0,5.0,104.2,3.0,5.0,352.0,3.0,4.0,513.1,3.0,4.0,378.6
4.0,6.0,47.1,4.0,6.0,306.4,4.0,6.0,96.0,3.0,6.0,228.3,3.0,6.0,140.8,3.0,5.0,193.1
5.0,2.0,53.8,5.0,1.0,179.7,5.0,1.0,69.3,5.0,1.0,230.2,4.0,1.0,334.0,4.0,1.0,364.0
5.0,3.0,46.8,5.0,3.0,417.5,5.0,2.0,120.4,5.0,2.0,346.2,4.0,2.0,626.3,4.0,2.0,507.0
5.0,4.0,93.0,5.0,4.0,546.0,5.0,4.0,101.8,5.0,3.0,353.4,4.0,3.0,560.4,4.0,3.0,481.2
5.0,6.0,41.1,5.0,6.0,242.0,5.0,6.0,55.4,5.0,6.0,182.4,4.0,6.0,282.0,4.0,5.0,473.2
6.0,2.0,31.5,6.0,1.0,137.1,6.0,1.0,63.4,6.0,1.0,176.7,6.0,1.0,144.8,5.0,1.0,188.8
6.0,3.0,25.0,6.0,3.0,200.4,6.0,2.0,120.1,6.0,2.0,278.3,6.0,2.0,280.2,5.0,2.0,260.5
6.0,4.0,70.5,6.0,4.0,327.6,6.0,4.0,141.0,6.0,3.0,256.5,6.0,3.0,204.2,5.0,3.0,193.6
6.0,5.0,44.7,6.0,5.0,246.9,6.0,5.0,74.1,6.0,5.0,247.6,6.0,4.0,468.0,5.0,4.0,522.6
