1,前田 聖文,前田 聖文.1,2,赤羽 克也,赤羽 克也.1,3,梶野 学志,梶野 学志.1,4,眞田 英二,眞田 英二.1,5,山戸 信二,山戸 信二.1,6,北中 元樹,北中 元樹.1
2.0,3.0,3.6,1.0,3.0,23.2,1.0,2.0,35.3,1.0,2.0,246.4,1.0,2.0,628.3,1.0,2.0,578.9
2.0,4.0,11.5,1.0,4.0,52.5,1.0,4.0,51.9,1.0,3.0,277.8,1.0,3.0,533.1,1.0,3.0,609.7
2.0,5.0,26.5,1.0,5.0,122.5,1.0,5.0,102.0,1.0,5.0,498.8,1.0,4.0,989.6,1.0,4.0,1094.0
2.0,6.0,23.1,1.0,6.0,101.7,1.0,6.0,86.2,1.0,6.0,408.1,1.0,6.0,996.0,1.0,5.0,1389.0
3.0,2.0,4.8,3.0,1.0,51.8,2.0,1.0,66.3,2.0,1.0,320.9,2.0,1.0,892.6,2.0,1.0,744.6
3.0,4.0,10.6,3.0,4.0,94.4,2.0,4.0,123.3,2.0,3.0,356.8,2.0,3.0,911.0,2.0,3.0,778.2
3.0,5.0,22.2,3.0,5.0,172.7,2.0,5.0,201.5,2.0,5.0,879.9,2.0,4.0,1548.0,2.0,4.0,1290.0
3.0,6.0,20.6,3.0,6.0,149.2,2.0,6.0,169.5,2.0,6.0,633.4,2.0,6.0,1118.0,2.0,5.0,1489.0
4.0,2.0,38.0,4.0,1.0,164.8,4.0,1.0,162.6,3.0,1.0,372.7,3.0,1.0,865.2,3.0,1.0,790.1
4.0,3.0,35.0,4.0,3.0,181.7,4.0,2.0,188.8,3.0,2.0,439.3,3.0,2.0,1106.0,3.0,2.0,983.3
4.0,5.0,120.1,4.0,5.0,458.2,4.0,5.0,338.1,3.0,5.0,947.2,3.0,4.0,1604.0,3.0,4.0,1249.0
4.0,6.0,94.4,4.0,6.0,363.5,4.0,6.0,321.6,3.0,6.0,697.6,3.0,6.0,1306.0,3.0,5.0,1454.0
5.0,2.0,107.8,5.0,1.0,425.4,5.0,1.0,367.0,5.0,1.0,723.7,4.0,1.0,1155.0,4.0,1.0,1352.0
5.0,3.0,101.4,5.0,3.0,454.1,5.0,2.0,466.5,5.0,2.0,1138.0,4.0,2.0,1564.0,4.0,2.0,1518.0
5.0,4.0,214.3,5.0,4.0,742.8,5.0,4.0,629.5,5.0,3.0,1155.0,4.0,3.0,1759.0,4.0,3.0,1541.0
5.0,6.0,213.3,5.0,6.0,692.9,5.0,6.0,588.8,5.0,6.0,850.9,4.0,6.0,1352.0,4.0,5.0,1525.0
6.0,2.0,105.2,6.0,1.0,368.7,6.0,1.0,301.9,6.0,1.0,739.2,6.0,1.0,1468.0,5.0,1.0,1621.0
6.0,3.0,94.5,6.0,3.0,383.3,6.0,2.0,359.7,6.0,2.0,802.4,6.0,2.0,1312.0,5.0,2.0,1701.0
6.0,4.0,204.7,6.0,4.0,578.9,6.0,4.0,527.6,6.0,3.0,877.4,6.0,3.0,1382.0,5.0,3.0,1674.0
6.0,5.0,276.0,6.0,5.0,753.6,6.0,5.0,628.3,6.0,5.0,1032.0,6.0,4.0,1580.0,5.0,4.0,1888.0
