1,岩崎 正哉,岩崎 正哉.1,2,岡崎 恭裕,岡崎 恭裕.1,3,小川 晃司,小川 晃司.1,4,竹下 大樹,竹下 大樹.1,5,青木　幸太郎,青木　幸太郎.1,6,田中 孝明,田中 孝明.1
2.0,3.0,14.1,1.0,3.0,34.8,1.0,2.0,264.0,1.0,2.0,41.1,1.0,2.0,115.5,1.0,2.0,840.5
2.0,4.0,4.4,1.0,4.0,12.5,1.0,4.0,322.9,1.0,3.0,71.5,1.0,3.0,147.2,1.0,3.0,1143.0
2.0,5.0,8.1,1.0,5.0,20.6,1.0,5.0,490.1,1.0,5.0,76.5,1.0,4.0,164.9,1.0,4.0,1354.0
2.0,6.0,31.6,1.0,6.0,67.4,1.0,6.0,842.2,1.0,6.0,213.4,1.0,6.0,224.8,1.0,5.0,1134.0
3.0,2.0,43.7,3.0,1.0,193.5,2.0,1.0,359.3,2.0,1.0,70.5,2.0,1.0,152.2,2.0,1.0,1128.0
3.0,4.0,48.8,3.0,4.0,325.4,2.0,4.0,605.7,2.0,3.0,174.6,2.0,3.0,194.6,2.0,3.0,1308.0
3.0,5.0,92.6,3.0,5.0,389.7,2.0,5.0,739.5,2.0,5.0,154.6,2.0,4.0,259.5,2.0,4.0,1729.0
3.0,6.0,196.8,3.0,6.0,637.1,2.0,6.0,1249.0,2.0,6.0,322.4,2.0,6.0,275.0,2.0,5.0,1386.0
4.0,2.0,9.3,4.0,1.0,41.3,4.0,1.0,606.6,3.0,1.0,289.4,3.0,1.0,313.3,3.0,1.0,1736.0
4.0,3.0,21.4,4.0,3.0,127.4,4.0,2.0,830.5,3.0,2.0,459.4,3.0,2.0,329.0,3.0,2.0,2022.0
4.0,5.0,20.0,4.0,5.0,83.3,4.0,5.0,1295.0,3.0,5.0,621.9,3.0,4.0,543.6,3.0,4.0,2351.0
4.0,6.0,57.6,4.0,6.0,212.0,4.0,6.0,1983.0,3.0,6.0,1049.0,3.0,6.0,407.9,3.0,5.0,1635.0
5.0,2.0,27.7,5.0,1.0,90.4,5.0,1.0,804.9,5.0,1.0,173.1,4.0,1.0,302.4,4.0,1.0,2214.0
5.0,3.0,65.9,5.0,3.0,201.8,5.0,2.0,1065.0,5.0,2.0,223.2,4.0,2.0,370.4,4.0,2.0,2312.0
5.0,4.0,40.0,5.0,4.0,150.8,5.0,4.0,1438.0,5.0,3.0,348.5,4.0,3.0,413.2,4.0,3.0,2391.0
5.0,6.0,102.0,5.0,6.0,351.4,5.0,6.0,1527.0,5.0,6.0,424.5,4.0,6.0,561.8,4.0,5.0,2325.0
6.0,2.0,144.0,6.0,1.0,437.8,6.0,1.0,1928.0,6.0,1.0,870.2,6.0,1.0,309.8,5.0,1.0,1110.0
6.0,3.0,206.7,6.0,3.0,590.3,6.0,2.0,1827.0,6.0,2.0,909.9,6.0,2.0,306.2,5.0,2.0,1116.0
6.0,4.0,227.6,6.0,4.0,657.1,6.0,4.0,2405.0,6.0,3.0,1051.0,6.0,3.0,251.8,5.0,3.0,1092.0
6.0,5.0,210.9,6.0,5.0,649.9,6.0,5.0,1911.0,6.0,5.0,857.7,6.0,4.0,552.2,5.0,4.0,1654.0
