1,末永 和也,末永 和也.1,2,山本 浩輔,山本 浩輔.1,3,鈴木 雅希,鈴木 雅希.1,4,大串 重幸,大串 重幸.1,5,八木 治樹,八木 治樹.1,6,嶋 義信,嶋 義信.1
2.0,3.0,13.1,1.0,3.0,281.1,1.0,2.0,134.5,1.0,2.0,198.3,1.0,2.0,649.4,1.0,2.0,1034.0
2.0,4.0,16.3,1.0,4.0,364.6,1.0,4.0,48.0,1.0,3.0,100.8,1.0,3.0,368.7,1.0,3.0,858.1
2.0,5.0,32.0,1.0,5.0,583.0,1.0,5.0,71.7,1.0,5.0,154.8,1.0,4.0,485.0,1.0,4.0,841.2
2.0,6.0,48.5,1.0,6.0,702.8,1.0,6.0,130.8,1.0,6.0,199.8,1.0,6.0,683.7,1.0,5.0,1242.0
3.0,2.0,8.9,3.0,1.0,499.2,2.0,1.0,432.0,2.0,1.0,470.6,2.0,1.0,1468.0,2.0,1.0,2484.0
3.0,4.0,4.2,3.0,4.0,962.4,2.0,4.0,672.9,2.0,3.0,788.4,2.0,3.0,2513.0,2.0,3.0,4189.0
3.0,5.0,9.0,3.0,5.0,1419.0,2.0,5.0,861.5,2.0,5.0,1104.0,2.0,4.0,2361.0,2.0,4.0,3956.0
3.0,6.0,14.7,3.0,6.0,2225.0,2.0,6.0,1382.0,2.0,6.0,1180.0,2.0,6.0,2868.0,2.0,5.0,3815.0
4.0,2.0,16.8,4.0,1.0,749.7,4.0,1.0,135.8,3.0,1.0,184.2,3.0,1.0,585.4,3.0,1.0,1360.0
4.0,3.0,7.9,4.0,3.0,1187.0,4.0,2.0,505.7,3.0,2.0,743.2,3.0,2.0,2237.0,3.0,2.0,3312.0
4.0,5.0,18.3,4.0,5.0,1788.0,4.0,5.0,330.2,3.0,5.0,505.7,3.0,4.0,1136.0,3.0,4.0,2094.0
4.0,6.0,26.8,4.0,6.0,1730.0,4.0,6.0,451.7,3.0,6.0,544.3,3.0,6.0,1882.0,3.0,5.0,3531.0
5.0,2.0,43.0,5.0,1.0,1343.0,5.0,1.0,285.4,5.0,1.0,301.5,4.0,1.0,824.9,4.0,1.0,1415.0
5.0,3.0,21.8,5.0,3.0,2225.0,5.0,2.0,922.9,5.0,2.0,852.9,4.0,2.0,2044.0,4.0,2.0,4031.0
5.0,4.0,34.2,5.0,4.0,2637.0,5.0,4.0,564.5,5.0,3.0,552.8,4.0,3.0,1314.0,4.0,3.0,2428.0
5.0,6.0,61.4,5.0,6.0,2687.0,5.0,6.0,882.9,5.0,6.0,492.8,4.0,6.0,1356.0,4.0,5.0,2988.0
6.0,2.0,133.0,6.0,1.0,1553.0,6.0,1.0,548.5,6.0,1.0,510.5,6.0,1.0,1242.0,5.0,1.0,2202.0
6.0,3.0,71.0,6.0,3.0,3165.0,6.0,2.0,1689.0,6.0,2.0,1391.0,6.0,2.0,3591.0,5.0,2.0,4360.0
6.0,4.0,81.5,6.0,4.0,3096.0,6.0,4.0,947.5,6.0,3.0,975.6,6.0,3.0,2605.0,5.0,3.0,3165.0
6.0,5.0,127.9,6.0,5.0,3502.0,6.0,5.0,1473.0,6.0,5.0,872.1,6.0,4.0,1874.0,5.0,4.0,2830.0
