1,森永 隆,森永 隆.1,2,山ノ内　雅人,山ノ内　雅人.1,3,栗山 繁洋,栗山 繁洋.1,4,四宮 与寛,四宮 与寛.1,5,山下 流心,山下 流心.1,6,佐野 優都,佐野 優都.1
2.0,3.0,8.3,1.0,3.0,38.3,1.0,2.0,173.1,1.0,2.0,21.6,1.0,2.0,223.5,1.0,2.0,2068.0
2.0,4.0,3.7,1.0,4.0,18.2,1.0,4.0,138.1,1.0,3.0,65.6,1.0,3.0,456.0,1.0,3.0,3870.0
2.0,5.0,17.8,1.0,5.0,55.1,1.0,5.0,304.4,1.0,5.0,39.6,1.0,4.0,244.5,1.0,4.0,3344.0
2.0,6.0,87.1,1.0,6.0,261.0,1.0,6.0,756.7,1.0,6.0,196.8,1.0,6.0,828.5,1.0,5.0,3870.0
3.0,2.0,19.3,3.0,1.0,164.2,2.0,1.0,241.6,2.0,1.0,34.8,2.0,1.0,315.0,2.0,1.0,2882.0
3.0,4.0,19.6,3.0,4.0,187.3,2.0,4.0,292.2,2.0,3.0,115.5,2.0,3.0,816.0,2.0,3.0,5764.0
3.0,5.0,52.8,3.0,5.0,335.7,2.0,5.0,607.4,2.0,5.0,78.3,2.0,4.0,417.4,2.0,4.0,4925.0
3.0,6.0,260.4,3.0,6.0,1375.0,2.0,6.0,1703.0,2.0,6.0,329.9,2.0,6.0,1539.0,2.0,5.0,5312.0
4.0,2.0,7.2,4.0,1.0,42.1,4.0,1.0,208.7,3.0,1.0,165.7,3.0,1.0,1026.0,3.0,1.0,4925.0
4.0,3.0,17.1,4.0,3.0,128.7,4.0,2.0,272.2,3.0,2.0,227.4,3.0,2.0,1341.0,3.0,2.0,6157.0
4.0,5.0,23.9,4.0,5.0,131.5,4.0,5.0,511.1,3.0,5.0,378.3,3.0,4.0,1693.0,3.0,4.0,8466.0
4.0,6.0,112.0,4.0,6.0,730.2,4.0,6.0,1361.0,3.0,6.0,930.9,3.0,6.0,3078.0,3.0,5.0,4925.0
5.0,2.0,53.5,5.0,1.0,202.6,5.0,1.0,678.9,5.0,1.0,61.9,4.0,1.0,269.0,4.0,1.0,3762.0
5.0,3.0,107.1,5.0,3.0,381.0,5.0,2.0,774.0,5.0,2.0,72.6,4.0,2.0,357.4,4.0,2.0,3612.0
5.0,4.0,63.8,5.0,4.0,273.3,5.0,4.0,999.7,5.0,3.0,214.5,4.0,3.0,820.9,4.0,3.0,6607.0
5.0,6.0,355.5,5.0,6.0,1209.0,5.0,6.0,1736.0,5.0,6.0,249.6,4.0,6.0,930.9,4.0,5.0,3870.0
6.0,2.0,414.8,6.0,1.0,1152.0,6.0,1.0,2150.0,6.0,1.0,641.9,6.0,1.0,2100.0,5.0,1.0,3815.0
6.0,3.0,682.4,6.0,3.0,2397.0,6.0,2.0,2822.0,6.0,2.0,813.5,6.0,2.0,2462.0,5.0,2.0,5017.0
6.0,4.0,500.7,6.0,4.0,2006.0,6.0,4.0,3225.0,6.0,3.0,1566.0,6.0,3.0,2764.0,5.0,3.0,4515.0
6.0,5.0,712.9,6.0,5.0,2397.0,6.0,5.0,2682.0,6.0,5.0,794.4,6.0,4.0,2736.0,5.0,4.0,5764.0
