1,森 照夫,森 照夫.1,2,深山 祐二,深山 祐二.1,3,永嶋 裕一,永嶋 裕一.1,4,國弘 翔平,國弘 翔平.1,5,杉山 喜一,杉山 喜一.1,6,小澤 学,小澤 学.1
2.0,3.0,9.8,1.0,3.0,43.7,1.0,2.0,46.1,1.0,2.0,96.0,1.0,2.0,269.4,1.0,2.0,650.9
2.0,4.0,20.3,1.0,4.0,50.0,1.0,4.0,25.6,1.0,3.0,53.8,1.0,3.0,207.6,1.0,3.0,524.2
2.0,5.0,27.4,1.0,5.0,80.4,1.0,5.0,46.7,1.0,5.0,83.9,1.0,4.0,241.8,1.0,4.0,606.1
2.0,6.0,67.9,1.0,6.0,142.2,1.0,6.0,79.4,1.0,6.0,125.3,1.0,6.0,391.0,1.0,5.0,923.6
3.0,2.0,10.7,3.0,1.0,82.1,2.0,1.0,94.7,2.0,1.0,151.3,2.0,1.0,370.1,2.0,1.0,941.6
3.0,4.0,8.8,3.0,4.0,137.5,2.0,4.0,132.6,2.0,3.0,217.4,2.0,3.0,405.7,2.0,3.0,1089.0
3.0,5.0,13.0,3.0,5.0,169.8,2.0,5.0,156.4,2.0,5.0,227.1,2.0,4.0,464.0,2.0,4.0,707.9
3.0,6.0,33.6,3.0,6.0,264.2,2.0,6.0,251.9,2.0,6.0,255.8,2.0,6.0,580.7,2.0,5.0,1492.0
4.0,2.0,26.6,4.0,1.0,107.2,4.0,1.0,44.5,3.0,1.0,72.0,3.0,1.0,276.3,3.0,1.0,843.3
4.0,3.0,15.1,4.0,3.0,192.4,4.0,2.0,116.0,3.0,2.0,161.9,3.0,2.0,392.6,3.0,2.0,1347.0
4.0,5.0,26.4,4.0,5.0,257.9,4.0,5.0,85.9,3.0,5.0,131.0,3.0,4.0,333.2,3.0,4.0,557.3
4.0,6.0,71.9,4.0,6.0,293.8,4.0,6.0,121.6,3.0,6.0,164.3,3.0,6.0,521.4,3.0,5.0,1469.0
5.0,2.0,51.1,5.0,1.0,235.4,5.0,1.0,115.0,5.0,1.0,115.1,4.0,1.0,262.1,4.0,1.0,734.7
5.0,3.0,38.0,5.0,3.0,277.1,5.0,2.0,185.4,5.0,2.0,178.2,4.0,2.0,402.4,4.0,2.0,668.8
5.0,4.0,52.1,5.0,4.0,345.1,5.0,4.0,148.5,5.0,3.0,156.6,4.0,3.0,331.0,4.0,3.0,598.6
5.0,6.0,119.1,5.0,6.0,527.0,5.0,6.0,281.1,5.0,6.0,170.4,4.0,6.0,381.8,4.0,5.0,999.8
6.0,2.0,205.9,6.0,1.0,384.8,6.0,1.0,262.1,6.0,1.0,240.6,6.0,1.0,664.2,5.0,1.0,1168.0
6.0,3.0,130.3,6.0,3.0,521.4,6.0,2.0,480.1,6.0,2.0,255.8,6.0,2.0,642.2,5.0,2.0,1212.0
6.0,4.0,157.7,6.0,4.0,427.2,6.0,4.0,278.6,6.0,3.0,282.7,6.0,3.0,707.9,5.0,3.0,1212.0
6.0,5.0,134.3,6.0,5.0,751.8,6.0,5.0,554.2,6.0,5.0,300.2,6.0,4.0,609.9,5.0,4.0,1054.0
