1,鈴木 智啓,鈴木 智啓.1,2,越智 照浩,越智 照浩.1,3,石田 豪,石田 豪.1,4,井川 大作,井川 大作.1,5,松尾 宣邦,松尾 宣邦.1,6,上岡 巧汰,上岡 巧汰.1
2.0,3.0,16.7,1.0,3.0,172.8,1.0,2.0,124.2,1.0,2.0,63.2,1.0,2.0,153.0,1.0,2.0,992.3
2.0,4.0,15.9,1.0,4.0,150.4,1.0,4.0,44.1,1.0,3.0,46.7,1.0,3.0,139.6,1.0,3.0,1082.0
2.0,5.0,27.3,1.0,5.0,164.6,1.0,5.0,62.0,1.0,5.0,38.1,1.0,4.0,78.8,1.0,4.0,984.4
2.0,6.0,179.7,1.0,6.0,662.1,1.0,6.0,370.5,1.0,6.0,179.2,1.0,6.0,517.6,1.0,5.0,1517.0
3.0,2.0,12.6,3.0,1.0,386.3,2.0,1.0,360.4,2.0,1.0,241.9,2.0,1.0,471.5,2.0,1.0,2164.0
3.0,4.0,5.4,3.0,4.0,549.1,2.0,4.0,464.4,2.0,3.0,468.5,2.0,3.0,1057.0,2.0,3.0,2701.0
3.0,5.0,10.1,3.0,5.0,707.7,2.0,5.0,588.4,2.0,5.0,312.0,2.0,4.0,620.0,2.0,4.0,3427.0
3.0,6.0,94.6,3.0,6.0,1429.0,2.0,6.0,1745.0,2.0,6.0,932.3,2.0,6.0,1823.0,2.0,5.0,3218.0
4.0,2.0,12.7,4.0,1.0,338.0,4.0,1.0,92.4,3.0,1.0,116.6,3.0,1.0,311.8,3.0,1.0,2552.0
4.0,3.0,8.4,4.0,3.0,653.9,4.0,2.0,271.1,3.0,2.0,338.9,3.0,2.0,909.4,3.0,2.0,3628.0
4.0,5.0,9.6,4.0,5.0,740.2,4.0,5.0,143.0,3.0,5.0,189.7,3.0,4.0,432.4,3.0,4.0,2606.0
4.0,6.0,68.3,4.0,6.0,1498.0,4.0,6.0,615.8,3.0,6.0,604.8,3.0,6.0,1365.0,3.0,5.0,3163.0
5.0,2.0,30.8,5.0,1.0,395.8,5.0,1.0,185.8,5.0,1.0,64.3,4.0,1.0,116.8,4.0,1.0,1492.0
5.0,3.0,27.9,5.0,3.0,858.8,5.0,2.0,445.4,5.0,2.0,156.8,4.0,2.0,273.5,4.0,2.0,2484.0
5.0,4.0,18.1,5.0,4.0,984.4,5.0,4.0,225.8,5.0,3.0,153.1,4.0,3.0,300.6,4.0,3.0,2535.0
5.0,6.0,168.6,5.0,6.0,2451.0,5.0,6.0,818.9,5.0,6.0,262.7,4.0,6.0,499.5,4.0,5.0,1888.0
6.0,2.0,367.5,6.0,1.0,2190.0,6.0,1.0,1771.0,6.0,1.0,614.8,6.0,1.0,1486.0,5.0,1.0,3246.0
6.0,3.0,374.2,6.0,3.0,3304.0,6.0,2.0,2847.0,6.0,2.0,1182.0,6.0,2.0,2257.0,5.0,2.0,3395.0
6.0,4.0,297.3,6.0,4.0,3034.0,6.0,4.0,2243.0,6.0,3.0,1076.0,6.0,3.0,1779.0,5.0,3.0,2721.0
6.0,5.0,460.9,6.0,5.0,3163.0,6.0,5.0,1713.0,6.0,5.0,750.8,6.0,4.0,1407.0,5.0,4.0,2011.0
