1,渡邊　伸太郎,渡邊　伸太郎.1,2,宮本 裕之,宮本 裕之.1,3,中村 将隆,中村 将隆.1,4,木下 陽介,木下 陽介.1,5,堀之内紀代子,堀之内紀代子.1,6,東 健介,東 健介.1
2.0,3.0,19.2,1.0,3.0,72.2,1.0,2.0,59.4,1.0,2.0,85.3,1.0,2.0,73.4,1.0,2.0,549.9
2.0,4.0,34.2,1.0,4.0,113.5,1.0,4.0,34.6,1.0,3.0,44.5,1.0,3.0,53.9,1.0,3.0,507.1
2.0,5.0,39.8,1.0,5.0,139.2,1.0,5.0,39.6,1.0,5.0,40.7,1.0,4.0,63.3,1.0,4.0,636.6
2.0,6.0,95.0,1.0,6.0,261.4,1.0,6.0,92.7,1.0,6.0,104.5,1.0,6.0,72.0,1.0,5.0,464.8
3.0,2.0,18.7,3.0,1.0,143.0,2.0,1.0,132.9,2.0,1.0,173.2,2.0,1.0,153.3,2.0,1.0,992.7
3.0,4.0,10.3,3.0,4.0,336.6,2.0,4.0,197.2,2.0,3.0,229.7,2.0,3.0,237.1,2.0,3.0,1259.0
3.0,5.0,11.7,3.0,5.0,390.4,2.0,5.0,240.0,2.0,5.0,214.1,2.0,4.0,220.2,2.0,4.0,1233.0
3.0,6.0,45.2,3.0,6.0,636.6,2.0,6.0,335.6,2.0,6.0,284.3,2.0,6.0,226.1,2.0,5.0,901.1
4.0,2.0,32.2,4.0,1.0,219.3,4.0,1.0,54.7,3.0,1.0,64.4,3.0,1.0,86.0,3.0,1.0,775.8
4.0,3.0,16.4,4.0,3.0,359.3,4.0,2.0,141.3,3.0,2.0,169.5,3.0,2.0,209.5,3.0,2.0,1233.0
4.0,5.0,21.7,4.0,5.0,440.4,4.0,5.0,60.1,3.0,5.0,71.5,3.0,4.0,121.3,3.0,4.0,1055.0
4.0,6.0,82.0,4.0,6.0,786.2,4.0,6.0,143.9,3.0,6.0,178.3,3.0,6.0,192.9,3.0,5.0,842.7
5.0,2.0,53.0,5.0,1.0,299.6,5.0,1.0,61.3,5.0,1.0,44.4,4.0,1.0,82.4,4.0,1.0,915.2
5.0,3.0,23.3,5.0,3.0,459.4,5.0,2.0,183.3,5.0,2.0,98.1,4.0,2.0,162.9,4.0,2.0,1207.0
5.0,4.0,31.1,5.0,4.0,494.2,5.0,4.0,69.9,5.0,3.0,63.7,4.0,3.0,112.2,4.0,3.0,1183.0
5.0,6.0,71.8,5.0,6.0,952.4,5.0,6.0,154.7,5.0,6.0,77.9,4.0,6.0,129.7,4.0,5.0,770.7
6.0,2.0,201.9,6.0,1.0,848.9,6.0,1.0,361.5,6.0,1.0,179.9,6.0,1.0,110.4,5.0,1.0,509.3
6.0,3.0,156.6,6.0,3.0,1183.0,6.0,2.0,525.3,6.0,2.0,270.5,6.0,2.0,150.7,5.0,2.0,861.3
6.0,4.0,190.4,6.0,4.0,1148.0,6.0,4.0,440.4,6.0,3.0,277.6,6.0,3.0,182.7,5.0,3.0,697.3
6.0,5.0,165.4,6.0,5.0,1287.0,6.0,5.0,368.3,6.0,5.0,182.7,6.0,4.0,179.9,5.0,4.0,681.0
