1,中岡 正彦,中岡 正彦.1,2,川崎 智幸,川崎 智幸.1,3,岡部 大輔,岡部 大輔.1,4,石川 吉鎬,石川 吉鎬.1,5,村田 修次,村田 修次.1,6,池田 雷太,池田 雷太.1
2.0,3.0,7.1,1.0,3.0,85.0,1.0,2.0,189.6,1.0,2.0,101.8,1.0,2.0,159.6,1.0,2.0,1283.0
2.0,4.0,5.5,1.0,4.0,60.7,1.0,4.0,183.7,1.0,3.0,254.1,1.0,3.0,254.3,1.0,3.0,2151.0
2.0,5.0,6.6,1.0,5.0,61.5,1.0,5.0,152.8,1.0,5.0,101.0,1.0,4.0,174.3,1.0,4.0,1836.0
2.0,6.0,59.8,1.0,6.0,234.7,1.0,6.0,526.4,1.0,6.0,284.3,1.0,6.0,389.2,1.0,5.0,1485.0
3.0,2.0,11.1,3.0,1.0,365.1,2.0,1.0,480.6,2.0,1.0,226.8,2.0,1.0,324.9,2.0,1.0,1901.0
3.0,4.0,14.9,3.0,4.0,853.4,2.0,4.0,831.7,2.0,3.0,746.4,2.0,3.0,1070.0,2.0,3.0,4605.0
3.0,5.0,15.0,3.0,5.0,817.6,2.0,5.0,699.1,2.0,5.0,366.6,2.0,4.0,613.5,2.0,4.0,3432.0
3.0,6.0,85.0,3.0,6.0,1804.0,2.0,6.0,1962.0,2.0,6.0,857.4,2.0,6.0,1209.0,2.0,5.0,3917.0
4.0,2.0,10.2,4.0,1.0,229.4,4.0,1.0,527.3,3.0,1.0,670.5,3.0,1.0,689.6,3.0,1.0,3420.0
4.0,3.0,22.2,4.0,3.0,822.7,4.0,2.0,1021.0,3.0,2.0,1215.0,3.0,2.0,1505.0,3.0,2.0,4652.0
4.0,5.0,14.0,4.0,5.0,439.1,4.0,5.0,730.3,3.0,5.0,990.9,3.0,4.0,1766.0,3.0,4.0,4204.0
4.0,6.0,65.9,4.0,6.0,1287.0,4.0,6.0,1651.0,3.0,6.0,1822.0,3.0,6.0,2192.0,3.0,5.0,4110.0
5.0,2.0,15.2,5.0,1.0,238.1,5.0,1.0,461.7,5.0,1.0,150.4,4.0,1.0,247.2,4.0,1.0,2626.0
5.0,3.0,27.8,5.0,3.0,898.6,5.0,2.0,946.8,5.0,2.0,293.1,4.0,2.0,532.8,4.0,2.0,3725.0
5.0,4.0,26.8,5.0,4.0,529.8,5.0,4.0,925.8,5.0,3.0,645.0,4.0,3.0,1115.0,4.0,3.0,4166.0
5.0,6.0,70.0,5.0,6.0,1102.0,5.0,6.0,1548.0,5.0,6.0,341.5,4.0,6.0,626.9,4.0,5.0,1336.0
6.0,2.0,205.0,6.0,1.0,1046.0,6.0,1.0,1866.0,6.0,1.0,950.8,6.0,1.0,1016.0,5.0,1.0,1654.0
6.0,3.0,302.6,6.0,3.0,2680.0,6.0,2.0,3420.0,6.0,2.0,1527.0,6.0,2.0,1657.0,5.0,2.0,2891.0
6.0,4.0,263.6,6.0,4.0,2344.0,6.0,4.0,3273.0,6.0,3.0,2338.0,6.0,3.0,2338.0,5.0,3.0,3552.0
6.0,5.0,207.6,6.0,5.0,1840.0,6.0,5.0,2900.0,6.0,5.0,790.1,6.0,4.0,1007.0,5.0,4.0,1127.0
