1,井上 恵一,井上 恵一.1,2,木山 誠一,木山 誠一.1,3,林 恵祐,林 恵祐.1,4,丸山 祐也,丸山 祐也.1,5,西川 真人,西川 真人.1,6,新井 英孝,新井 英孝.1
2.0,3.0,11.6,1.0,3.0,48.5,1.0,2.0,85.5,1.0,2.0,99.5,1.0,2.0,113.2,1.0,2.0,153.2
2.0,4.0,15.5,1.0,4.0,57.4,1.0,4.0,102.0,1.0,3.0,151.5,1.0,3.0,174.9,1.0,3.0,204.7
2.0,5.0,18.6,1.0,5.0,60.9,1.0,5.0,89.8,1.0,5.0,69.1,1.0,4.0,151.2,1.0,4.0,177.2
2.0,6.0,17.3,1.0,6.0,81.0,1.0,6.0,137.7,1.0,6.0,84.0,1.0,6.0,115.6,1.0,5.0,198.2
3.0,2.0,14.1,3.0,1.0,70.2,2.0,1.0,111.9,2.0,1.0,174.3,2.0,1.0,205.2,2.0,1.0,240.4
3.0,4.0,20.5,3.0,4.0,155.0,2.0,4.0,216.0,2.0,3.0,312.6,2.0,3.0,512.4,2.0,3.0,571.8
3.0,5.0,17.6,3.0,5.0,166.2,2.0,5.0,228.7,2.0,5.0,247.4,2.0,4.0,473.6,2.0,4.0,561.5
3.0,6.0,25.9,3.0,6.0,182.8,2.0,6.0,220.6,2.0,6.0,192.1,2.0,6.0,278.2,2.0,5.0,512.4
4.0,2.0,23.3,4.0,1.0,134.3,4.0,1.0,155.5,3.0,1.0,254.1,3.0,1.0,275.0,3.0,1.0,440.3
4.0,3.0,27.9,4.0,3.0,203.0,4.0,2.0,238.6,3.0,2.0,438.2,3.0,2.0,589.8,3.0,2.0,808.5
4.0,5.0,27.7,4.0,5.0,264.9,4.0,5.0,253.4,3.0,5.0,394.0,3.0,4.0,561.5,3.0,4.0,660.4
4.0,6.0,29.4,4.0,6.0,240.4,4.0,6.0,290.3,3.0,6.0,370.6,3.0,6.0,518.1,3.0,5.0,669.9
5.0,2.0,35.0,5.0,1.0,129.5,5.0,1.0,172.4,5.0,1.0,91.7,4.0,1.0,172.0,4.0,1.0,255.5
5.0,3.0,47.6,5.0,3.0,237.4,5.0,2.0,315.7,5.0,2.0,180.3,4.0,2.0,292.1,4.0,2.0,422.4
5.0,4.0,45.5,5.0,4.0,307.4,5.0,4.0,359.3,5.0,3.0,256.9,4.0,3.0,363.5,4.0,3.0,669.9
5.0,6.0,49.2,5.0,6.0,197.0,5.0,6.0,315.7,5.0,6.0,93.0,4.0,6.0,197.4,4.0,5.0,303.5
6.0,2.0,30.9,6.0,1.0,216.0,6.0,1.0,375.1,6.0,1.0,115.0,6.0,1.0,221.1,5.0,1.0,313.6
6.0,3.0,43.5,6.0,3.0,478.5,6.0,2.0,542.1,6.0,2.0,189.0,6.0,2.0,323.4,5.0,2.0,545.2
6.0,4.0,43.0,6.0,4.0,406.0,6.0,4.0,473.6,6.0,3.0,307.4,6.0,3.0,539.0,5.0,3.0,750.2
6.0,5.0,64.9,6.0,5.0,311.5,6.0,5.0,548.4,6.0,5.0,134.1,6.0,4.0,310.5,5.0,4.0,397.4
