1,栗原 一馬,栗原 一馬.1,2,板橋 侑我,板橋 侑我.1,3,渡辺 空依,渡辺 空依.1,4,中野 仁照,中野 仁照.1,5,安河内鈴之介,安河内鈴之介.1,6,田中 駿兵,田中 駿兵.1
2.0,3.0,17.5,1.0,3.0,16.1,1.0,2.0,119.6,1.0,2.0,36.1,1.0,2.0,298.3,1.0,2.0,1898.0
2.0,4.0,10.7,1.0,4.0,8.3,1.0,4.0,168.3,1.0,3.0,119.2,1.0,3.0,566.7,1.0,3.0,1531.0
2.0,5.0,43.5,1.0,5.0,26.5,1.0,5.0,340.0,1.0,5.0,85.5,1.0,4.0,357.5,1.0,4.0,1847.0
2.0,6.0,87.0,1.0,6.0,50.9,1.0,6.0,613.1,1.0,6.0,138.1,1.0,6.0,588.3,1.0,5.0,2886.0
3.0,2.0,42.0,3.0,1.0,39.7,2.0,1.0,126.4,2.0,1.0,28.3,2.0,1.0,280.7,2.0,1.0,1669.0
3.0,4.0,50.1,3.0,4.0,27.0,2.0,4.0,84.5,2.0,3.0,48.9,2.0,3.0,345.5,2.0,3.0,1338.0
3.0,5.0,109.1,3.0,5.0,67.7,2.0,5.0,216.8,2.0,5.0,32.0,2.0,4.0,156.1,2.0,4.0,879.7
3.0,6.0,190.2,3.0,6.0,108.3,2.0,6.0,380.6,2.0,6.0,53.0,2.0,6.0,314.5,2.0,5.0,1210.0
4.0,2.0,22.0,4.0,1.0,12.1,4.0,1.0,218.0,3.0,1.0,204.0,3.0,1.0,1117.0,3.0,1.0,3012.0
4.0,3.0,44.3,4.0,3.0,18.0,4.0,2.0,119.3,3.0,2.0,111.0,3.0,2.0,701.5,3.0,2.0,2496.0
4.0,5.0,78.3,4.0,5.0,22.8,4.0,5.0,306.8,3.0,5.0,286.5,3.0,4.0,874.2,3.0,4.0,2827.0
4.0,6.0,135.9,4.0,6.0,40.7,4.0,6.0,480.2,3.0,6.0,385.4,3.0,6.0,1898.0,3.0,5.0,3507.0
5.0,2.0,143.6,5.0,1.0,89.7,5.0,1.0,655.1,5.0,1.0,93.4,4.0,1.0,267.2,4.0,1.0,1721.0
5.0,3.0,213.6,5.0,3.0,116.4,5.0,2.0,493.9,5.0,2.0,54.4,4.0,2.0,156.3,4.0,2.0,996.8
5.0,4.0,203.3,5.0,4.0,56.9,5.0,4.0,513.1,5.0,3.0,201.3,4.0,3.0,502.0,4.0,3.0,1835.0
5.0,6.0,402.2,5.0,6.0,143.5,5.0,6.0,1034.0,5.0,6.0,99.6,4.0,6.0,221.7,4.0,5.0,1689.0
6.0,2.0,376.0,6.0,1.0,234.0,6.0,1.0,1506.0,6.0,1.0,229.4,6.0,1.0,1392.0,5.0,1.0,3338.0
6.0,3.0,524.8,6.0,3.0,274.6,6.0,2.0,1057.0,6.0,2.0,131.5,6.0,2.0,785.0,5.0,2.0,1765.0
6.0,4.0,369.0,6.0,4.0,152.9,6.0,4.0,1037.0,6.0,3.0,408.1,6.0,3.0,1649.0,5.0,3.0,2743.0
6.0,5.0,590.8,6.0,5.0,218.3,6.0,5.0,1421.0,6.0,5.0,165.3,6.0,4.0,642.9,5.0,4.0,1911.0
