1,横川 聖志,横川 聖志.1,2,中村 守成,中村 守成.1,3,福嶋 智之,福嶋 智之.1,4,池田　奈津美,池田　奈津美.1,5,増本 杏珠,増本 杏珠.1,6,中岡 健人,中岡 健人.1
2.0,3.0,16.5,1.0,3.0,57.9,1.0,2.0,39.5,1.0,2.0,36.9,1.0,2.0,1768.0,1.0,2.0,243.2
2.0,4.0,15.1,1.0,4.0,67.3,1.0,4.0,29.9,1.0,3.0,31.7,1.0,3.0,1321.0,1.0,3.0,125.8
2.0,5.0,191.3,1.0,5.0,464.0,1.0,5.0,217.0,1.0,5.0,258.1,1.0,4.0,1817.0,1.0,4.0,136.4
2.0,6.0,30.9,1.0,6.0,100.1,1.0,6.0,37.2,1.0,6.0,55.4,1.0,6.0,1953.0,1.0,5.0,948.3
3.0,2.0,14.4,3.0,1.0,72.8,2.0,1.0,67.7,2.0,1.0,72.3,2.0,1.0,2566.0,2.0,1.0,333.0
3.0,4.0,11.4,3.0,4.0,82.3,2.0,4.0,70.7,2.0,3.0,68.0,2.0,3.0,1953.0,2.0,3.0,258.1
3.0,5.0,161.1,3.0,5.0,355.6,2.0,5.0,308.6,2.0,5.0,364.5,2.0,4.0,2726.0,2.0,4.0,273.2
3.0,6.0,24.8,3.0,6.0,93.6,2.0,6.0,70.9,2.0,6.0,101.5,2.0,6.0,1817.0,2.0,5.0,984.0
4.0,2.0,12.2,4.0,1.0,108.5,4.0,1.0,42.4,3.0,1.0,53.5,3.0,1.0,1982.0,3.0,1.0,102.8
4.0,3.0,11.6,4.0,3.0,92.0,4.0,2.0,68.2,3.0,2.0,67.7,3.0,2.0,2145.0,3.0,2.0,173.5
4.0,5.0,189.3,4.0,5.0,692.4,4.0,5.0,267.0,3.0,5.0,311.6,3.0,4.0,2044.0,3.0,4.0,109.3
4.0,6.0,30.0,4.0,6.0,150.9,4.0,6.0,47.8,3.0,6.0,76.3,3.0,6.0,2218.0,3.0,5.0,457.5
5.0,2.0,403.9,5.0,1.0,1615.0,5.0,1.0,426.2,5.0,1.0,611.5,4.0,1.0,1982.0,4.0,1.0,191.0
5.0,3.0,448.1,5.0,3.0,1090.0,5.0,2.0,600.3,5.0,2.0,747.8,4.0,2.0,2423.0,4.0,2.0,234.9
5.0,4.0,507.2,5.0,4.0,1768.0,5.0,4.0,321.5,5.0,3.0,641.5,4.0,3.0,1953.0,4.0,3.0,174.2
5.0,6.0,719.0,5.0,6.0,1792.0,5.0,6.0,513.2,5.0,6.0,574.0,4.0,6.0,1422.0,4.0,5.0,654.3
6.0,2.0,66.0,6.0,1.0,215.9,6.0,1.0,40.8,6.0,1.0,107.5,6.0,1.0,2908.0,5.0,1.0,948.3
6.0,3.0,50.7,6.0,3.0,174.9,6.0,2.0,73.5,6.0,2.0,120.9,6.0,2.0,3043.0,5.0,2.0,908.8
6.0,4.0,64.3,6.0,4.0,185.3,6.0,4.0,46.3,6.0,3.0,110.5,6.0,3.0,2256.0,5.0,3.0,838.9
6.0,5.0,475.8,6.0,5.0,962.2,6.0,5.0,220.3,6.0,5.0,402.6,6.0,4.0,1744.0,5.0,4.0,793.1
