1,三浦 永理,三浦 永理.1,2,稗田 聖也,稗田 聖也.1,3,坂井 康嗣,坂井 康嗣.1,4,深川 和仁,深川 和仁.1,5,町田 洸希,町田 洸希.1,6,吉田 彩乃,吉田 彩乃.1
2.0,3.0,10.4,1.0,3.0,76.4,1.0,2.0,189.9,1.0,2.0,38.9,1.0,2.0,161.0,1.0,2.0,1491.0
2.0,4.0,4.2,1.0,4.0,34.7,1.0,4.0,136.7,1.0,3.0,103.1,1.0,3.0,356.8,1.0,3.0,2367.0
2.0,5.0,11.0,1.0,5.0,60.3,1.0,5.0,210.9,1.0,5.0,46.4,1.0,4.0,124.5,1.0,4.0,1506.0
2.0,6.0,60.8,1.0,6.0,265.3,1.0,6.0,651.2,1.0,6.0,163.5,1.0,6.0,305.6,1.0,5.0,2193.0
3.0,2.0,19.2,3.0,1.0,298.8,2.0,1.0,355.9,2.0,1.0,84.6,2.0,1.0,290.1,2.0,1.0,1936.0
3.0,4.0,17.3,3.0,4.0,366.4,2.0,4.0,370.0,2.0,3.0,256.2,2.0,3.0,784.9,2.0,3.0,3824.0
3.0,5.0,28.2,3.0,5.0,608.7,2.0,5.0,671.8,2.0,5.0,146.6,2.0,4.0,412.0,2.0,4.0,3389.0
3.0,6.0,162.8,3.0,6.0,1222.0,2.0,6.0,1274.0,2.0,6.0,372.8,2.0,6.0,749.4,2.0,5.0,2924.0
4.0,2.0,7.1,4.0,1.0,94.5,4.0,1.0,223.9,3.0,1.0,240.1,3.0,1.0,764.8,3.0,1.0,3468.0
4.0,3.0,17.1,4.0,3.0,264.9,4.0,2.0,356.8,3.0,2.0,386.3,3.0,2.0,1242.0,3.0,2.0,4261.0
4.0,5.0,12.2,4.0,5.0,213.6,4.0,5.0,415.4,3.0,5.0,436.0,3.0,4.0,994.2,3.0,4.0,4030.0
4.0,6.0,58.5,4.0,6.0,720.5,4.0,6.0,987.7,3.0,6.0,1057.0,3.0,6.0,1864.0,3.0,5.0,4261.0
5.0,2.0,28.2,5.0,1.0,253.6,5.0,1.0,540.3,5.0,1.0,75.7,4.0,1.0,163.7,4.0,1.0,1714.0
5.0,3.0,55.6,5.0,3.0,862.1,5.0,2.0,842.6,5.0,2.0,127.5,4.0,2.0,278.2,4.0,2.0,3551.0
5.0,4.0,30.6,5.0,4.0,479.5,5.0,4.0,768.7,5.0,3.0,330.6,4.0,3.0,687.3,4.0,3.0,3107.0
5.0,6.0,121.9,5.0,6.0,914.9,5.0,6.0,1506.0,5.0,6.0,198.3,4.0,6.0,358.5,4.0,5.0,2444.0
6.0,2.0,251.5,6.0,1.0,784.9,6.0,1.0,1368.0,6.0,1.0,439.9,6.0,1.0,793.3,5.0,1.0,2485.0
6.0,3.0,399.8,6.0,3.0,3107.0,6.0,2.0,2761.0,6.0,2.0,780.8,6.0,2.0,1586.0,5.0,2.0,2711.0
6.0,4.0,241.7,6.0,4.0,1887.0,6.0,4.0,1936.0,6.0,3.0,1096.0,6.0,3.0,3242.0,5.0,3.0,4261.0
6.0,5.0,288.4,6.0,5.0,1476.0,6.0,5.0,2814.0,6.0,5.0,584.8,6.0,4.0,862.1,5.0,4.0,2330.0
