1,黒野 元基,黒野 元基.1,2,坂口 周,坂口 周.1,3,渡邉　真奈美,渡邉　真奈美.1,4,桑島 和宏,桑島 和宏.1,5,来田 衣織,来田 衣織.1,6,大塚 雅治,大塚 雅治.1
2.0,3.0,5.1,1.0,3.0,40.2,1.0,2.0,43.7,1.0,2.0,139.0,1.0,2.0,316.9,1.0,2.0,700.1
2.0,4.0,5.3,1.0,4.0,32.7,1.0,4.0,52.3,1.0,3.0,248.7,1.0,3.0,265.2,1.0,3.0,1287.0
2.0,5.0,18.7,1.0,5.0,115.6,1.0,5.0,59.1,1.0,5.0,341.5,1.0,4.0,558.7,1.0,4.0,1534.0
2.0,6.0,29.1,1.0,6.0,147.6,1.0,6.0,142.6,1.0,6.0,440.4,1.0,6.0,608.0,1.0,5.0,1879.0
3.0,2.0,7.9,3.0,1.0,106.8,2.0,1.0,94.8,2.0,1.0,171.7,2.0,1.0,672.0,2.0,1.0,1012.0
3.0,4.0,11.7,3.0,4.0,217.6,2.0,4.0,154.0,2.0,3.0,496.4,2.0,3.0,927.3,2.0,3.0,2546.0
3.0,5.0,19.7,3.0,5.0,290.7,2.0,5.0,202.4,2.0,5.0,691.8,2.0,4.0,1341.0,2.0,4.0,2327.0
3.0,6.0,40.6,3.0,6.0,589.6,2.0,6.0,407.2,2.0,6.0,924.8,2.0,6.0,1428.0,2.0,5.0,2789.0
4.0,2.0,12.7,4.0,1.0,110.8,4.0,1.0,115.6,3.0,1.0,354.2,3.0,1.0,372.7,3.0,1.0,1673.0
4.0,3.0,22.0,4.0,3.0,267.4,4.0,2.0,170.8,3.0,2.0,477.5,3.0,2.0,582.8,3.0,2.0,3195.0
4.0,5.0,46.4,4.0,5.0,527.7,4.0,5.0,199.4,3.0,5.0,628.7,3.0,4.0,898.8,3.0,4.0,2811.0
4.0,6.0,62.1,4.0,6.0,562.3,4.0,6.0,302.7,3.0,6.0,840.8,3.0,6.0,915.2,3.0,5.0,2267.0
5.0,2.0,48.7,5.0,1.0,493.6,5.0,1.0,136.3,5.0,1.0,584.7,4.0,1.0,1071.0,4.0,1.0,2130.0
5.0,3.0,48.5,5.0,3.0,639.0,5.0,2.0,210.8,5.0,2.0,867.8,4.0,2.0,1634.0,4.0,2.0,2312.0
5.0,4.0,100.0,5.0,4.0,874.2,5.0,4.0,212.1,5.0,3.0,942.2,4.0,3.0,1604.0,4.0,3.0,3029.0
5.0,6.0,128.9,5.0,6.0,1065.0,5.0,6.0,324.5,5.0,6.0,857.2,4.0,6.0,1889.0,4.0,5.0,3254.0
6.0,2.0,115.0,6.0,1.0,747.7,6.0,1.0,526.1,6.0,1.0,968.2,6.0,1.0,1428.0,5.0,1.0,2297.0
6.0,3.0,133.1,6.0,3.0,1306.0,6.0,2.0,832.8,6.0,2.0,1555.0,6.0,2.0,1996.0,5.0,2.0,3082.0
6.0,4.0,169.2,6.0,4.0,1331.0,6.0,4.0,784.5,6.0,3.0,1590.0,6.0,3.0,1604.0,5.0,3.0,2584.0
6.0,5.0,183.9,6.0,5.0,1731.0,6.0,5.0,715.8,6.0,5.0,1650.0,6.0,4.0,2327.0,5.0,4.0,3029.0
