1,小林 文彦,小林 文彦.1,2,高倉 和士,高倉 和士.1,3,東 潤樹,東 潤樹.1,4,澤 大介,澤 大介.1,5,川崎 智稔,川崎 智稔.1,6,服部 達哉,服部 達哉.1
2.0,3.0,8.7,1.0,3.0,16.7,1.0,2.0,253.7,1.0,2.0,76.3,1.0,2.0,127.2,1.0,2.0,623.7
2.0,4.0,7.0,1.0,4.0,8.3,1.0,4.0,432.9,1.0,3.0,445.5,1.0,3.0,468.0,1.0,3.0,1736.0
2.0,5.0,11.5,1.0,5.0,15.5,1.0,5.0,473.6,1.0,5.0,164.0,1.0,4.0,324.2,1.0,4.0,995.5
2.0,6.0,21.3,1.0,6.0,21.1,1.0,6.0,723.6,1.0,6.0,178.4,1.0,6.0,240.5,1.0,5.0,1779.0
3.0,2.0,27.9,3.0,1.0,68.8,2.0,1.0,258.9,2.0,1.0,80.6,2.0,1.0,150.8,2.0,1.0,633.8
3.0,4.0,65.6,3.0,4.0,84.6,2.0,4.0,316.0,2.0,3.0,365.5,2.0,3.0,533.1,2.0,3.0,1525.0
3.0,5.0,79.7,3.0,5.0,99.9,2.0,5.0,376.5,2.0,5.0,143.3,2.0,4.0,311.6,2.0,4.0,661.2
3.0,6.0,132.4,3.0,6.0,146.5,2.0,6.0,496.3,2.0,6.0,116.6,2.0,6.0,261.4,2.0,5.0,1202.0
4.0,2.0,22.9,4.0,1.0,21.9,4.0,1.0,713.4,3.0,1.0,1104.0,3.0,1.0,1118.0,3.0,1.0,2774.0
4.0,3.0,72.0,4.0,3.0,82.4,4.0,2.0,693.7,3.0,2.0,764.4,3.0,2.0,960.2,3.0,2.0,1925.0
4.0,5.0,58.7,4.0,5.0,44.4,4.0,5.0,1012.0,3.0,5.0,1249.0,3.0,4.0,1654.0,3.0,4.0,1702.0
4.0,6.0,67.6,4.0,6.0,40.9,4.0,6.0,924.9,3.0,6.0,1009.0,3.0,6.0,1710.0,3.0,5.0,3263.0
5.0,2.0,37.5,5.0,1.0,52.8,5.0,1.0,989.9,5.0,1.0,198.5,4.0,1.0,336.2,4.0,1.0,1245.0
5.0,3.0,114.3,5.0,3.0,132.4,5.0,2.0,799.1,5.0,2.0,168.3,4.0,2.0,306.4,4.0,2.0,703.4
5.0,4.0,86.9,5.0,4.0,78.0,5.0,4.0,1519.0,5.0,3.0,821.4,4.0,3.0,1415.0,4.0,3.0,1845.0
5.0,6.0,115.1,5.0,6.0,111.6,5.0,6.0,1371.0,5.0,6.0,188.5,4.0,6.0,372.1,4.0,5.0,1450.0
6.0,2.0,118.1,6.0,1.0,117.8,6.0,1.0,1654.0,6.0,1.0,211.4,6.0,1.0,585.4,5.0,1.0,1968.0
6.0,3.0,329.0,6.0,3.0,315.5,6.0,2.0,1350.0,6.0,2.0,175.7,6.0,2.0,525.2,5.0,2.0,1286.0
6.0,4.0,191.0,6.0,4.0,123.3,6.0,4.0,1426.0,6.0,3.0,728.1,6.0,3.0,1609.0,5.0,3.0,3356.0
6.0,5.0,225.0,6.0,5.0,195.8,6.0,5.0,1798.0,6.0,5.0,282.1,6.0,4.0,806.4,5.0,4.0,1587.0
