1,森 智也,森 智也.1,2,鈴木 峻佑,鈴木 峻佑.1,3,石丸 小槙,石丸 小槙.1,4,金子 拓矢,金子 拓矢.1,5,松尾 祭,松尾 祭.1,6,白井 友晴,白井 友晴.1
2.0,3.0,42.7,1.0,3.0,90.1,1.0,2.0,148.3,1.0,2.0,30.9,1.0,2.0,275.4,1.0,2.0,1824.0
2.0,4.0,14.3,1.0,4.0,36.1,1.0,4.0,55.7,1.0,3.0,38.8,1.0,3.0,309.3,1.0,3.0,1729.0
2.0,5.0,46.0,1.0,5.0,108.8,1.0,5.0,111.6,1.0,5.0,16.5,1.0,4.0,104.9,1.0,4.0,874.7
2.0,6.0,78.6,1.0,6.0,142.5,1.0,6.0,233.0,1.0,6.0,38.2,1.0,6.0,238.7,1.0,5.0,1510.0
3.0,2.0,43.3,3.0,1.0,131.9,2.0,1.0,206.1,2.0,1.0,67.5,2.0,1.0,488.8,2.0,1.0,2493.0
3.0,4.0,16.4,3.0,4.0,225.2,2.0,4.0,235.1,2.0,3.0,201.8,2.0,3.0,712.3,2.0,3.0,2514.0
3.0,5.0,37.0,3.0,5.0,313.5,2.0,5.0,375.8,2.0,5.0,110.1,2.0,4.0,367.5,2.0,4.0,1617.0
3.0,6.0,98.8,3.0,6.0,576.4,2.0,6.0,697.3,2.0,6.0,187.3,2.0,6.0,740.5,2.0,5.0,2624.0
4.0,2.0,11.2,4.0,1.0,64.3,4.0,1.0,56.0,3.0,1.0,69.5,3.0,1.0,371.1,3.0,1.0,1608.0
4.0,3.0,12.2,4.0,3.0,227.8,4.0,2.0,171.2,3.0,2.0,168.6,3.0,2.0,541.9,3.0,2.0,1881.0
4.0,5.0,10.6,4.0,5.0,167.7,4.0,5.0,65.8,3.0,5.0,70.8,3.0,4.0,312.9,3.0,4.0,1459.0
4.0,6.0,24.3,4.0,6.0,274.4,4.0,6.0,129.4,3.0,6.0,129.1,3.0,6.0,726.1,3.0,5.0,2035.0
5.0,2.0,82.7,5.0,1.0,300.3,5.0,1.0,206.1,5.0,1.0,22.2,4.0,1.0,83.1,4.0,1.0,840.3
5.0,3.0,66.8,5.0,3.0,593.5,5.0,2.0,434.8,5.0,2.0,63.2,4.0,2.0,179.5,4.0,2.0,1317.0
5.0,4.0,35.6,5.0,4.0,285.7,5.0,4.0,127.4,5.0,3.0,64.5,4.0,3.0,209.3,4.0,3.0,1424.0
5.0,6.0,99.9,5.0,6.0,608.0,5.0,6.0,334.2,5.0,6.0,29.0,4.0,6.0,96.2,4.0,5.0,500.2
6.0,2.0,281.4,6.0,1.0,536.1,6.0,1.0,771.0,6.0,1.0,99.1,6.0,1.0,433.5,5.0,1.0,1335.0
6.0,3.0,335.0,6.0,3.0,1398.0,6.0,2.0,1080.0,6.0,2.0,185.7,6.0,2.0,628.5,5.0,2.0,1881.0
6.0,4.0,138.6,6.0,4.0,859.6,6.0,4.0,559.2,6.0,3.0,245.4,6.0,3.0,708.9,5.0,3.0,2049.0
6.0,5.0,258.1,6.0,5.0,1262.0,6.0,5.0,699.0,6.0,5.0,78.2,6.0,4.0,224.4,5.0,4.0,514.0
