1,菊池 峰晴,菊池 峰晴.1,2,小坂 尚哉,小坂 尚哉.1,3,杢野 誓良,杢野 誓良.1,4,藤田 竜弘,藤田 竜弘.1,5,山下 大輝,山下 大輝.1,6,立間 充宏,立間 充宏.1
2.0,3.0,9.3,1.0,3.0,12.4,1.0,2.0,81.4,1.0,2.0,130.8,1.0,2.0,296.0,1.0,2.0,174.0
2.0,4.0,8.4,1.0,4.0,12.7,1.0,4.0,162.8,1.0,3.0,342.5,1.0,3.0,515.3,1.0,3.0,528.3
2.0,5.0,25.0,1.0,5.0,31.0,1.0,5.0,207.8,1.0,5.0,392.7,1.0,4.0,619.0,1.0,4.0,321.7
2.0,6.0,16.1,1.0,6.0,18.7,1.0,6.0,205.6,1.0,6.0,180.8,1.0,6.0,522.6,1.0,5.0,779.1
3.0,2.0,20.9,3.0,1.0,41.3,2.0,1.0,84.7,2.0,1.0,115.8,2.0,1.0,297.2,2.0,1.0,163.1
3.0,4.0,36.8,3.0,4.0,60.9,2.0,4.0,125.0,2.0,3.0,244.2,2.0,3.0,508.1,2.0,3.0,315.5
3.0,5.0,50.4,3.0,5.0,103.5,2.0,5.0,178.3,2.0,5.0,262.2,2.0,4.0,509.0,2.0,4.0,151.8
3.0,6.0,50.7,3.0,6.0,66.8,2.0,6.0,155.1,2.0,6.0,110.2,2.0,6.0,430.3,2.0,5.0,467.4
4.0,2.0,24.2,4.0,1.0,40.7,4.0,1.0,248.8,3.0,1.0,362.0,3.0,1.0,590.2,3.0,1.0,791.8
4.0,3.0,53.8,4.0,3.0,73.5,4.0,2.0,193.7,3.0,2.0,270.2,3.0,2.0,677.9,3.0,2.0,606.1
4.0,5.0,71.8,4.0,5.0,100.4,4.0,5.0,355.8,3.0,5.0,590.2,3.0,4.0,1358.0,3.0,4.0,987.1
4.0,6.0,46.9,4.0,6.0,37.4,4.0,6.0,341.3,3.0,6.0,593.8,3.0,6.0,1340.0,3.0,5.0,1660.0
5.0,2.0,65.2,5.0,1.0,111.6,5.0,1.0,288.7,5.0,1.0,386.4,4.0,1.0,768.9,4.0,1.0,462.3
5.0,3.0,113.6,5.0,3.0,186.3,5.0,2.0,335.8,5.0,2.0,337.0,4.0,2.0,714.3,4.0,2.0,205.1
5.0,4.0,143.2,5.0,4.0,182.1,5.0,4.0,665.5,5.0,3.0,1054.0,4.0,3.0,1623.0,4.0,3.0,924.6
5.0,6.0,130.0,5.0,6.0,152.7,5.0,6.0,613.8,5.0,6.0,434.7,4.0,6.0,820.7,4.0,5.0,973.9
6.0,2.0,52.7,6.0,1.0,47.6,6.0,1.0,466.7,6.0,1.0,277.2,6.0,1.0,732.2,5.0,1.0,957.9
6.0,3.0,144.7,6.0,3.0,97.1,6.0,2.0,356.3,6.0,2.0,158.2,6.0,2.0,658.0,5.0,2.0,830.0
6.0,4.0,101.8,6.0,4.0,55.2,6.0,4.0,526.4,6.0,3.0,673.2,6.0,3.0,1384.0,5.0,3.0,1837.0
6.0,5.0,184.4,6.0,5.0,132.2,6.0,5.0,725.0,6.0,5.0,487.7,6.0,4.0,888.0,5.0,4.0,1168.0
