1,吉村 誠,吉村 誠.1,2,花本 夏樹,花本 夏樹.1,3,真庭 明志,真庭 明志.1,4,森安 弘雅,森安 弘雅.1,5,金子 拓矢,金子 拓矢.1,6,宗行 治哉,宗行 治哉.1
2.0,3.0,28.9,1.0,3.0,182.4,1.0,2.0,224.4,1.0,2.0,260.6,1.0,2.0,79.9,1.0,2.0,156.2
2.0,4.0,33.9,1.0,4.0,211.7,1.0,4.0,203.6,1.0,3.0,280.9,1.0,3.0,55.2,1.0,3.0,127.0
2.0,5.0,17.3,1.0,5.0,114.6,1.0,5.0,80.3,1.0,5.0,109.0,1.0,4.0,72.4,1.0,4.0,126.5
2.0,6.0,23.0,1.0,6.0,146.9,1.0,6.0,131.1,1.0,6.0,143.6,1.0,6.0,42.2,1.0,5.0,66.6
3.0,2.0,31.7,3.0,1.0,380.1,2.0,1.0,384.2,2.0,1.0,531.2,2.0,1.0,213.0,2.0,1.0,344.6
3.0,4.0,34.4,3.0,4.0,826.7,2.0,4.0,753.7,2.0,3.0,938.1,2.0,3.0,352.5,2.0,3.0,614.5
3.0,5.0,12.5,3.0,5.0,363.1,2.0,5.0,401.1,2.0,5.0,446.5,2.0,4.0,367.9,2.0,4.0,519.7
3.0,6.0,19.5,3.0,6.0,529.1,2.0,6.0,534.4,2.0,6.0,575.1,2.0,6.0,242.1,2.0,5.0,346.5
4.0,2.0,44.3,4.0,1.0,502.9,4.0,1.0,413.3,3.0,1.0,565.8,3.0,1.0,103.1,3.0,1.0,269.9
4.0,3.0,48.5,4.0,3.0,877.4,4.0,2.0,778.0,3.0,2.0,979.8,3.0,2.0,316.6,3.0,2.0,606.7
4.0,5.0,25.0,4.0,5.0,453.7,4.0,5.0,404.8,3.0,5.0,464.5,3.0,4.0,337.4,3.0,4.0,479.2
4.0,6.0,36.4,4.0,6.0,558.7,4.0,6.0,508.7,3.0,6.0,681.8,3.0,6.0,165.8,3.0,5.0,231.6
5.0,2.0,21.7,5.0,1.0,253.5,5.0,1.0,114.4,5.0,1.0,128.7,4.0,1.0,130.2,4.0,1.0,213.5
5.0,3.0,16.2,5.0,3.0,431.9,5.0,2.0,265.0,5.0,2.0,263.1,4.0,2.0,292.8,4.0,2.0,419.9
5.0,4.0,25.9,5.0,4.0,469.8,5.0,4.0,314.3,5.0,3.0,340.9,4.0,3.0,328.4,4.0,3.0,444.6
5.0,6.0,14.5,5.0,6.0,294.7,5.0,6.0,160.1,5.0,6.0,105.3,4.0,6.0,104.8,4.0,5.0,126.0
6.0,2.0,28.6,6.0,1.0,344.2,6.0,1.0,197.7,6.0,1.0,241.2,6.0,1.0,65.9,5.0,1.0,87.9
6.0,3.0,28.5,6.0,3.0,615.9,6.0,2.0,434.4,6.0,2.0,482.7,6.0,2.0,188.0,5.0,2.0,215.7
6.0,4.0,34.9,6.0,4.0,597.8,6.0,4.0,389.0,6.0,3.0,549.4,6.0,3.0,143.5,5.0,3.0,168.2
6.0,5.0,16.7,6.0,5.0,307.2,6.0,5.0,191.4,6.0,5.0,143.8,6.0,4.0,99.1,5.0,4.0,103.7
